,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,allmpnet,CLS_SUM-1-2,simple,CLS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,39.119308494844496,18.640159977150493,30.498661749077428,33.87657223412625,46.04449666570195,50.580616242687796,60.727358033233145,39.926739056688795
1,allmpnet,AVG_SUM-1-2,simple,AVG,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,58.5222352142723,60.743839317727186,65.14274743857911,74.44083748637793,72.29486523099308,73.09754175388059,77.72793949183713,68.85285799052392
2,allmpnet,SUM_SUM-1-2,simple,SUM,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,58.534018590277896,60.74383915247184,65.14274743857911,74.44083595969863,72.29486236722498,54.93380070683489,67.59104021321822,64.81159206118652
3,allmpnet,MAX_SUM-1-2,simple,MAX,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,58.41543525359084,50.481574595497726,65.214258497319,67.68788597647871,67.80907473467252,70.33790790339476,76.76246577928366,65.24408610574817
4,allmpnet,AVG-NS_SUM-1-2,simple-ns,AVG-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,59.88339108216542,65.66690855228354,67.04147228606584,76.4586874034826,72.589291959778,73.15925179584609,71.20099362014626,69.42857095710968
5,allmpnet,SUM-NS_SUM-1-2,simple-ns,SUM-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,59.87686793689959,65.66690855228354,67.04147228606584,76.45864534742728,72.589291959778,63.311929089151754,64.52673503693072,67.0674071726481
6,allmpnet,MAX-NS_SUM-1-2,simple-ns,MAX-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,55.223288416098406,43.61937985852389,61.41491481315866,64.81350321786505,61.926706062359706,64.05099052655271,69.59444662361757,60.091889931168
7,allmpnet,CLS_SUM-2-3,simple,CLS,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,46.37422057206425,30.99225344678434,44.396631188719674,42.0677907683522,55.64430974769683,61.0859699824142,70.50479412853076,50.15228140493746
8,allmpnet,AVG_SUM-2-3,simple,AVG,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,56.97197182365823,60.440481024659384,63.80637112333319,73.55827213387094,71.28296696782996,74.30503216369277,78.26444538447375,68.3756486602169
9,allmpnet,SUM_SUM-2-3,simple,SUM,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,56.96097397035217,60.44048086243923,63.80637112333319,73.55827213387094,71.28297825829988,-7.852187122865269,54.34807542561374,53.22070923586341
