model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness
allmpnet,CLS_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.3427407759515302), 'wmean': np.float64(0.32842628378334854)}, 'spearman': {'mean': np.float64(0.3859871888863199), 'wmean': np.float64(0.37324718396313084)}}","{'pearson': {'mean': np.float64(0.18758562172550416), 'wmean': np.float64(0.2018099826408081)}, 'spearman': {'mean': np.float64(0.2157781720449697), 'wmean': np.float64(0.23253807546688593)}}","{'pearson': {'mean': np.float64(0.2656139568774583), 'wmean': np.float64(0.27974707009645466)}, 'spearman': {'mean': np.float64(0.2901193999348664), 'wmean': np.float64(0.30569705086429894)}}","{'pearson': {'mean': np.float64(0.38175371632223737), 'wmean': np.float64(0.41373759630135554)}, 'spearman': {'mean': np.float64(0.39886904602778894), 'wmean': np.float64(0.43590790754163194)}}","{'pearson': {'mean': np.float64(0.3769159665817329), 'wmean': np.float64(0.3867824422299277)}, 'spearman': {'mean': np.float64(0.3955486875919606), 'wmean': np.float64(0.4061568491332591)}}","{'devpearson': np.float64(0.5032706594951464), 'pearson': np.float64(0.4081394358213313), 'spearman': np.float64(0.40793800384690926), 'mse': 2.1709916104930795, 'yhat': array([2.48784429, 2.73496958, 3.04252152, ..., 2.98158429, 3.10667868,
       3.40439153], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6009544269834644), 'pearson': np.float64(0.6038026729575449), 'spearman': np.float64(0.5876752689334295), 'mse': 0.668264771017746, 'yhat': array([2.99708259, 3.71482663, 3.19230894, ..., 2.97608973, 3.88319343,
       3.96685693], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5822842013815985), 'wmean': np.float64(0.5952690031572816)}, 'spearman': {'mean': np.float64(0.5931380107640747), 'wmean': np.float64(0.6043341111764678)}}","{'pearson': {'mean': np.float64(0.5967976102126648), 'wmean': np.float64(0.6366943282589663)}, 'spearman': {'mean': np.float64(0.6023554170424493), 'wmean': np.float64(0.6386591399403528)}}","{'pearson': {'mean': np.float64(0.6794268030084565), 'wmean': np.float64(0.6903179362349651)}, 'spearman': {'mean': np.float64(0.655332359314642), 'wmean': np.float64(0.6670414524435883)}}","{'pearson': {'mean': np.float64(0.7490630773008545), 'wmean': np.float64(0.7560221016909209)}, 'spearman': {'mean': np.float64(0.7458337370467958), 'wmean': np.float64(0.753044377706027)}}","{'pearson': {'mean': np.float64(0.720023091784832), 'wmean': np.float64(0.7218228277696246)}, 'spearman': {'mean': np.float64(0.7249124749075463), 'wmean': np.float64(0.7264801316847658)}}","{'devpearson': np.float64(0.7782357789845302), 'pearson': np.float64(0.7360363635898992), 'spearman': np.float64(0.7319630205679497), 'mse': 1.3466477849373524, 'yhat': array([1.23630805, 1.18338098, 1.55632468, ..., 3.34536141, 3.67410801,
       4.09686182], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8200385209549619), 'pearson': np.float64(0.8341163977243045), 'spearman': np.float64(0.765215465589406), 'mse': 0.309753607857279, 'yhat': array([3.59584091, 4.30520668, 1.22826509, ..., 3.10307087, 4.12016175,
       4.51013836], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,SUM_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5822842017578813), 'wmean': np.float64(0.5952690066518743)}, 'spearman': {'mean': np.float64(0.5932739866281367), 'wmean': np.float64(0.6044197097790451)}}","{'pearson': {'mean': np.float64(0.5967976126855687), 'wmean': np.float64(0.6366943337199237)}, 'spearman': {'mean': np.float64(0.6023554170424493), 'wmean': np.float64(0.6386591399403528)}}","{'pearson': {'mean': np.float64(0.6794268052392377), 'wmean': np.float64(0.6903179436786295)}, 'spearman': {'mean': np.float64(0.655332359314642), 'wmean': np.float64(0.6670414524435883)}}","{'pearson': {'mean': np.float64(0.7490630755483922), 'wmean': np.float64(0.7560220981925301)}, 'spearman': {'mean': np.float64(0.7458337666842361), 'wmean': np.float64(0.7530444147528272)}}","{'pearson': {'mean': np.float64(0.7200231140234375), 'wmean': np.float64(0.7218228498814282)}, 'spearman': {'mean': np.float64(0.7249125037269775), 'wmean': np.float64(0.7264801619378786)}}","{'devpearson': np.float64(0.6901230788198345), 'pearson': np.float64(0.632430446366638), 'spearman': np.float64(0.6333027348720448), 'mse': 1.4066723286032465, 'yhat': array([1.48342486, 1.32686411, 1.8895686 , ..., 3.00012762, 3.06881187,
       4.0005782 ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8116889650269877), 'pearson': np.float64(0.8156912058214738), 'spearman': np.float64(0.7334988030423186), 'mse': 0.34402269519673867, 'yhat': array([3.13590183, 4.45849571, 1.31789928, ..., 3.00000033, 4.00048341,
       3.42778517], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,MAX_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5739716883683019), 'wmean': np.float64(0.5845547193217646)}, 'spearman': {'mean': np.float64(0.584293256179102), 'wmean': np.float64(0.5990676002173164)}}","{'pearson': {'mean': np.float64(0.5069886187911475), 'wmean': np.float64(0.6148372317880207)}, 'spearman': {'mean': np.float64(0.5058511552070079), 'wmean': np.float64(0.6132162541057515)}}","{'pearson': {'mean': np.float64(0.6513983167751412), 'wmean': np.float64(0.6620686741028323)}, 'spearman': {'mean': np.float64(0.6493672793859049), 'wmean': np.float64(0.6617979955107444)}}","{'pearson': {'mean': np.float64(0.659019563989695), 'wmean': np.float64(0.6905463615606466)}, 'spearman': {'mean': np.float64(0.6732736765494487), 'wmean': np.float64(0.7043661271503191)}}","{'pearson': {'mean': np.float64(0.649720004063149), 'wmean': np.float64(0.6496596337499401)}, 'spearman': {'mean': np.float64(0.6784149033687532), 'wmean': np.float64(0.679409978736886)}}","{'devpearson': np.float64(0.751577183256334), 'pearson': np.float64(0.7139523723826948), 'spearman': np.float64(0.7152034109305773), 'mse': 1.2153025470342984, 'yhat': array([1.33725204, 1.39289925, 1.25338778, ..., 3.16843762, 3.71094697,
       4.28822792], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8223622812589313), 'pearson': np.float64(0.8276812264979738), 'spearman': np.float64(0.7619525516790827), 'mse': 0.32174559686362025, 'yhat': array([2.94277927, 4.19850652, 1.05027008, ..., 3.14427807, 4.44876992,
       4.62710649], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG-NS_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5963902408643457), 'wmean': np.float64(0.611868770309131)}, 'spearman': {'mean': np.float64(0.6000397357327809), 'wmean': np.float64(0.6132475460186134)}}","{'pearson': {'mean': np.float64(0.6362098372524355), 'wmean': np.float64(0.682360407719199)}, 'spearman': {'mean': np.float64(0.6378140336265984), 'wmean': np.float64(0.6796837198680169)}}","{'pearson': {'mean': np.float64(0.7072745943488888), 'wmean': np.float64(0.7215982494852832)}, 'spearman': {'mean': np.float64(0.6708908042732342), 'wmean': np.float64(0.6857255464695947)}}","{'pearson': {'mean': np.float64(0.7614024102738259), 'wmean': np.float64(0.7660501467356446)}, 'spearman': {'mean': np.float64(0.7639266385028107), 'wmean': np.float64(0.7674233969013118)}}","{'pearson': {'mean': np.float64(0.7165251037907401), 'wmean': np.float64(0.7152366866143071)}, 'spearman': {'mean': np.float64(0.7214531754253584), 'wmean': np.float64(0.7199203043836989)}}","{'devpearson': np.float64(0.7962816464294065), 'pearson': np.float64(0.7399347880722216), 'spearman': np.float64(0.7392962100911259), 'mse': 1.208282751935372, 'yhat': array([1.42818619, 1.19373665, 1.52370255, ..., 3.2246175 , 3.66769665,
       3.95055565], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.804326436055786), 'pearson': np.float64(0.8088405042493272), 'spearman': np.float64(0.7004124617615991), 'mse': 0.3524977728284837, 'yhat': array([3.67849308, 4.07324814, 1.50641219, ..., 3.349571  , 3.93208544,
       4.28871582], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,SUM-NS_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5963902479274729), 'wmean': np.float64(0.6118687772077945)}, 'spearman': {'mean': np.float64(0.6000255762804223), 'wmean': np.float64(0.6132379627548037)}}","{'pearson': {'mean': np.float64(0.6362098500723908), 'wmean': np.float64(0.6823604178813613)}, 'spearman': {'mean': np.float64(0.6378140319259606), 'wmean': np.float64(0.6796837173170603)}}","{'pearson': {'mean': np.float64(0.7072745904367057), 'wmean': np.float64(0.7215982442487506)}, 'spearman': {'mean': np.float64(0.6708908042732342), 'wmean': np.float64(0.6857255464695947)}}","{'pearson': {'mean': np.float64(0.7614024028826087), 'wmean': np.float64(0.7660501413391491)}, 'spearman': {'mean': np.float64(0.7639266311629375), 'wmean': np.float64(0.7674233877264703)}}","{'pearson': {'mean': np.float64(0.7165250996042236), 'wmean': np.float64(0.7152366825788842)}, 'spearman': {'mean': np.float64(0.7214531754253584), 'wmean': np.float64(0.7199203043836989)}}","{'devpearson': np.float64(0.708028230994737), 'pearson': np.float64(0.6584812165823866), 'spearman': np.float64(0.6640805976859014), 'mse': 1.337055038946254, 'yhat': array([1.56450803, 1.58121449, 1.70874222, ..., 3.37899373, 3.60049411,
       3.99907937], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7917942916080951), 'pearson': np.float64(0.7864246756404467), 'spearman': np.float64(0.6659891233281207), 'mse': 0.39400621883930387, 'yhat': array([3.49327798, 4.10271287, 1.39835458, ..., 3.00967176, 3.31172638,
       4.99968985], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,MAX-NS_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5438679008540763), 'wmean': np.float64(0.5493553732334927)}, 'spearman': {'mean': np.float64(0.5579042568279824), 'wmean': np.float64(0.5702125303036262)}}","{'pearson': {'mean': np.float64(0.43223916157619807), 'wmean': np.float64(0.5550677154649144)}, 'spearman': {'mean': np.float64(0.4509335012774291), 'wmean': np.float64(0.5798942936166532)}}","{'pearson': {'mean': np.float64(0.6113590262389493), 'wmean': np.float64(0.6227135532465272)}, 'spearman': {'mean': np.float64(0.6175731968734749), 'wmean': np.float64(0.6317439533731103)}}","{'pearson': {'mean': np.float64(0.6091148038910956), 'wmean': np.float64(0.6369994298757363)}, 'spearman': {'mean': np.float64(0.6577411504974102), 'wmean': np.float64(0.6866720109614223)}}","{'pearson': {'mean': np.float64(0.5364543028469053), 'wmean': np.float64(0.5343127785447649)}, 'spearman': {'mean': np.float64(0.6126366233694105), 'wmean': np.float64(0.6132249784880297)}}","{'devpearson': np.float64(0.7541222737469403), 'pearson': np.float64(0.6696537920623544), 'spearman': np.float64(0.6655912054156807), 'mse': 1.309363008272457, 'yhat': array([1.40986918, 1.20568726, 1.50859308, ..., 3.3816243 , 3.76702836,
       4.11862729], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7565313768773652), 'pearson': np.float64(0.7822793968297493), 'spearman': np.float64(0.6859496222412397), 'mse': 0.3966871113493498, 'yhat': array([3.17767276, 3.9100464 , 1.01950373, ..., 3.15672816, 4.13918188,
       4.39539718], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,CLS_LYR-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.24367795964986846), 'wmean': np.float64(0.23802955977642387)}, 'spearman': {'mean': np.float64(0.38385222841504285), 'wmean': np.float64(0.36453101791174325)}}","{'pearson': {'mean': np.float64(0.141882936539357), 'wmean': np.float64(0.16611676805566972)}, 'spearman': {'mean': np.float64(0.17078178387561269), 'wmean': np.float64(0.20887209163818551)}}","{'pearson': {'mean': np.float64(0.2174623104382405), 'wmean': np.float64(0.23573199484038448)}, 'spearman': {'mean': np.float64(0.3321105520842578), 'wmean': np.float64(0.3306602213755567)}}","{'pearson': {'mean': np.float64(0.16146489506687495), 'wmean': np.float64(0.16226270696953105)}, 'spearman': {'mean': np.float64(0.34369805115480895), 'wmean': np.float64(0.36056682882862984)}}","{'pearson': {'mean': np.float64(0.23908102004014292), 'wmean': np.float64(0.24320492083748485)}, 'spearman': {'mean': np.float64(0.49930472923455066), 'wmean': np.float64(0.507355877578365)}}","{'devpearson': np.float64(0.5533722036182569), 'pearson': np.float64(0.5044580711183431), 'spearman': np.float64(0.5036741064994974), 'mse': 1.9996378394043615, 'yhat': array([2.3499293 , 2.47856092, 2.88354436, ..., 2.77514056, 3.10744005,
       3.40286564], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6195390893629832), 'pearson': np.float64(0.6079500897239595), 'spearman': np.float64(0.5912086981730251), 'mse': 0.654179814059158, 'yhat': array([2.93341858, 3.51704616, 3.05097066, ..., 2.55050041, 3.96291562,
       4.26602653], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG_LYR-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5552702374397829), 'wmean': np.float64(0.5582690737604017)}, 'spearman': {'mean': np.float64(0.5616866648801736), 'wmean': np.float64(0.56459424996856)}}","{'pearson': {'mean': np.float64(0.5848740634862715), 'wmean': np.float64(0.6210761868306081)}, 'spearman': {'mean': np.float64(0.593839742442532), 'wmean': np.float64(0.6252408764348734)}}","{'pearson': {'mean': np.float64(0.6589004687900353), 'wmean': np.float64(0.6696608800754118)}, 'spearman': {'mean': np.float64(0.6363877704216637), 'wmean': np.float64(0.646452834835505)}}","{'pearson': {'mean': np.float64(0.7329897808619673), 'wmean': np.float64(0.7379653395366174)}, 'spearman': {'mean': np.float64(0.7319354921858212), 'wmean': np.float64(0.7366460328299944)}}","{'pearson': {'mean': np.float64(0.6992264339876743), 'wmean': np.float64(0.7030951372166688)}, 'spearman': {'mean': np.float64(0.705017289936672), 'wmean': np.float64(0.7087002125495149)}}","{'devpearson': np.float64(0.7835117034056632), 'pearson': np.float64(0.7411671036548502), 'spearman': np.float64(0.7371507603504409), 'mse': 1.3421781324903104, 'yhat': array([1.69468869, 1.13952888, 1.95288748, ..., 3.28214122, 3.64498993,
       4.23655721], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8224033291411241), 'pearson': np.float64(0.8448619251833457), 'spearman': np.float64(0.7766842506234025), 'mse': 0.2919871789006206, 'yhat': array([3.41217083, 3.94830336, 1.06963722, ..., 3.12911454, 4.3423872 ,
       4.68309426], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,SUM_LYR-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5552702378405668), 'wmean': np.float64(0.5582690693780287)}, 'spearman': {'mean': np.float64(0.561683962186756), 'wmean': np.float64(0.5645902717775807)}}","{'pearson': {'mean': np.float64(0.5848740502707347), 'wmean': np.float64(0.6210761741534064)}, 'spearman': {'mean': np.float64(0.593839742442532), 'wmean': np.float64(0.6252408764348734)}}","{'pearson': {'mean': np.float64(0.6589004943848322), 'wmean': np.float64(0.6696609033973577)}, 'spearman': {'mean': np.float64(0.6363872171449341), 'wmean': np.float64(0.6464521709034294)}}","{'pearson': {'mean': np.float64(0.7329897658558352), 'wmean': np.float64(0.7379653257318126)}, 'spearman': {'mean': np.float64(0.7319354931821637), 'wmean': np.float64(0.7366460340754224)}}","{'pearson': {'mean': np.float64(0.6992264312953147), 'wmean': np.float64(0.703095135441369)}, 'spearman': {'mean': np.float64(0.7050174020597668), 'wmean': np.float64(0.7087003302504027)}}","{'devpearson': np.float64(0.6562792272320379), 'pearson': np.float64(0.6070537866357901), 'spearman': np.float64(0.6071295651970776), 'mse': 1.4976101780843583, 'yhat': array([2.78188635, 1.02798592, 2.64638397, ..., 3.99999939, 3.81012077,
       4.99998732], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8093416634777679), 'pearson': np.float64(0.8163344817345757), 'spearman': np.float64(0.7352669653934636), 'mse': 0.34791957491823877, 'yhat': array([3.08692563, 4.1359021 , 1.08066161, ..., 3.00002049, 4.99839745,
       4.99752943], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
