model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness
allmpnet,CLS+AVG_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5778414727675198), 'wmean': np.float64(0.5842389301520603)}, 'spearman': {'mean': np.float64(0.5909114859581573), 'wmean': np.float64(0.6003605748644059)}}","{'pearson': {'mean': np.float64(0.5351217782781765), 'wmean': np.float64(0.6006849895784512)}, 'spearman': {'mean': np.float64(0.5446260934301375), 'wmean': np.float64(0.6081748590014379)}}","{'pearson': {'mean': np.float64(0.6281975226804918), 'wmean': np.float64(0.6359478484202312)}, 'spearman': {'mean': np.float64(0.6277283364570035), 'wmean': np.float64(0.6358791620255307)}}","{'pearson': {'mean': np.float64(0.6748138001445687), 'wmean': np.float64(0.7007045910882674)}, 'spearman': {'mean': np.float64(0.6851371132751524), 'wmean': np.float64(0.7085331218849654)}}","{'pearson': {'mean': np.float64(0.6434227303117531), 'wmean': np.float64(0.6451535971293623)}, 'spearman': {'mean': np.float64(0.6685556796657361), 'wmean': np.float64(0.6712106542456565)}}","{'devpearson': np.float64(0.779971141939652), 'pearson': np.float64(0.7331759076932944), 'spearman': np.float64(0.7267984513723539), 'mse': 1.3311233480176228, 'yhat': array([1.27900156, 1.21050736, 1.66555508, ..., 3.25372021, 3.79092801,
       4.16543678], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.816969323432799), 'pearson': np.float64(0.8352881085389919), 'spearman': np.float64(0.767979665651764), 'mse': 0.30892295591295094, 'yhat': array([3.53434126, 4.35066968, 1.21284082, ..., 3.11194963, 4.25058269,
       4.6150658 ], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,CLS+SUM_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5728349466892433), 'wmean': np.float64(0.5867104115353942)}, 'spearman': {'mean': np.float64(0.5866748612927021), 'wmean': np.float64(0.5984627362563755)}}","{'pearson': {'mean': np.float64(0.5746273457095884), 'wmean': np.float64(0.6158400250423725)}, 'spearman': {'mean': np.float64(0.5802885975195792), 'wmean': np.float64(0.6194418178915595)}}","{'pearson': {'mean': np.float64(0.6653924569387869), 'wmean': np.float64(0.6770687437945053)}, 'spearman': {'mean': np.float64(0.6458815486449287), 'wmean': np.float64(0.6578033943505642)}}","{'pearson': {'mean': np.float64(0.7408248881037223), 'wmean': np.float64(0.7480224574107555)}, 'spearman': {'mean': np.float64(0.736365769994963), 'wmean': np.float64(0.7442468268490514)}}","{'pearson': {'mean': np.float64(0.7146846980413795), 'wmean': np.float64(0.7170358759027846)}, 'spearman': {'mean': np.float64(0.7197896314408954), 'wmean': np.float64(0.7220828456923114)}}","{'devpearson': np.float64(0.6830386030617435), 'pearson': np.float64(0.6285204004608914), 'spearman': np.float64(0.6286793174249715), 'mse': 1.4138123063607833, 'yhat': array([1.55868954, 1.43102224, 1.65396697, ..., 3.003358  , 3.76446421,
       4.00000029], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.808045318345743), 'pearson': np.float64(0.817754715984146), 'spearman': np.float64(0.7398813978893451), 'mse': 0.34168572475379344, 'yhat': array([3.102186  , 4.48975677, 1.33001483, ..., 3.00000015, 3.99960562,
       4.91716868], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,CLS+MAX_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5862717880957995), 'wmean': np.float64(0.5964600308660181)}, 'spearman': {'mean': np.float64(0.5988753451250481), 'wmean': np.float64(0.6123437652622997)}}","{'pearson': {'mean': np.float64(0.5105003891894685), 'wmean': np.float64(0.612676750470409)}, 'spearman': {'mean': np.float64(0.5095681919061182), 'wmean': np.float64(0.6089176900530439)}}","{'pearson': {'mean': np.float64(0.6638847919085749), 'wmean': np.float64(0.6720526981528107)}, 'spearman': {'mean': np.float64(0.6583750150843095), 'wmean': np.float64(0.6696435680163539)}}","{'pearson': {'mean': np.float64(0.6894918593238358), 'wmean': np.float64(0.7152696663671665)}, 'spearman': {'mean': np.float64(0.6928343699847155), 'wmean': np.float64(0.7196690334782457)}}","{'pearson': {'mean': np.float64(0.6863832238123184), 'wmean': np.float64(0.6886440458120783)}, 'spearman': {'mean': np.float64(0.6957434969677674), 'wmean': np.float64(0.6984083533117288)}}","{'devpearson': np.float64(0.7564987743800006), 'pearson': np.float64(0.7265080226133362), 'spearman': np.float64(0.7275066947787985), 'mse': 1.1986409328024625, 'yhat': array([1.46009246, 1.44672125, 1.31759327, ..., 3.07164132, 3.67875648,
       4.31082493], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.831249718982985), 'pearson': np.float64(0.8321706750346715), 'spearman': np.float64(0.7694174896748603), 'mse': 0.31295366815679315, 'yhat': array([3.10681834, 4.33875287, 1.09712769, ..., 3.0085786 , 4.49659451,
       4.69423786], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,CLS+AVG-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5719099949932671), 'wmean': np.float64(0.5769856357227504)}, 'spearman': {'mean': np.float64(0.5715860876677171), 'wmean': np.float64(0.5832433153391846)}}","{'pearson': {'mean': np.float64(0.5202958215150937), 'wmean': np.float64(0.6165294005794718)}, 'spearman': {'mean': np.float64(0.5278898493415172), 'wmean': np.float64(0.6267309136763265)}}","{'pearson': {'mean': np.float64(0.6493081286489878), 'wmean': np.float64(0.663978976368658)}, 'spearman': {'mean': np.float64(0.6367708125965802), 'wmean': np.float64(0.6504923613102487)}}","{'pearson': {'mean': np.float64(0.6731344181597314), 'wmean': np.float64(0.6964821304347467)}, 'spearman': {'mean': np.float64(0.7042238695122307), 'wmean': np.float64(0.7271183812965889)}}","{'pearson': {'mean': np.float64(0.605904452354553), 'wmean': np.float64(0.6030711853024688)}, 'spearman': {'mean': np.float64(0.6581746680094411), 'wmean': np.float64(0.6566828889601435)}}","{'devpearson': np.float64(0.7984962641508491), 'pearson': np.float64(0.7388096189638598), 'spearman': np.float64(0.7359104891151572), 'mse': 1.1929656872227086, 'yhat': array([1.38434651, 1.19815923, 1.62329086, ..., 3.28980484, 3.79213328,
       4.12690602], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8100187577698977), 'pearson': np.float64(0.8142692745236005), 'spearman': np.float64(0.7123560503265208), 'mse': 0.3435984141403343, 'yhat': array([3.58668159, 4.08485829, 1.23532288, ..., 3.20556038, 3.96142044,
       4.23360646], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,CLS+SUM-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5856832737726986), 'wmean': np.float64(0.6030577889325315)}, 'spearman': {'mean': np.float64(0.5932318802938343), 'wmean': np.float64(0.607860422510615)}}","{'pearson': {'mean': np.float64(0.6111089122235135), 'wmean': np.float64(0.6569270122359271)}, 'spearman': {'mean': np.float64(0.6154227716999047), 'wmean': np.float64(0.6570886738928925)}}","{'pearson': {'mean': np.float64(0.6907036246201231), 'wmean': np.float64(0.704958581636438)}, 'spearman': {'mean': np.float64(0.6615729610191955), 'wmean': np.float64(0.6759236250703131)}}","{'pearson': {'mean': np.float64(0.7563363560886484), 'wmean': np.float64(0.7609998009284811)}, 'spearman': {'mean': np.float64(0.7570201456681358), 'wmean': np.float64(0.7605190917258002)}}","{'pearson': {'mean': np.float64(0.7230633640698473), 'wmean': np.float64(0.7230078963070512)}, 'spearman': {'mean': np.float64(0.7250443763561994), 'wmean': np.float64(0.724592640719941)}}","{'devpearson': np.float64(0.7007844003709727), 'pearson': np.float64(0.6729987850757359), 'spearman': np.float64(0.6761524620046058), 'mse': 1.2921369499471949, 'yhat': array([1.60929083, 1.52783009, 1.79679468, ..., 3.04546091, 3.59668508,
       3.99794839], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7965166061665572), 'pearson': np.float64(0.7889108558647571), 'spearman': np.float64(0.6691195894078619), 'mse': 0.3865074111550606, 'yhat': array([3.39741283, 4.02002024, 1.36392262, ..., 3.00109788, 3.41807811,
       4.99976886], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,CLS+MAX-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5693972683041165), 'wmean': np.float64(0.5745957896051296)}, 'spearman': {'mean': np.float64(0.5762308918569826), 'wmean': np.float64(0.5899567673476501)}}","{'pearson': {'mean': np.float64(0.4585980788741159), 'wmean': np.float64(0.5775171745457406)}, 'spearman': {'mean': np.float64(0.4728615432253516), 'wmean': np.float64(0.5901083317298682)}}","{'pearson': {'mean': np.float64(0.6393335647548659), 'wmean': np.float64(0.6489904517794268)}, 'spearman': {'mean': np.float64(0.635563457715592), 'wmean': np.float64(0.649384041804881)}}","{'pearson': {'mean': np.float64(0.657041512494502), 'wmean': np.float64(0.6787025348679522)}, 'spearman': {'mean': np.float64(0.688827477552332), 'wmean': np.float64(0.7119019652269045)}}","{'pearson': {'mean': np.float64(0.6062371727960668), 'wmean': np.float64(0.6062733471578416)}, 'spearman': {'mean': np.float64(0.6459294777849821), 'wmean': np.float64(0.6475282787357898)}}","{'devpearson': np.float64(0.7670245756632446), 'pearson': np.float64(0.6987855913905773), 'spearman': np.float64(0.6974532363689688), 'mse': 1.2505332825565525, 'yhat': array([1.55863485, 1.23173917, 1.75327811, ..., 3.10257921, 3.70749909,
       4.20906155], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7891753910843768), 'pearson': np.float64(0.8006378537956723), 'spearman': np.float64(0.7074828862269325), 'mse': 0.3690428793319263, 'yhat': array([3.2848458 , 3.98835898, 1.03918833, ..., 3.05641744, 4.23603263,
       4.49403079], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG+SUM_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5824376871812186), 'wmean': np.float64(0.5953653728406714)}, 'spearman': {'mean': np.float64(0.5934175396590239), 'wmean': np.float64(0.6045698957165643)}}","{'pearson': {'mean': np.float64(0.5961906038659411), 'wmean': np.float64(0.6363050659602391)}, 'spearman': {'mean': np.float64(0.6015437709754895), 'wmean': np.float64(0.6381348464661972)}}","{'pearson': {'mean': np.float64(0.67922906928737), 'wmean': np.float64(0.6900976225387552)}, 'spearman': {'mean': np.float64(0.6552233716108185), 'wmean': np.float64(0.6669028680855139)}}","{'pearson': {'mean': np.float64(0.749003884817776), 'wmean': np.float64(0.7559628474358155)}, 'spearman': {'mean': np.float64(0.745736670930557), 'wmean': np.float64(0.7529352860722592)}}","{'pearson': {'mean': np.float64(0.7199276826490904), 'wmean': np.float64(0.7217310250698012)}, 'spearman': {'mean': np.float64(0.7248521652418645), 'wmean': np.float64(0.7264283206083756)}}","{'devpearson': np.float64(0.6888726781027397), 'pearson': np.float64(0.6250899855101436), 'spearman': np.float64(0.6258726503755547), 'mse': 1.4288929594253144, 'yhat': array([1.42940793, 1.50603792, 1.61867311, ..., 3.00041914, 3.8916608 ,
       4.01444779], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8074316401879875), 'pearson': np.float64(0.8181648492367465), 'spearman': np.float64(0.7387816695668475), 'mse': 0.3409062979972667, 'yhat': array([3.06451119, 4.50587605, 1.25734594, ..., 3.00000031, 3.99841171,
       4.32477588], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG+MAX_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5761119570803722), 'wmean': np.float64(0.5856651626015165)}, 'spearman': {'mean': np.float64(0.5862359945781044), 'wmean': np.float64(0.6006381795761869)}}","{'pearson': {'mean': np.float64(0.514000825584704), 'wmean': np.float64(0.61747036178542)}, 'spearman': {'mean': np.float64(0.513731907031564), 'wmean': np.float64(0.6162459709883836)}}","{'pearson': {'mean': np.float64(0.6515926531736194), 'wmean': np.float64(0.6617531127694436)}, 'spearman': {'mean': np.float64(0.647796082626518), 'wmean': np.float64(0.6594226039575138)}}","{'pearson': {'mean': np.float64(0.6631054567195378), 'wmean': np.float64(0.6945224417178598)}, 'spearman': {'mean': np.float64(0.6761396460448613), 'wmean': np.float64(0.7070564265144218)}}","{'pearson': {'mean': np.float64(0.6499655965693307), 'wmean': np.float64(0.6498983542604136)}, 'spearman': {'mean': np.float64(0.677882854390133), 'wmean': np.float64(0.6788831548226706)}}","{'devpearson': np.float64(0.7663923457556826), 'pearson': np.float64(0.7281806417433735), 'spearman': np.float64(0.7277423750390744), 'mse': 1.2017932065696715, 'yhat': array([1.30518631, 1.24206212, 1.20565706, ..., 3.50267565, 3.64719794,
       4.31898562], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.843125441464734), 'pearson': np.float64(0.8485606206240244), 'spearman': np.float64(0.7819244303172262), 'mse': 0.28653756349944043, 'yhat': array([3.54137213, 4.28132487, 1.05963079, ..., 3.10178529, 4.44548739,
       4.72867667], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG+AVG-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.6009370967491265), 'wmean': np.float64(0.6158239851215043)}, 'spearman': {'mean': np.float64(0.6051789150577717), 'wmean': np.float64(0.6183412724123911)}}","{'pearson': {'mean': np.float64(0.6354727638234845), 'wmean': np.float64(0.6780061368191087)}, 'spearman': {'mean': np.float64(0.6402663684990159), 'wmean': np.float64(0.6769898965744682)}}","{'pearson': {'mean': np.float64(0.7073775039084853), 'wmean': np.float64(0.7204404504438476)}, 'spearman': {'mean': np.float64(0.6733324623595603), 'wmean': np.float64(0.6871675383705264)}}","{'pearson': {'mean': np.float64(0.764229501625338), 'wmean': np.float64(0.7684404771745712)}, 'spearman': {'mean': np.float64(0.7651094574568061), 'wmean': np.float64(0.7684677670915009)}}","{'pearson': {'mean': np.float64(0.7253835262847761), 'wmean': np.float64(0.7245234743842045)}, 'spearman': {'mean': np.float64(0.7277467363048274), 'wmean': np.float64(0.7265357575759653)}}","{'devpearson': np.float64(0.7911085913462781), 'pearson': np.float64(0.7438465546623231), 'spearman': np.float64(0.7424281014682159), 'mse': 1.1968688506075116, 'yhat': array([1.18697425, 1.09678359, 1.35838852, ..., 3.45777285, 3.73302471,
       4.08423909], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8329868177526114), 'pearson': np.float64(0.8454761058717097), 'spearman': np.float64(0.7734290097619982), 'mse': 0.29029751568822804, 'yhat': array([3.72162505, 4.29254942, 1.45202031, ..., 3.11171059, 4.18556014,
       4.49211244], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG+SUM-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5970023648651088), 'wmean': np.float64(0.6123317557216793)}, 'spearman': {'mean': np.float64(0.6005399263935001), 'wmean': np.float64(0.613742853777743)}}","{'pearson': {'mean': np.float64(0.6351511392134089), 'wmean': np.float64(0.6813958996203492)}, 'spearman': {'mean': np.float64(0.6363882270551257), 'wmean': np.float64(0.678542583843638)}}","{'pearson': {'mean': np.float64(0.7069575769885458), 'wmean': np.float64(0.7211834947640909)}, 'spearman': {'mean': np.float64(0.6706535047557822), 'wmean': np.float64(0.6854281744818906)}}","{'pearson': {'mean': np.float64(0.7619966024561375), 'wmean': np.float64(0.7666099253243478)}, 'spearman': {'mean': np.float64(0.7642546961372425), 'wmean': np.float64(0.7677041986472177)}}","{'pearson': {'mean': np.float64(0.7186898599017879), 'wmean': np.float64(0.7175644566648809)}, 'spearman': {'mean': np.float64(0.7229743110333761), 'wmean': np.float64(0.7215770667986833)}}","{'devpearson': np.float64(0.7061982570719267), 'pearson': np.float64(0.6609391293890632), 'spearman': np.float64(0.6645387453596701), 'mse': 1.3221194971022912, 'yhat': array([1.40207632, 1.64161732, 1.60913266, ..., 3.52293391, 3.54000659,
       3.99980151], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8163536518325433), 'pearson': np.float64(0.8205436973825644), 'spearman': np.float64(0.7291991405738403), 'mse': 0.33361403469432965, 'yhat': array([3.41148138, 4.41352715, 1.34151915, ..., 3.0004859 , 3.44635607,
       4.93204371], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
