model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS+AVG_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(79.14), 'acc': np.float64(79.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.19), 'acc': np.float64(84.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.03), 'acc': np.float64(93.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.9), 'acc': np.float64(90.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 84.24, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.52), 'acc': 89.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.21), 'acc': 74.32, 'f1': 81.75, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(78.47), 'acc': np.float64(78.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.78), 'acc': np.float64(80.61), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.96), 'acc': np.float64(92.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.1), 'acc': np.float64(88.36), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 83.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.56), 'acc': 88.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.47), 'acc': 71.3, 'f1': 79.25, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+MAX_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(72.77), 'acc': np.float64(72.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.37), 'acc': np.float64(79.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.92), 'acc': np.float64(91.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.79), 'acc': np.float64(88.2), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.41), 'acc': 76.61, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.06), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.06), 'acc': 71.13, 'f1': 78.9, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(78.13), 'acc': np.float64(77.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.26), 'acc': np.float64(81.64), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.17), 'acc': np.float64(93.22), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.46), 'acc': np.float64(88.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.11), 'acc': 82.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.68), 'acc': 81.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.79), 'acc': 72.0, 'f1': 80.02, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.01), 'acc': np.float64(77.33), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.74), 'acc': np.float64(78.22), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.37), 'acc': np.float64(91.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.38), 'acc': np.float64(87.5), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 83.69, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(75.11), 'acc': 82.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.12), 'acc': 69.33, 'f1': 77.84, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+MAX-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(72.63), 'acc': np.float64(72.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.7), 'acc': np.float64(64.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.76), 'acc': np.float64(89.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(36.13), 'acc': np.float64(35.8), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.46), 'acc': 80.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.76), 'acc': 70.43, 'f1': 78.41, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+SUM_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(78.51), 'acc': np.float64(78.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.79), 'acc': np.float64(80.26), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.91), 'acc': np.float64(92.18), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.13), 'acc': np.float64(88.38), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.49), 'acc': 83.91, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.61), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.64), 'acc': 71.25, 'f1': 79.33, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+MAX_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.41), 'acc': np.float64(77.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.3), 'acc': np.float64(81.54), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.06), 'acc': np.float64(93.3), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.76), 'acc': np.float64(88.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 83.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.21), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.25), 'acc': 70.96, 'f1': 78.36, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(79.1), 'acc': np.float64(79.21), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.28), 'acc': np.float64(83.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.94), 'acc': np.float64(94.14), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.25), 'acc': np.float64(89.42), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.94), 'acc': 85.67, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.63), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.18), 'acc': 72.93, 'f1': 80.71, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+SUM-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.32), 'acc': np.float64(77.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.04), 'acc': np.float64(79.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.34), 'acc': np.float64(91.69), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.28), 'acc': np.float64(88.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 83.69, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.13), 'acc': 84.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.84), 'acc': 67.3, 'f1': 76.02, 'ndev': 4076, 'ntest': 1725}"
