,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS+AVG_SUM-1-2,two-tokens,CLS+AVG,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,79.23,84.03,93.94,90.0,84.24,89.4,74.32,85.02285714285715
1,allmpnet,CLS+SUM_SUM-1-2,two-tokens,CLS+SUM,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,78.77,80.61,92.12,88.36,83.75,88.4,71.3,83.33
2,allmpnet,CLS+MAX_SUM-1-2,two-tokens,CLS+MAX,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,72.94,79.74,91.02,88.2,76.61,86.4,71.13,80.86285714285714
3,allmpnet,CLS+AVG-NS_SUM-1-2,two-tokens,CLS+AVG-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.89,81.64,93.22,88.54,82.81,81.0,72.0,82.44285714285715
4,allmpnet,CLS+SUM-NS_SUM-1-2,two-tokens,CLS+SUM-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.33,78.22,91.79,87.5,83.69,82.2,69.33,81.43714285714286
5,allmpnet,CLS+MAX-NS_SUM-1-2,two-tokens,CLS+MAX-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,72.86,64.58,89.93,35.8,50.08,80.6,70.43,66.32571428571428
6,allmpnet,AVG+SUM_SUM-1-2,two-tokens,AVG+SUM,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,78.76,80.26,92.18,88.38,83.91,88.2,71.25,83.27714285714286
7,allmpnet,AVG+MAX_SUM-1-2,two-tokens,AVG+MAX,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.77,81.54,93.3,88.92,83.42,89.6,70.96,83.64428571428573
8,allmpnet,AVG+AVG-NS_SUM-1-2,two-tokens,AVG+AVG-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,79.21,83.58,94.14,89.42,85.67,88.2,72.93,84.7357142857143
9,allmpnet,AVG+SUM-NS_SUM-1-2,two-tokens,AVG+SUM-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.61,79.1,91.69,88.54,83.69,84.2,67.3,81.73285714285714
10,allmpnet,AVG+MAX-NS_SUM-1-2,two-tokens,AVG+MAX-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.95,65.32,92.85,35.79,50.08,88.4,70.26,68.66428571428571
11,allmpnet,SUM+MAX_SUM-1-2,two-tokens,SUM+MAX,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,78.57,79.79,92.05,87.71,83.8,89.2,71.3,83.20285714285714
12,allmpnet,SUM+AVG-NS_SUM-1-2,two-tokens,SUM+AVG-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,78.82,80.11,92.05,87.71,83.86,88.6,70.96,83.15857142857143
13,allmpnet,SUM+SUM-NS_SUM-1-2,two-tokens,SUM+SUM-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,78.44,80.34,91.71,87.9,83.91,89.2,70.2,83.1
14,allmpnet,SUM+MAX-NS_SUM-1-2,two-tokens,SUM+MAX-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,78.52,67.36,92.19,35.79,50.08,89.6,71.13,69.23857142857142
15,allmpnet,MAX+AVG-NS_SUM-1-2,two-tokens,MAX+AVG-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.43,81.72,93.13,87.82,82.15,88.4,70.49,83.02
16,allmpnet,MAX+SUM-NS_SUM-1-2,two-tokens,MAX+SUM-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.19,79.07,91.64,87.55,83.2,87.6,68.06,82.0442857142857
17,allmpnet,MAX+MAX-NS_SUM-1-2,two-tokens,MAX+MAX-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,73.05,65.4,90.94,35.79,50.08,87.4,69.86,67.50285714285714
18,allmpnet,AVG-NS+SUM-NS_SUM-1-2,two-tokens,AVG-NS+SUM-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.28,78.3,91.71,87.08,82.65,82.0,67.36,80.91142857142857
19,allmpnet,AVG-NS+MAX-NS_SUM-1-2,two-tokens,AVG-NS+MAX-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.06,65.14,92.38,35.79,50.08,84.4,69.39,67.74857142857142
20,allmpnet,SUM-NS+MAX-NS_SUM-1-2,two-tokens,SUM-NS+MAX-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,76.49,65.03,91.43,35.79,50.08,84.0,68.29,67.30142857142857
21,allmpnet,CLS+AVG_SUM-2-3,two-tokens,CLS+AVG,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,80.73,86.12,94.92,90.03,85.56,91.4,73.8,86.08000000000001
22,allmpnet,CLS+SUM_SUM-2-3,two-tokens,CLS+SUM,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,79.54,82.78,93.35,88.62,84.9,89.4,70.55,84.16285714285712
23,allmpnet,CLS+MAX_SUM-2-3,two-tokens,CLS+MAX,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,76.29,80.8,92.0,88.35,80.51,90.8,72.06,82.97285714285714
24,allmpnet,CLS+AVG-NS_SUM-2-3,two-tokens,CLS+AVG-NS,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,79.57,83.63,94.17,89.26,84.57,86.2,72.75,84.30714285714285
25,allmpnet,CLS+SUM-NS_SUM-2-3,two-tokens,CLS+SUM-NS,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,78.2,79.92,92.65,88.06,84.07,85.6,69.28,82.53999999999999
26,allmpnet,CLS+MAX-NS_SUM-2-3,two-tokens,CLS+MAX-NS,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,75.3,65.24,91.48,31.75,50.08,83.8,71.54,67.02714285714286
27,allmpnet,AVG+SUM_SUM-2-3,two-tokens,AVG+SUM,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,79.49,82.33,93.27,88.72,84.13,89.0,70.55,83.92714285714284
28,allmpnet,AVG+MAX_SUM-2-3,two-tokens,AVG+MAX,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,79.29,83.39,93.79,89.08,84.68,91.6,71.54,84.76714285714286
29,allmpnet,AVG+AVG-NS_SUM-2-3,two-tokens,AVG+AVG-NS,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,80.57,85.32,94.87,89.25,85.89,91.4,73.8,85.87142857142855
30,allmpnet,AVG+SUM-NS_SUM-2-3,two-tokens,AVG+SUM-NS,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,78.61,80.11,92.53,88.84,84.51,87.2,68.0,82.82857142857142
31,allmpnet,AVG+MAX-NS_SUM-2-3,two-tokens,AVG+MAX-NS,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,79.25,65.61,93.96,31.75,50.08,89.6,71.88,68.87571428571428
32,allmpnet,SUM+MAX_SUM-2-3,two-tokens,SUM+MAX,SUM-2-3,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,79.55,82.2,92.96,88.01,84.62,89.4,70.49,83.89
