model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(61.27), 'acc': np.float64(61.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(64.09), 'acc': np.float64(64.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(75.03), 'acc': np.float64(75.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(77.06), 'acc': np.float64(77.17), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(64.91), 'acc': 65.18, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(55.48), 'acc': 60.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.57), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.33), 'acc': np.float64(78.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.5), 'acc': np.float64(81.93), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.08), 'acc': np.float64(93.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.53), 'acc': np.float64(89.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.8), 'acc': 81.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.68), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.19), 'acc': 73.1, 'f1': 81.01, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.19), 'acc': np.float64(77.27), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.92), 'acc': np.float64(78.62), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.2), 'acc': np.float64(91.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.79), 'acc': np.float64(87.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.03), 'acc': 82.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.9), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.98), 'acc': 72.17, 'f1': 79.64, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(72.35), 'acc': np.float64(72.3), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.61), 'acc': np.float64(77.51), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.03), 'acc': np.float64(89.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.57), 'acc': np.float64(87.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.38), 'acc': 75.89, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.46), 'acc': 85.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.5), 'acc': 69.68, 'f1': 77.19, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.01), 'acc': np.float64(78.17), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.37), 'acc': np.float64(81.43), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.01), 'acc': np.float64(93.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.82), 'acc': np.float64(89.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.11), 'acc': 81.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.37), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.24), 'acc': 73.04, 'f1': 80.97, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM-NS_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(76.89), 'acc': np.float64(77.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.83), 'acc': np.float64(78.12), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.21), 'acc': np.float64(91.59), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.83), 'acc': np.float64(87.91), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.68), 'acc': 81.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.19), 'acc': 88.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.4), 'acc': 72.23, 'f1': 79.85, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX-NS_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(72.18), 'acc': np.float64(72.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.52), 'acc': np.float64(65.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.03), 'acc': np.float64(89.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(57.72), 'acc': np.float64(48.93), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.26), 'acc': 75.62, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.62), 'acc': 85.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.26), 'acc': 68.64, 'f1': 76.67, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(66.07), 'acc': np.float64(66.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(64.83), 'acc': np.float64(64.98), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(84.17), 'acc': np.float64(84.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.4), 'acc': np.float64(80.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(71.44), 'acc': 71.39, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(67.19), 'acc': 72.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.76), 'acc': 66.84, 'f1': 79.66, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.39), 'acc': np.float64(79.48), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.54), 'acc': np.float64(82.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.02), 'acc': np.float64(94.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.89), 'acc': np.float64(90.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.52), 'acc': 84.13, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.98), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.75), 'acc': 73.86, 'f1': 81.49, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.38), 'acc': np.float64(78.38), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.82), 'acc': np.float64(79.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.28), 'acc': np.float64(92.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.08), 'acc': np.float64(88.39), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.94), 'acc': 83.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.38), 'acc': 89.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.98), 'acc': 72.87, 'f1': 81.08, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(73.76), 'acc': np.float64(74.01), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.98), 'acc': np.float64(78.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.31), 'acc': np.float64(90.3), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.21), 'acc': np.float64(88.44), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.75), 'acc': 77.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.25), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.14), 'acc': 69.51, 'f1': 77.46, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.15), 'acc': np.float64(79.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.2), 'acc': np.float64(82.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.98), 'acc': np.float64(93.89), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.18), 'acc': np.float64(89.45), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 83.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.05), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.19), 'acc': 74.32, 'f1': 81.76, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM-NS_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.06), 'acc': np.float64(78.21), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.61), 'acc': np.float64(79.52), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.22), 'acc': np.float64(92.42), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.05), 'acc': np.float64(88.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.14), 'acc': 83.25, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.27), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.69), 'acc': 73.45, 'f1': 81.06, 'ndev': 4076, 'ntest': 1725}"
