model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(63.31), 'acc': np.float64(63.38), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(65.48), 'acc': np.float64(65.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(80.12), 'acc': np.float64(80.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(78.56), 'acc': np.float64(78.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(63.65), 'acc': 63.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(54.71), 'acc': 62.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.56), 'acc': np.float64(77.75), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.65), 'acc': np.float64(80.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.58), 'acc': np.float64(92.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.18), 'acc': np.float64(89.21), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 82.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.99), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.04), 'acc': 73.04, 'f1': 80.79, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(76.31), 'acc': np.float64(76.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.06), 'acc': np.float64(77.67), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.64), 'acc': np.float64(91.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.57), 'acc': np.float64(87.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.0), 'acc': 82.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.47), 'acc': 86.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.15), 'acc': 70.84, 'f1': 78.59, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(71.71), 'acc': np.float64(71.91), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(75.13), 'acc': np.float64(74.94), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(87.76), 'acc': np.float64(87.8), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.04), 'acc': np.float64(87.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.0), 'acc': 74.63, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(79.93), 'acc': 83.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.59), 'acc': 67.07, 'f1': 74.93, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.25), 'acc': np.float64(77.54), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.51), 'acc': np.float64(80.56), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.51), 'acc': np.float64(92.65), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.44), 'acc': np.float64(88.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.22), 'acc': 82.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.77), 'acc': 90.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.01), 'acc': 72.99, 'f1': 80.79, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM-NS_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(76.14), 'acc': np.float64(76.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.86), 'acc': np.float64(77.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.61), 'acc': np.float64(91.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.55), 'acc': np.float64(87.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 82.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.57), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.09), 'acc': 69.8, 'f1': 77.61, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX-NS_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(71.7), 'acc': np.float64(72.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.39), 'acc': np.float64(64.85), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(87.82), 'acc': np.float64(87.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(57.62), 'acc': np.float64(48.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.0), 'acc': 74.85, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(79.88), 'acc': 84.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.03), 'acc': 66.96, 'f1': 74.87, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(59.78), 'acc': np.float64(60.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(74.54), 'acc': np.float64(74.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(70.22), 'acc': np.float64(70.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(66.28), 'acc': 66.28, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(55.14), 'acc': 60.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.62), 'acc': 66.55, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.43), 'acc': np.float64(78.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.77), 'acc': np.float64(82.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.39), 'acc': np.float64(93.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.57), 'acc': np.float64(89.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 82.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.76), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.75), 'acc': 72.87, 'f1': 80.74, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.41), 'acc': np.float64(77.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.06), 'acc': np.float64(78.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.68), 'acc': np.float64(92.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.63), 'acc': np.float64(87.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 83.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.76), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.13), 'acc': 72.06, 'f1': 79.63, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(72.78), 'acc': np.float64(73.18), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.83), 'acc': np.float64(76.85), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.31), 'acc': np.float64(89.43), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.67), 'acc': np.float64(87.96), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.11), 'acc': 75.56, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.25), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.43), 'acc': 69.33, 'f1': 77.13, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.26), 'acc': np.float64(78.25), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.59), 'acc': np.float64(81.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.3), 'acc': np.float64(93.49), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.93), 'acc': np.float64(89.19), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 82.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.5), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.07), 'acc': 72.12, 'f1': 80.33, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM-NS_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.26), 'acc': np.float64(77.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.98), 'acc': np.float64(78.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.73), 'acc': np.float64(92.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.59), 'acc': np.float64(87.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.22), 'acc': 82.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.83), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.76), 'acc': 72.23, 'f1': 80.15, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX-NS_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(72.66), 'acc': np.float64(72.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.55), 'acc': np.float64(64.77), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.5), 'acc': np.float64(89.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(57.81), 'acc': np.float64(49.16), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.03), 'acc': 75.56, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.25), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.67), 'acc': 71.54, 'f1': 79.03, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LYR-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(68.0), 'acc': np.float64(68.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(68.61), 'acc': np.float64(68.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(85.83), 'acc': np.float64(86.11), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(83.51), 'acc': np.float64(83.69), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(73.97), 'acc': 73.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.55), 'acc': 76.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.28), 'acc': 67.65, 'f1': 79.75, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LYR-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.64), 'acc': np.float64(79.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.78), 'acc': np.float64(82.86), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.15), 'acc': np.float64(94.3), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.75), 'acc': np.float64(89.81), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.06), 'acc': 84.73, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.24), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.21), 'acc': 75.07, 'f1': 82.29, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM_LYR-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.42), 'acc': np.float64(78.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.33), 'acc': np.float64(79.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.36), 'acc': np.float64(92.42), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.0), 'acc': np.float64(88.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 84.68, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.4), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.23), 'acc': 72.81, 'f1': 80.82, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX_LYR-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(74.14), 'acc': np.float64(74.66), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.22), 'acc': np.float64(78.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.4), 'acc': np.float64(90.55), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.06), 'acc': np.float64(88.26), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.98), 'acc': 78.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.22), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.58), 'acc': 69.57, 'f1': 77.28, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LYR-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.43), 'acc': np.float64(79.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.38), 'acc': np.float64(82.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.15), 'acc': np.float64(94.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.09), 'acc': np.float64(89.29), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.06), 'acc': 84.51, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.46), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.07), 'acc': 74.49, 'f1': 81.92, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM-NS_LYR-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.16), 'acc': np.float64(78.2), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.07), 'acc': np.float64(79.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.39), 'acc': np.float64(92.41), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.03), 'acc': np.float64(88.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 84.24, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.36), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.47), 'acc': 72.99, 'f1': 80.92, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX-NS_LYR-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(74.11), 'acc': np.float64(74.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.72), 'acc': np.float64(65.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.51), 'acc': np.float64(90.63), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(57.84), 'acc': np.float64(49.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.98), 'acc': 78.14, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.64), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.9), 'acc': 70.03, 'f1': 77.69, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LYR-4,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(54.35), 'acc': np.float64(51.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(68.15), 'acc': np.float64(69.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(63.88), 'acc': 62.22, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.41), 'acc': 48.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LYR-4,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(81.0), 'acc': np.float64(81.04), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.55), 'acc': np.float64(85.54), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.55), 'acc': np.float64(94.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.95), 'acc': np.float64(90.08), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.58), 'acc': 85.78, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.18), 'acc': 93.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.48), 'acc': 74.14, 'f1': 81.66, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM_LYR-4,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.89), 'acc': np.float64(80.25), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.6), 'acc': np.float64(81.83), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.45), 'acc': np.float64(92.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.41), 'acc': np.float64(88.62), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.47), 'acc': 85.89, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.24), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.77), 'acc': 71.25, 'f1': 78.64, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX_LYR-4,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(75.58), 'acc': np.float64(75.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.59), 'acc': np.float64(82.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.73), 'acc': np.float64(91.86), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.61), 'acc': np.float64(88.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.36), 'acc': 80.01, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.27), 'acc': 94.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.34), 'acc': 70.9, 'f1': 78.45, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LYR-4,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(80.65), 'acc': np.float64(80.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.17), 'acc': np.float64(84.69), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.57), 'acc': np.float64(94.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.48), 'acc': np.float64(89.69), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.58), 'acc': 85.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.29), 'acc': 93.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.14), 'acc': 73.33, 'f1': 81.07, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM-NS_LYR-4,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.81), 'acc': np.float64(80.09), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.5), 'acc': np.float64(81.78), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.51), 'acc': np.float64(92.64), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.36), 'acc': np.float64(88.53), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.12), 'acc': 85.56, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.42), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.93), 'acc': 71.94, 'f1': 79.92, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX-NS_LYR-4,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(75.42), 'acc': np.float64(75.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.07), 'acc': np.float64(64.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.77), 'acc': np.float64(91.84), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(58.07), 'acc': np.float64(49.44), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.36), 'acc': 79.57, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.75), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.64), 'acc': 70.84, 'f1': 78.6, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_LYR-5,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(55.61), 'acc': np.float64(52.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.78), 'acc': np.float64(63.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(78.8), 'acc': np.float64(79.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.93), 'acc': np.float64(69.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(67.89), 'acc': 66.17, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(51.76), 'acc': 59.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.59), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_LYR-5,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(81.98), 'acc': np.float64(81.97), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.75), 'acc': np.float64(86.94), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.15), 'acc': np.float64(95.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.26), 'acc': np.float64(90.37), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.24), 'acc': 87.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.68), 'acc': 94.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.43), 'acc': 74.2, 'f1': 81.74, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM_LYR-5,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(80.66), 'acc': np.float64(80.44), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.46), 'acc': np.float64(84.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.18), 'acc': np.float64(93.22), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.55), 'acc': np.float64(88.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.32), 'acc': 86.11, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.11), 'acc': 93.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.79), 'acc': 71.36, 'f1': 79.33, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX_LYR-5,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.05), 'acc': np.float64(77.18), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.88), 'acc': np.float64(82.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.18), 'acc': np.float64(92.2), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.76), 'acc': np.float64(88.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.16), 'acc': 80.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.16), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.42), 'acc': 70.67, 'f1': 78.3, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_LYR-5,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(81.77), 'acc': np.float64(81.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.4), 'acc': np.float64(86.65), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.18), 'acc': np.float64(95.2), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.71), 'acc': np.float64(89.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.67), 'acc': 87.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.94), 'acc': 94.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.07), 'acc': 73.8, 'f1': 81.35, 'ndev': 4076, 'ntest': 1725}"
