,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_LYR-1,simple,CLS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,63.31,65.48,80.12,78.56,63.65,54.71,67.54,67.62428571428572
1,deberta-base,AVG_LYR-1,simple,AVG,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.56,80.65,92.58,89.18,82.45,83.99,73.04,82.77857142857144
2,deberta-base,SUM_LYR-1,simple,SUM,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,76.31,77.06,90.64,87.57,82.0,81.47,71.15,80.88571428571427
3,deberta-base,MAX_LYR-1,simple,MAX,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,71.71,75.13,87.76,87.04,75.0,79.93,67.59,77.73714285714286
4,deberta-base,AVG-NS_LYR-1,simple-ns,AVG-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.25,80.51,92.51,88.44,82.22,83.77,73.01,82.52999999999999
5,deberta-base,SUM-NS_LYR-1,simple-ns,SUM-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,76.14,76.86,90.61,87.55,81.54,81.57,70.09,80.62285714285714
6,deberta-base,MAX-NS_LYR-1,simple-ns,MAX-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,71.7,62.39,87.82,57.62,75.0,79.88,68.03,71.77714285714285
7,deberta-base,CLS_LYR-2,simple,CLS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.78,63.76,74.54,70.22,66.28,55.14,67.62,65.3342857142857
8,deberta-base,AVG_LYR-2,simple,AVG,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.43,81.77,93.39,89.57,83.6,84.76,74.75,83.75285714285714
9,deberta-base,SUM_LYR-2,simple,SUM,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.41,78.06,91.68,87.63,82.57,82.76,72.13,81.74857142857142
10,deberta-base,MAX_LYR-2,simple,MAX,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,72.78,76.83,89.31,87.67,75.11,82.25,69.43,79.05428571428573
11,deberta-base,AVG-NS_LYR-2,simple-ns,AVG-NS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.26,81.59,93.3,88.93,82.57,84.5,74.07,83.31714285714285
12,deberta-base,SUM-NS_LYR-2,simple-ns,SUM-NS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.26,77.98,91.73,87.59,82.22,82.83,71.76,81.62428571428573
13,deberta-base,MAX-NS_LYR-2,simple-ns,MAX-NS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,72.66,62.55,89.5,57.81,76.03,82.25,69.67,72.92428571428572
14,deberta-base,CLS_LYR-3,simple,CLS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,68.0,68.61,85.83,83.51,73.97,71.55,68.28,74.25
15,deberta-base,AVG_LYR-3,simple,AVG,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.64,82.78,94.15,89.75,84.06,85.24,74.21,84.26142857142858
16,deberta-base,SUM_LYR-3,simple,SUM,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.42,79.33,92.36,88.0,83.37,83.4,72.23,82.44428571428571
17,deberta-base,MAX_LYR-3,simple,MAX,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,74.14,78.22,90.4,88.06,77.98,83.22,70.58,80.3714285714286
18,deberta-base,AVG-NS_LYR-3,simple-ns,AVG-NS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.43,82.38,94.15,89.09,84.06,85.46,74.07,84.09142857142858
19,deberta-base,SUM-NS_LYR-3,simple-ns,SUM-NS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.16,79.07,92.39,88.03,83.72,83.36,72.47,82.45714285714287
20,deberta-base,MAX-NS_LYR-3,simple-ns,MAX-NS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,74.11,62.72,90.51,57.84,77.98,83.64,70.9,73.95714285714284
21,deberta-base,CLS_LYR-4,simple,CLS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.35,63.76,68.15,68.77,63.88,41.41,67.54,61.122857142857136
22,deberta-base,AVG_LYR-4,simple,AVG,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,81.0,85.55,94.55,89.95,86.58,87.18,74.48,85.61285714285714
23,deberta-base,SUM_LYR-4,simple,SUM,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.89,81.6,92.45,88.41,86.47,85.24,72.77,83.83285714285715
24,deberta-base,MAX_LYR-4,simple,MAX,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,75.58,81.59,91.73,88.61,79.36,85.27,71.34,81.92571428571429
25,deberta-base,AVG-NS_LYR-4,simple-ns,AVG-NS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.65,85.17,94.57,89.48,86.58,87.29,74.14,85.41142857142857
26,deberta-base,SUM-NS_LYR-4,simple-ns,SUM-NS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.81,81.5,92.51,88.36,86.12,85.42,71.93,83.66428571428573
27,deberta-base,MAX-NS_LYR-4,simple-ns,MAX-NS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,75.42,63.07,91.77,58.07,79.36,85.75,71.64,75.01142857142858
28,deberta-base,CLS_LYR-5,simple,CLS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.61,63.78,78.8,68.93,67.89,51.76,67.59,64.90857142857143
29,deberta-base,AVG_LYR-5,simple,AVG,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,81.98,86.75,95.15,90.26,86.24,88.68,74.43,86.21285714285715
30,deberta-base,SUM_LYR-5,simple,SUM,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.66,83.46,93.18,88.55,85.32,87.11,71.79,84.29571428571428
31,deberta-base,MAX_LYR-5,simple,MAX,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.05,81.88,92.18,88.76,80.16,87.16,71.42,82.65857142857142
32,deberta-base,AVG-NS_LYR-5,simple-ns,AVG-NS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,81.77,86.4,95.18,89.71,85.67,88.94,74.07,85.96285714285715
33,deberta-base,SUM-NS_LYR-5,simple-ns,SUM-NS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.67,83.42,93.2,88.56,85.32,87.31,72.37,84.40714285714286
34,deberta-base,MAX-NS_LYR-5,simple-ns,MAX-NS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.03,63.15,92.18,58.14,79.93,87.01,71.66,75.58571428571429
35,deberta-base,CLS_LYR-6,simple,CLS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.6,63.76,50.0,68.77,50.92,36.65,67.54,56.034285714285716
36,deberta-base,AVG_LYR-6,simple,AVG,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.9,88.79,95.71,90.73,88.3,89.07,75.29,87.39857142857143
37,deberta-base,SUM_LYR-6,simple,SUM,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.69,85.3,93.88,88.91,87.16,87.55,72.99,85.49714285714285
38,deberta-base,MAX_LYR-6,simple,MAX,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.26,84.52,93.29,89.15,82.8,87.99,71.88,84.12714285714286
39,deberta-base,AVG-NS_LYR-6,simple-ns,AVG-NS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,83.82,88.56,95.72,90.52,88.07,89.14,75.29,87.30285714285715
40,deberta-base,SUM-NS_LYR-6,simple-ns,SUM-NS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.7,85.19,93.9,88.99,86.93,87.47,72.64,85.40285714285713
41,deberta-base,MAX-NS_LYR-6,simple-ns,MAX-NS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.27,63.49,93.34,58.25,84.17,88.04,71.47,76.86142857142859
42,deberta-base,CLS_LYR-7,simple,CLS,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.15,63.76,81.59,68.77,50.92,51.06,67.54,63.39857142857143
43,deberta-base,AVG_LYR-7,simple,AVG,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.61,90.43,96.12,90.84,90.14,88.99,75.91,88.29142857142857
44,deberta-base,SUM_LYR-7,simple,SUM,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.35,87.35,94.15,89.13,88.88,87.23,73.5,86.37
