model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(64.64), 'acc': np.float64(64.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(66.33), 'acc': np.float64(66.46), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(81.76), 'acc': np.float64(81.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(79.35), 'acc': np.float64(79.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(64.79), 'acc': 64.85, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(55.8), 'acc': 63.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.84), 'acc': 67.01, 'f1': 79.6, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.9), 'acc': np.float64(78.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.75), 'acc': np.float64(81.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.97), 'acc': np.float64(93.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.92), 'acc': np.float64(89.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 81.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.84), 'acc': 89.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.57), 'acc': 71.65, 'f1': 79.62, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.18), 'acc': np.float64(77.2), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.2), 'acc': np.float64(78.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.16), 'acc': np.float64(91.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.64), 'acc': np.float64(87.75), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.03), 'acc': 82.87, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.73), 'acc': 87.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.31), 'acc': 71.07, 'f1': 79.35, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(72.3), 'acc': np.float64(72.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(75.38), 'acc': np.float64(76.32), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(88.59), 'acc': np.float64(89.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.17), 'acc': np.float64(87.5), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.49), 'acc': 75.84, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.46), 'acc': 85.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.98), 'acc': 68.12, 'f1': 76.31, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG-NS_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.59), 'acc': np.float64(77.72), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.44), 'acc': np.float64(80.96), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.84), 'acc': np.float64(92.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.33), 'acc': np.float64(88.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.0), 'acc': 82.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.44), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.13), 'acc': 71.48, 'f1': 79.22, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM-NS_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(76.9), 'acc': np.float64(77.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.98), 'acc': np.float64(77.64), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.2), 'acc': np.float64(91.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.66), 'acc': np.float64(87.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.11), 'acc': 82.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.68), 'acc': 89.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.78), 'acc': 70.14, 'f1': 78.64, 'ndev': 4076, 'ntest': 1725}"
deberta-base,MAX-NS_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(72.09), 'acc': np.float64(72.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.42), 'acc': np.float64(64.85), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(88.61), 'acc': np.float64(88.82), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(57.61), 'acc': np.float64(48.96), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.15), 'acc': 75.51, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.44), 'acc': 85.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.13), 'acc': 68.52, 'f1': 76.84, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS_SUM-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(68.67), 'acc': np.float64(68.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(69.12), 'acc': np.float64(69.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(86.97), 'acc': np.float64(86.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.64), 'acc': np.float64(84.95), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(72.48), 'acc': 72.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(68.42), 'acc': 71.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.67), 'acc': 69.04, 'f1': 80.25, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG_SUM-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.1), 'acc': np.float64(79.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.69), 'acc': np.float64(81.56), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.94), 'acc': np.float64(94.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.29), 'acc': np.float64(89.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.52), 'acc': 84.02, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.61), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.02), 'acc': 74.03, 'f1': 81.27, 'ndev': 4076, 'ntest': 1725}"
deberta-base,SUM_SUM-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.42), 'acc': np.float64(78.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.8), 'acc': np.float64(78.78), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.06), 'acc': np.float64(92.46), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.8), 'acc': np.float64(88.13), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.06), 'acc': 83.25, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.98), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.76), 'acc': 70.49, 'f1': 79.7, 'ndev': 4076, 'ntest': 1725}"
