,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_SUM-1-2,simple,CLS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,64.77,66.46,81.58,79.48,64.85,63.0,67.01,69.59285714285714
1,deberta-base,AVG_SUM-1-2,simple,AVG,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.26,81.11,93.07,89.1,81.93,89.4,71.65,83.50285714285714
2,deberta-base,SUM_SUM-1-2,simple,SUM,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,77.2,78.2,91.67,87.75,82.87,87.8,71.07,82.36571428571428
3,deberta-base,MAX_SUM-1-2,simple,MAX,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,72.28,76.32,89.07,87.5,75.84,85.4,68.12,79.21857142857142
4,deberta-base,AVG-NS_SUM-1-2,simple-ns,AVG-NS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,77.72,80.96,92.97,88.65,82.1,90.0,71.48,83.41142857142857
5,deberta-base,SUM-NS_SUM-1-2,simple-ns,SUM-NS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,77.12,77.64,91.45,87.71,82.15,89.2,70.14,82.20142857142856
6,deberta-base,MAX-NS_SUM-1-2,simple-ns,MAX-NS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,72.26,64.85,88.82,48.96,75.51,85.2,68.52,72.01714285714284
7,deberta-base,CLS_SUM-2-3,simple,CLS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,68.89,69.03,86.99,84.95,72.27,71.6,69.04,74.68142857142857
8,deberta-base,AVG_SUM-2-3,simple,AVG,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.19,81.56,94.06,89.57,84.02,91.4,74.03,84.83285714285714
9,deberta-base,SUM_SUM-2-3,simple,SUM,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.39,78.78,92.46,88.13,83.25,90.0,70.49,83.07142857142857
10,deberta-base,MAX_SUM-2-3,simple,MAX,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,73.96,76.82,89.84,88.08,77.7,90.6,70.55,81.07857142857142
11,deberta-base,AVG-NS_SUM-2-3,simple-ns,AVG-NS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.76,81.01,94.02,88.91,83.75,91.8,74.61,84.69428571428571
12,deberta-base,SUM-NS_SUM-2-3,simple-ns,SUM-NS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.13,78.94,92.34,88.06,83.25,90.0,72.06,83.25428571428571
13,deberta-base,MAX-NS_SUM-2-3,simple-ns,MAX-NS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,74.19,65.03,89.85,49.0,77.7,89.8,70.61,73.74
14,deberta-base,CLS_SUM-3-4,simple,CLS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,69.03,69.09,87.03,83.74,72.76,67.4,67.54,73.79857142857142
15,deberta-base,AVG_SUM-3-4,simple,AVG,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.27,83.98,94.4,89.44,85.34,93.6,72.7,85.67571428571429
16,deberta-base,SUM_SUM-3-4,simple,SUM,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.13,81.25,92.61,88.5,85.06,92.2,70.78,84.36142857142856
17,deberta-base,MAX_SUM-3-4,simple,MAX,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,74.94,79.5,91.28,88.37,79.41,93.0,71.13,82.51857142857143
18,deberta-base,AVG-NS_SUM-3-4,simple-ns,AVG-NS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.01,83.71,94.42,89.25,85.17,93.4,73.33,85.61285714285715
19,deberta-base,SUM-NS_SUM-3-4,simple-ns,SUM-NS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,79.71,80.88,92.46,88.31,85.01,92.0,70.49,84.12285714285713
20,deberta-base,MAX-NS_SUM-3-4,simple-ns,MAX-NS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,74.93,65.4,91.13,49.3,79.57,91.6,71.94,74.83857142857141
21,deberta-base,CLS_SUM-4-5,simple,CLS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,64.58,63.76,80.44,69.34,70.68,63.8,66.38,68.42571428571429
22,deberta-base,AVG_SUM-4-5,simple,AVG,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,81.6,86.07,94.76,89.71,86.82,93.8,73.62,86.62571428571428
23,deberta-base,SUM_SUM-4-5,simple,SUM,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.77,82.76,93.18,88.77,86.16,92.8,69.68,84.8742857142857
24,deberta-base,MAX_SUM-4-5,simple,MAX,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,77.12,81.06,91.85,88.52,80.83,92.2,71.13,83.24428571428572
25,deberta-base,AVG-NS_SUM-4-5,simple-ns,AVG-NS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,81.39,85.83,94.9,89.4,87.1,93.8,72.75,86.45285714285714
26,deberta-base,SUM-NS_SUM-4-5,simple-ns,SUM-NS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.77,82.04,93.45,88.71,86.33,93.0,70.14,84.91999999999999
27,deberta-base,MAX-NS_SUM-4-5,simple-ns,MAX-NS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,76.77,65.54,91.83,49.46,80.67,92.4,70.72,75.34142857142857
28,deberta-base,CLS_SUM-5-6,simple,CLS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,62.81,63.84,80.53,69.37,67.0,62.2,66.2,67.42142857142856
29,deberta-base,AVG_SUM-5-6,simple,AVG,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,82.49,88.74,95.55,90.47,87.86,94.8,74.9,87.83
30,deberta-base,SUM_SUM-5-6,simple,SUM,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,82.0,85.16,93.47,89.2,86.71,94.4,69.62,85.7942857142857
31,deberta-base,MAX_SUM-5-6,simple,MAX,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,78.26,82.54,92.73,88.96,82.65,93.8,71.07,84.28714285714285
32,deberta-base,AVG-NS_SUM-5-6,simple-ns,AVG-NS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,82.58,88.27,95.46,90.18,88.14,94.4,73.28,87.47285714285714
33,deberta-base,SUM-NS_SUM-5-6,simple-ns,SUM-NS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.77,85.19,93.68,89.26,86.99,93.6,70.49,85.85428571428572
34,deberta-base,MAX-NS_SUM-5-6,simple-ns,MAX-NS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,78.35,65.72,92.73,73.87,82.87,92.6,70.96,79.58571428571429
35,deberta-base,CLS_SUM-6-7,simple,CLS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,53.72,63.76,76.56,68.77,49.92,60.6,66.49,62.83142857142858
36,deberta-base,AVG_SUM-6-7,simple,AVG,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,84.68,90.07,95.9,90.72,89.79,95.2,74.96,88.76
37,deberta-base,SUM_SUM-6-7,simple,SUM,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.81,86.62,94.14,89.42,89.4,95.2,70.72,87.04428571428572
38,deberta-base,MAX_SUM-6-7,simple,MAX,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,80.63,84.24,93.07,88.95,85.94,95.0,71.83,85.66571428571429
39,deberta-base,AVG-NS_SUM-6-7,simple-ns,AVG-NS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,84.72,89.88,95.82,90.29,90.44,95.2,74.14,88.64142857142858
40,deberta-base,SUM-NS_SUM-6-7,simple-ns,SUM-NS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.92,86.2,94.38,89.52,89.4,95.0,71.13,87.07857142857142
41,deberta-base,MAX-NS_SUM-6-7,simple-ns,MAX-NS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,80.84,65.77,93.33,72.9,85.56,94.8,71.88,80.72571428571429
42,deberta-base,CLS_SUM-7-8,simple,CLS,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,77.7,63.76,89.09,68.77,81.27,55.4,66.49,71.78285714285714
43,deberta-base,AVG_SUM-7-8,simple,AVG,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,85.95,90.73,95.93,90.52,91.43,95.6,75.01,89.30999999999999
44,deberta-base,SUM_SUM-7-8,simple,SUM,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,84.96,87.47,94.46,89.01,91.05,95.8,70.96,87.67285714285715
45,deberta-base,MAX_SUM-7-8,simple,MAX,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,82.59,86.68,93.7,88.97,88.91,95.6,72.12,86.93857142857144
46,deberta-base,AVG-NS_SUM-7-8,simple-ns,AVG-NS,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,85.86,90.6,95.93,90.2,91.27,95.6,76.46,89.41714285714285
47,deberta-base,SUM-NS_SUM-7-8,simple-ns,SUM-NS,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,84.97,87.31,94.4,89.28,91.16,95.8,72.99,87.98714285714286
48,deberta-base,MAX-NS_SUM-7-8,simple-ns,MAX-NS,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,82.49,65.9,93.55,74.14,88.8,95.4,71.36,81.66285714285713
49,deberta-base,CLS_SUM-8-9,simple,CLS,SUM-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,81.13,80.82,89.24,82.19,87.26,88.0,71.83,82.92428571428572
50,deberta-base,AVG_SUM-8-9,simple,AVG,SUM-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,86.92,91.39,95.99,90.52,91.76,96.0,75.77,89.7642857142857
