,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS+AVG+SUM_SUM-1-2,three-tokens,CLS+AVG+SUM,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,77.18,77.16,91.17,87.51,83.49,81.66,70.24,81.20142857142856
1,deberta-base,CLS+AVG+MAX_SUM-1-2,three-tokens,CLS+AVG+MAX,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.02,77.25,91.1,87.42,81.42,83.55,69.01,80.82428571428571
2,deberta-base,CLS+AVG+AVG-NS_SUM-1-2,three-tokens,CLS+AVG+AVG-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,77.48,80.34,92.76,88.27,83.14,83.29,73.23,82.64428571428572
3,deberta-base,CLS+AVG+SUM-NS_SUM-1-2,three-tokens,CLS+AVG+SUM-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.91,76.96,91.17,87.54,82.0,81.73,70.53,80.97714285714287
4,deberta-base,CLS+AVG+MAX-NS_SUM-1-2,three-tokens,CLS+AVG+MAX-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.08,62.7,91.21,57.69,80.85,83.57,68.72,74.40285714285713
5,deberta-base,CLS+SUM+MAX_SUM-1-2,three-tokens,CLS+SUM+MAX,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.82,77.11,90.95,86.52,82.8,82.52,70.22,80.99142857142856
6,deberta-base,CLS+SUM+AVG-NS_SUM-1-2,three-tokens,CLS+SUM+AVG-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,77.2,77.19,91.16,86.75,82.57,81.57,70.44,80.98285714285713
7,deberta-base,CLS+SUM+SUM-NS_SUM-1-2,three-tokens,CLS+SUM+SUM-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,77.0,77.24,90.95,87.54,82.68,81.62,70.68,81.10142857142857
8,deberta-base,CLS+SUM+MAX-NS_SUM-1-2,three-tokens,CLS+SUM+MAX-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.75,73.06,90.9,75.55,82.57,82.87,70.51,78.88714285714286
9,deberta-base,CLS+MAX+AVG-NS_SUM-1-2,three-tokens,CLS+MAX+AVG-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.07,77.3,91.16,86.54,81.19,84.02,68.94,80.74571428571429
10,deberta-base,CLS+MAX+SUM-NS_SUM-1-2,three-tokens,CLS+MAX+SUM-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.53,76.74,90.85,86.52,82.22,82.7,71.02,80.94000000000001
11,deberta-base,CLS+MAX+MAX-NS_SUM-1-2,three-tokens,CLS+MAX+MAX-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,72.06,65.15,88.26,57.46,76.49,81.4,68.25,72.72428571428573
12,deberta-base,CLS+AVG-NS+SUM-NS_SUM-1-2,three-tokens,CLS+AVG-NS+SUM-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.88,76.9,91.2,86.76,82.91,81.77,70.71,81.01857142857143
13,deberta-base,CLS+AVG-NS+MAX-NS_SUM-1-2,three-tokens,CLS+AVG-NS+MAX-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.03,62.56,91.24,79.84,80.62,83.82,68.89,77.57142857142857
14,deberta-base,CLS+SUM-NS+MAX-NS_SUM-1-2,three-tokens,CLS+SUM-NS+MAX-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.5,73.12,90.92,76.16,81.54,82.59,71.02,78.83571428571429
15,deberta-base,AVG+SUM+MAX_SUM-1-2,three-tokens,AVG+SUM+MAX,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.78,76.94,90.89,86.53,82.68,82.8,70.58,81.02857142857144
16,deberta-base,AVG+SUM+AVG-NS_SUM-1-2,three-tokens,AVG+SUM+AVG-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,77.18,77.2,91.14,86.75,82.68,81.88,70.46,81.04142857142857
17,deberta-base,AVG+SUM+SUM-NS_SUM-1-2,three-tokens,AVG+SUM+SUM-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.97,77.16,90.97,87.41,83.26,81.81,70.68,81.17999999999999
18,deberta-base,AVG+SUM+MAX-NS_SUM-1-2,three-tokens,AVG+SUM+MAX-NS,SUM-1-2,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,76.76,72.46,90.88,77.02,82.45,82.48,70.39,78.92
