,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS+AVG+SUM_SUM-1-5,three-tokens,CLS+AVG+SUM,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,80.02,80.82,93.19,88.38,86.05,90.8,69.74,84.14285714285714
1,deberta-base,CLS+AVG+MAX_SUM-1-5,three-tokens,CLS+AVG+MAX,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,78.52,80.0,92.34,87.8,84.07,91.6,67.88,83.17285714285713
2,deberta-base,CLS+AVG+AVG-NS_SUM-1-5,three-tokens,CLS+AVG+AVG-NS,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,79.93,82.36,93.92,88.76,86.71,91.2,74.2,85.29714285714286
3,deberta-base,CLS+AVG+SUM-NS_SUM-1-5,three-tokens,CLS+AVG+SUM-NS,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,79.53,81.06,92.81,88.28,86.05,90.4,69.97,84.01428571428572
4,deberta-base,CLS+AVG+MAX-NS_SUM-1-5,three-tokens,CLS+AVG+MAX-NS,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,78.46,65.19,92.47,80.94,84.29,91.4,68.23,80.14
5,deberta-base,CLS+SUM+MAX_SUM-1-5,three-tokens,CLS+SUM+MAX,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,79.62,81.19,93.07,87.84,85.67,91.2,70.14,84.10428571428572
6,deberta-base,CLS+SUM+AVG-NS_SUM-1-5,three-tokens,CLS+SUM+AVG-NS,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,79.91,81.01,93.16,88.13,86.66,91.0,70.43,84.32857142857142
7,deberta-base,CLS+SUM+SUM-NS_SUM-1-5,three-tokens,CLS+SUM+SUM-NS,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,79.43,80.79,93.07,88.53,86.16,91.2,69.74,84.13142857142859
8,deberta-base,CLS+SUM+MAX-NS_SUM-1-5,three-tokens,CLS+SUM+MAX-NS,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,79.72,75.55,93.02,86.11,86.33,92.0,69.97,83.24285714285715
9,deberta-base,CLS+MAX+AVG-NS_SUM-1-5,three-tokens,CLS+MAX+AVG-NS,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,78.14,79.68,92.47,87.19,83.64,92.0,68.75,83.12428571428572
10,deberta-base,CLS+MAX+SUM-NS_SUM-1-5,three-tokens,CLS+MAX+SUM-NS,SUM-1-5,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,79.04,80.98,92.94,87.71,85.83,91.8,69.57,83.98142857142855
