model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS+AVG+SUM_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(82.05), 'acc': np.float64(82.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.4), 'acc': np.float64(85.96), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.72), 'acc': np.float64(93.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.9), 'acc': np.float64(89.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.93), 'acc': 87.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.04), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.26), 'acc': 70.03, 'f1': 79.06, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+MAX_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(80.63), 'acc': np.float64(80.75), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.18), 'acc': np.float64(83.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.15), 'acc': np.float64(93.41), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.16), 'acc': np.float64(88.41), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 87.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.77), 'acc': 93.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.76), 'acc': 68.64, 'f1': 77.43, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(82.32), 'acc': np.float64(82.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.41), 'acc': np.float64(85.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.39), 'acc': np.float64(94.5), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.82), 'acc': np.float64(88.98), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.61), 'acc': 88.8, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.78), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.64), 'acc': 75.25, 'f1': 82.36, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+SUM-NS_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(81.96), 'acc': np.float64(81.8), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.21), 'acc': np.float64(84.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.74), 'acc': np.float64(93.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.82), 'acc': np.float64(89.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.73), 'acc': 87.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.3), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.83), 'acc': 70.72, 'f1': 80.46, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+MAX-NS_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(80.69), 'acc': np.float64(80.72), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(66.42), 'acc': np.float64(66.67), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.13), 'acc': np.float64(93.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(57.97), 'acc': np.float64(72.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.58), 'acc': 87.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(87.82), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.18), 'acc': 68.87, 'f1': 77.5, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+MAX_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(81.92), 'acc': np.float64(81.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.59), 'acc': np.float64(85.62), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.78), 'acc': np.float64(93.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.18), 'acc': np.float64(88.39), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.5), 'acc': 87.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.52), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.36), 'acc': 69.97, 'f1': 79.41, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+AVG-NS_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(82.01), 'acc': np.float64(82.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.49), 'acc': np.float64(85.78), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.74), 'acc': np.float64(93.84), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.41), 'acc': np.float64(88.69), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.5), 'acc': 88.14, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.95), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.56), 'acc': 70.43, 'f1': 79.55, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+SUM-NS_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(82.0), 'acc': np.float64(81.82), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.45), 'acc': np.float64(85.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.7), 'acc': np.float64(93.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.98), 'acc': np.float64(89.22), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.16), 'acc': 87.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.23), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.8), 'acc': 70.43, 'f1': 79.57, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+MAX-NS_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(81.91), 'acc': np.float64(81.82), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.23), 'acc': np.float64(78.43), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.75), 'acc': np.float64(93.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.02), 'acc': np.float64(88.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.39), 'acc': 87.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.68), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.41), 'acc': 69.86, 'f1': 78.93, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+MAX+AVG-NS_SUM-1-7,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(80.47), 'acc': np.float64(80.53), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.34), 'acc': np.float64(83.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.23), 'acc': np.float64(93.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.61), 'acc': np.float64(87.75), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.47), 'acc': 86.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(88.48), 'acc': 93.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.96), 'acc': 69.86, 'f1': 78.22, 'ndev': 4076, 'ntest': 1725}"
