model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS+AVG_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.59), 'acc': np.float64(77.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.6), 'acc': np.float64(80.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.62), 'acc': np.float64(92.65), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.16), 'acc': np.float64(89.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 82.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.15), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.62), 'acc': 72.46, 'f1': 80.44, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.3), 'acc': np.float64(76.54), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.14), 'acc': np.float64(77.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.62), 'acc': np.float64(91.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.57), 'acc': np.float64(87.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.0), 'acc': 82.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.27), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.2), 'acc': 70.55, 'f1': 78.36, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+MAX_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(71.74), 'acc': np.float64(71.78), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(75.17), 'acc': np.float64(75.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(87.81), 'acc': np.float64(87.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.06), 'acc': np.float64(87.29), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.15), 'acc': 75.01, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(79.82), 'acc': 84.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.96), 'acc': 67.65, 'f1': 75.59, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.25), 'acc': np.float64(77.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.51), 'acc': np.float64(80.56), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.59), 'acc': np.float64(92.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.42), 'acc': np.float64(88.51), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.11), 'acc': 82.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.01), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.21), 'acc': 72.87, 'f1': 80.63, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.16), 'acc': np.float64(76.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.88), 'acc': np.float64(77.19), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.66), 'acc': np.float64(91.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.56), 'acc': np.float64(87.74), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.42), 'acc': 82.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.77), 'acc': 86.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.27), 'acc': 70.32, 'f1': 78.27, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+MAX-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(71.68), 'acc': np.float64(72.03), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.39), 'acc': np.float64(64.9), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(87.89), 'acc': np.float64(87.88), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(57.6), 'acc': np.float64(49.11), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.26), 'acc': 74.9, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(80.3), 'acc': 84.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.82), 'acc': 67.36, 'f1': 75.14, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+SUM_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.29), 'acc': np.float64(76.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.01), 'acc': np.float64(77.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.6), 'acc': np.float64(90.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.6), 'acc': np.float64(87.8), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.68), 'acc': 81.77, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.58), 'acc': 86.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.98), 'acc': 70.14, 'f1': 77.94, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+MAX_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(75.39), 'acc': np.float64(75.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.19), 'acc': np.float64(77.4), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.31), 'acc': np.float64(91.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.78), 'acc': np.float64(88.07), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.62), 'acc': 81.49, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.46), 'acc': 87.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.08), 'acc': 67.13, 'f1': 74.81, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.19), 'acc': np.float64(77.34), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.42), 'acc': np.float64(80.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.51), 'acc': np.float64(92.57), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.45), 'acc': np.float64(88.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 82.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.36), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.2), 'acc': 73.22, 'f1': 80.69, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+SUM-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.16), 'acc': np.float64(76.41), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.74), 'acc': np.float64(77.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.57), 'acc': np.float64(90.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.64), 'acc': np.float64(87.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.03), 'acc': 82.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.79), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.17), 'acc': 70.43, 'f1': 78.28, 'ndev': 4076, 'ntest': 1725}"
