,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS+AVG_LYR-1,two-tokens,CLS+AVG,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.59,80.6,92.62,89.16,82.45,84.15,73.62,82.88428571428572
1,deberta-base,CLS+SUM_LYR-1,two-tokens,CLS+SUM,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.3,77.14,90.62,87.57,82.0,81.27,71.2,80.87142857142858
2,deberta-base,CLS+MAX_LYR-1,two-tokens,CLS+MAX,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,71.74,75.17,87.81,87.06,76.15,79.82,68.96,78.10142857142856
3,deberta-base,CLS+AVG-NS_LYR-1,two-tokens,CLS+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.25,80.51,92.59,88.42,82.11,84.01,73.21,82.58571428571429
4,deberta-base,CLS+SUM-NS_LYR-1,two-tokens,CLS+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.16,76.88,90.66,87.56,81.42,81.77,70.27,80.67428571428572
5,deberta-base,CLS+MAX-NS_LYR-1,two-tokens,CLS+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,71.68,62.39,87.89,57.6,76.26,80.3,68.82,72.13428571428571
6,deberta-base,AVG+SUM_LYR-1,two-tokens,AVG+SUM,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.29,77.01,90.6,87.6,82.68,81.58,70.98,80.96285714285715
7,deberta-base,AVG+MAX_LYR-1,two-tokens,AVG+MAX,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.39,77.19,91.31,87.78,80.62,82.46,68.08,80.4042857142857
8,deberta-base,AVG+AVG-NS_LYR-1,two-tokens,AVG+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.19,80.42,92.51,88.45,83.37,83.36,72.2,82.5
9,deberta-base,AVG+SUM-NS_LYR-1,two-tokens,AVG+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.16,76.74,90.57,87.64,83.03,81.79,70.17,80.87142857142858
10,deberta-base,AVG+MAX-NS_LYR-1,two-tokens,AVG+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.59,62.57,91.19,57.71,81.08,82.63,68.06,74.11857142857141
11,deberta-base,SUM+MAX_LYR-1,two-tokens,SUM+MAX,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.32,76.72,90.25,86.54,80.96,82.41,71.27,80.49571428571427
12,deberta-base,SUM+AVG-NS_LYR-1,two-tokens,SUM+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.28,76.95,90.6,86.8,82.57,81.64,71.0,80.8342857142857
13,deberta-base,SUM+SUM-NS_LYR-1,two-tokens,SUM+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.09,76.75,90.47,87.41,81.88,81.75,70.44,80.6842857142857
14,deberta-base,SUM+MAX-NS_LYR-1,two-tokens,SUM+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.26,66.5,90.23,77.87,82.22,82.37,71.2,77.95000000000002
15,deberta-base,MAX+AVG-NS_LYR-1,two-tokens,MAX+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.59,77.27,91.38,86.84,78.9,82.96,68.79,80.24714285714286
16,deberta-base,MAX+SUM-NS_LYR-1,two-tokens,MAX+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.33,76.62,90.24,86.43,81.54,82.36,70.17,80.38428571428572
17,deberta-base,MAX+MAX-NS_LYR-1,two-tokens,MAX+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,71.67,62.34,87.55,57.41,75.23,79.53,67.52,71.60714285714286
18,deberta-base,AVG-NS+SUM-NS_LYR-1,two-tokens,AVG-NS+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.13,76.8,90.6,86.84,82.8,81.86,70.17,80.74285714285715
19,deberta-base,AVG-NS+MAX-NS_LYR-1,two-tokens,AVG-NS+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.55,62.62,91.31,57.6,79.7,83.05,68.4,74.03285714285714
20,deberta-base,SUM-NS+MAX-NS_LYR-1,two-tokens,SUM-NS+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.26,66.28,90.27,75.11,81.88,82.52,70.07,77.34142857142857
21,deberta-base,CLS+AVG_LYR-2,two-tokens,CLS+AVG,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,78.46,81.8,93.39,89.57,83.49,84.81,74.78,83.75714285714285
22,deberta-base,CLS+SUM_LYR-2,two-tokens,CLS+SUM,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.39,78.03,91.69,87.61,82.57,82.61,72.18,81.72571428571429
23,deberta-base,CLS+MAX_LYR-2,two-tokens,CLS+MAX,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,72.77,76.77,89.32,87.68,75.69,82.37,69.67,79.18142857142857
24,deberta-base,CLS+AVG-NS_LYR-2,two-tokens,CLS+AVG-NS,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,78.26,81.56,93.31,88.93,82.57,84.54,74.04,83.3157142857143
25,deberta-base,CLS+SUM-NS_LYR-2,two-tokens,CLS+SUM-NS,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.25,77.89,91.75,87.6,82.22,82.89,71.91,81.64428571428572
26,deberta-base,CLS+MAX-NS_LYR-2,two-tokens,CLS+MAX-NS,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,72.67,62.55,89.5,57.78,76.03,82.15,69.9,72.93999999999998
27,deberta-base,AVG+SUM_LYR-2,two-tokens,AVG+SUM,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.38,78.06,91.7,87.82,83.37,82.83,72.01,81.88142857142857
28,deberta-base,AVG+MAX_LYR-2,two-tokens,AVG+MAX,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.86,78.83,92.14,88.52,81.88,84.57,70.07,81.83857142857141
29,deberta-base,AVG+AVG-NS_LYR-2,two-tokens,AVG+AVG-NS,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,78.21,81.55,93.35,88.93,83.72,84.32,74.17,83.46428571428571
30,deberta-base,AVG+SUM-NS_LYR-2,two-tokens,AVG+SUM-NS,LYR-2,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.25,77.9,91.75,87.84,83.03,82.96,72.1,81.83285714285714
