model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS+AVG_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.92), 'acc': np.float64(78.18), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.75), 'acc': np.float64(81.06), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.96), 'acc': np.float64(93.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.9), 'acc': np.float64(89.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 81.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.46), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.19), 'acc': 72.23, 'f1': 80.17, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.18), 'acc': np.float64(77.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.23), 'acc': np.float64(78.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.18), 'acc': np.float64(91.77), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.63), 'acc': np.float64(87.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.03), 'acc': 82.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.66), 'acc': 87.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.34), 'acc': 70.49, 'f1': 79.1, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+MAX_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(72.35), 'acc': np.float64(72.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(75.34), 'acc': np.float64(76.37), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(88.64), 'acc': np.float64(89.17), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.17), 'acc': np.float64(87.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.61), 'acc': 75.51, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.22), 'acc': 85.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.84), 'acc': 68.93, 'f1': 77.02, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.56), 'acc': np.float64(77.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.47), 'acc': np.float64(80.85), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.88), 'acc': np.float64(93.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.31), 'acc': np.float64(88.6), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.31), 'acc': 82.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.97), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.07), 'acc': 71.94, 'f1': 79.61, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.89), 'acc': np.float64(77.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.07), 'acc': np.float64(77.59), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.19), 'acc': np.float64(91.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.68), 'acc': np.float64(87.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.34), 'acc': 82.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.81), 'acc': 88.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.49), 'acc': 70.9, 'f1': 79.0, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+MAX-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(72.16), 'acc': np.float64(72.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.38), 'acc': np.float64(64.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(88.64), 'acc': np.float64(88.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(57.59), 'acc': np.float64(48.89), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.15), 'acc': 75.18, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.36), 'acc': 85.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.96), 'acc': 67.88, 'f1': 76.32, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+SUM_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.22), 'acc': np.float64(77.38), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.1), 'acc': np.float64(77.8), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.18), 'acc': np.float64(91.71), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.54), 'acc': np.float64(87.93), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 82.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.81), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.41), 'acc': 70.84, 'f1': 79.46, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+MAX_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.17), 'acc': np.float64(76.47), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.22), 'acc': np.float64(77.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.08), 'acc': np.float64(91.4), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.46), 'acc': np.float64(87.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.11), 'acc': 81.6, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.62), 'acc': 87.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.42), 'acc': 68.35, 'f1': 76.32, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+AVG-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.56), 'acc': np.float64(77.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.33), 'acc': np.float64(80.56), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.73), 'acc': np.float64(92.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.28), 'acc': np.float64(88.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 82.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.07), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.82), 'acc': 71.25, 'f1': 79.04, 'ndev': 4076, 'ntest': 1725}"
deberta-base,AVG+SUM-NS_SUM-1-2,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.87), 'acc': np.float64(77.25), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.93), 'acc': np.float64(77.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.16), 'acc': np.float64(91.6), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.59), 'acc': np.float64(87.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.34), 'acc': 82.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.64), 'acc': 88.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.9), 'acc': 70.26, 'f1': 78.62, 'ndev': 4076, 'ntest': 1725}"
