,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS+AVG_SUM-1-2,two-tokens,CLS+AVG,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,78.18,81.06,93.06,89.18,81.88,90.2,72.23,83.68428571428572
1,deberta-base,CLS+SUM_SUM-1-2,two-tokens,CLS+SUM,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.26,78.04,91.77,87.7,82.76,87.6,70.49,82.23142857142857
2,deberta-base,CLS+MAX_SUM-1-2,two-tokens,CLS+MAX,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,72.39,76.37,89.17,87.52,75.51,85.6,68.93,79.35571428571428
3,deberta-base,CLS+AVG-NS_SUM-1-2,two-tokens,CLS+AVG-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.74,80.85,93.03,88.6,82.32,90.0,71.94,83.49714285714286
4,deberta-base,CLS+SUM-NS_SUM-1-2,two-tokens,CLS+SUM-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.14,77.59,91.58,87.72,82.48,88.0,70.9,82.20142857142856
5,deberta-base,CLS+MAX-NS_SUM-1-2,two-tokens,CLS+MAX-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,72.28,64.79,88.9,48.89,75.18,85.6,67.88,71.93142857142857
6,deberta-base,AVG+SUM_SUM-1-2,two-tokens,AVG+SUM,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.38,77.8,91.71,87.93,82.65,88.2,70.84,82.35857142857142
7,deberta-base,AVG+MAX_SUM-1-2,two-tokens,AVG+MAX,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,76.47,77.09,91.4,87.97,81.6,87.6,68.35,81.49714285714286
8,deberta-base,AVG+AVG-NS_SUM-1-2,two-tokens,AVG+AVG-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.61,80.56,92.93,88.58,82.98,89.0,71.25,83.27285714285715
9,deberta-base,AVG+SUM-NS_SUM-1-2,two-tokens,AVG+SUM-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.25,77.7,91.6,87.87,82.59,88.6,70.26,82.26714285714286
10,deberta-base,AVG+MAX-NS_SUM-1-2,two-tokens,AVG+MAX-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,76.44,65.03,91.2,49.08,81.49,88.6,67.77,74.23
11,deberta-base,SUM+MAX_SUM-1-2,two-tokens,SUM+MAX,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,76.86,77.59,91.23,86.88,81.33,90.0,70.49,82.05428571428571
12,deberta-base,SUM+AVG-NS_SUM-1-2,two-tokens,SUM+AVG-NS,SUM-1-2,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,77.25,77.83,91.71,87.1,82.59,88.0,70.43,82.13000000000001
