model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(64.58), 'acc': np.float64(64.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.83), 'acc': np.float64(63.84), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(87.51), 'acc': np.float64(87.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(70.86), 'acc': np.float64(71.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(73.97), 'acc': 71.0, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(65.94), 'acc': 69.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.91), 'acc': 67.01, 'f1': 79.86, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.19), 'acc': np.float64(79.09), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.17), 'acc': np.float64(83.95), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.01), 'acc': np.float64(94.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.15), 'acc': np.float64(90.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 84.51, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.67), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.63), 'acc': 73.91, 'f1': 81.74, 'ndev': 4076, 'ntest': 1725}"
allmpnet,SUM_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.46), 'acc': np.float64(78.8), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.59), 'acc': np.float64(81.14), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.36), 'acc': np.float64(92.54), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.58), 'acc': np.float64(88.83), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 83.8, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.27), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.73), 'acc': 70.26, 'f1': 78.42, 'ndev': 4076, 'ntest': 1725}"
allmpnet,MAX_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(73.16), 'acc': np.float64(73.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.95), 'acc': np.float64(81.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.32), 'acc': np.float64(91.54), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.4), 'acc': np.float64(88.6), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.75), 'acc': 76.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.28), 'acc': 88.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.4), 'acc': 71.59, 'f1': 79.11, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.23), 'acc': np.float64(78.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.66), 'acc': np.float64(81.91), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.19), 'acc': np.float64(93.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.94), 'acc': np.float64(89.01), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.0), 'acc': 83.14, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(78.45), 'acc': 84.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.9), 'acc': 72.06, 'f1': 80.89, 'ndev': 4076, 'ntest': 1725}"
allmpnet,SUM-NS_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.02), 'acc': np.float64(77.31), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.54), 'acc': np.float64(79.12), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.73), 'acc': np.float64(92.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.84), 'acc': np.float64(88.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.65), 'acc': 83.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(76.08), 'acc': 82.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.15), 'acc': 67.83, 'f1': 76.19, 'ndev': 4076, 'ntest': 1725}"
allmpnet,MAX-NS_AVG-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(72.98), 'acc': np.float64(73.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.78), 'acc': np.float64(64.9), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.26), 'acc': np.float64(90.46), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(35.79), 'acc': np.float64(35.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.99), 'acc': 81.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.15), 'acc': 70.67, 'f1': 78.5, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(74.21), 'acc': np.float64(74.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(75.43), 'acc': np.float64(75.55), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.34), 'acc': np.float64(90.38), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(83.57), 'acc': np.float64(83.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.39), 'acc': 78.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.66), 'acc': 79.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.83), 'acc': 72.41, 'f1': 81.85, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(80.54), 'acc': np.float64(80.78), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.11), 'acc': np.float64(85.88), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.83), 'acc': np.float64(94.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.26), 'acc': np.float64(90.44), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.49), 'acc': 85.5, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.45), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.58), 'acc': 73.57, 'f1': 81.3, 'ndev': 4076, 'ntest': 1725}"
allmpnet,SUM_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.48), 'acc': np.float64(79.53), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.64), 'acc': np.float64(83.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.17), 'acc': np.float64(93.59), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.66), 'acc': np.float64(88.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 84.9, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.89), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.85), 'acc': 70.84, 'f1': 78.42, 'ndev': 4076, 'ntest': 1725}"
allmpnet,MAX_AVG-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(76.39), 'acc': np.float64(76.67), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.23), 'acc': np.float64(81.8), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.32), 'acc': np.float64(92.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.81), 'acc': np.float64(88.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.7), 'acc': 80.45, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.65), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.15), 'acc': 73.04, 'f1': 80.15, 'ndev': 4076, 'ntest': 1725}"
