,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_AVG-1-2,simple,CLS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,64.58,63.83,87.51,70.86,73.97,65.94,67.91,70.65714285714286
1,allmpnet,AVG_AVG-1-2,simple,AVG,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,79.19,84.17,94.01,90.15,83.6,85.67,73.63,84.34571428571428
2,allmpnet,SUM_AVG-1-2,simple,SUM,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.46,80.59,92.36,88.58,82.45,83.27,70.73,82.34857142857142
3,allmpnet,MAX_AVG-1-2,simple,MAX,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,73.16,80.95,91.32,88.4,77.75,82.28,72.4,80.89428571428572
4,allmpnet,AVG-NS_AVG-1-2,simple-ns,AVG-NS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.23,81.66,93.19,88.94,82.0,78.45,70.9,81.91
5,allmpnet,SUM-NS_AVG-1-2,simple-ns,SUM-NS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,77.02,78.54,91.73,87.84,81.65,76.08,68.15,80.14428571428572
6,allmpnet,MAX-NS_AVG-1-2,simple-ns,MAX-NS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,72.98,62.78,90.26,35.79,49.08,73.99,72.15,65.28999999999999
7,allmpnet,CLS_AVG-2-3,simple,CLS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,74.21,75.43,90.34,83.57,80.39,73.66,71.83,78.49
8,allmpnet,AVG_AVG-2-3,simple,AVG,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,80.54,86.11,94.83,90.26,83.49,86.45,74.58,85.18000000000002
9,allmpnet,SUM_AVG-2-3,simple,SUM,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.48,82.64,93.17,88.66,83.37,84.89,70.85,83.29428571428572
10,allmpnet,MAX_AVG-2-3,simple,MAX,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,76.39,81.23,92.32,88.81,79.7,84.65,72.15,82.17857142857143
11,allmpnet,AVG-NS_AVG-2-3,simple-ns,AVG-NS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.47,83.54,94.21,89.48,82.11,82.04,72.42,83.32428571428571
12,allmpnet,SUM-NS_AVG-2-3,simple-ns,SUM-NS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.25,80.68,92.76,88.26,80.85,79.73,68.38,81.27285714285713
13,allmpnet,MAX-NS_AVG-2-3,simple-ns,MAX-NS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,75.43,62.96,91.75,31.74,49.08,77.29,71.03,65.61142857142856
14,allmpnet,CLS_AVG-3-4,simple,CLS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,77.14,79.2,92.37,87.55,80.85,77.71,72.82,81.09142857142857
15,allmpnet,AVG_AVG-3-4,simple,AVG,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,81.63,87.06,95.43,90.37,85.44,88.21,75.0,86.16285714285713
16,allmpnet,SUM_AVG-3-4,simple,SUM,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.43,83.29,93.6,88.58,83.94,86.9,72.65,84.19857142857143
17,allmpnet,MAX_AVG-3-4,simple,MAX,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,78.27,82.76,93.11,89.21,83.49,85.8,72.57,83.60142857142857
18,allmpnet,AVG-NS_AVG-3-4,simple-ns,AVG-NS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.56,85.11,94.96,89.61,82.91,83.6,72.91,84.23714285714286
19,allmpnet,SUM-NS_AVG-3-4,simple-ns,SUM-NS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,79.13,81.84,93.34,88.25,83.03,82.17,69.92,82.5257142857143
20,allmpnet,MAX-NS_AVG-3-4,simple-ns,MAX-NS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,77.04,63.07,92.71,31.74,49.08,80.08,71.57,66.47
21,allmpnet,CLS_AVG-4-5,simple,CLS,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.6,86.35,95.15,88.91,82.91,77.81,70.61,83.19142857142856
22,allmpnet,AVG_AVG-4-5,simple,AVG,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,83.95,89.34,95.8,90.86,87.16,89.23,75.83,87.45285714285716
23,allmpnet,SUM_AVG-4-5,simple,SUM,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,82.84,85.8,94.04,89.18,87.61,87.82,72.96,85.75
24,allmpnet,MAX_AVG-4-5,simple,MAX,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.33,85.26,93.92,89.49,84.52,87.01,72.77,84.75714285714285
25,allmpnet,AVG-NS_AVG-4-5,simple-ns,AVG-NS,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,82.66,87.26,95.44,89.9,85.55,84.78,73.6,85.59857142857143
26,allmpnet,SUM-NS_AVG-4-5,simple-ns,SUM-NS,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,81.45,83.83,93.64,88.58,85.67,83.46,70.61,83.89142857142858
27,allmpnet,MAX-NS_AVG-4-5,simple-ns,MAX-NS,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,79.32,63.27,93.5,31.74,49.08,81.68,72.15,67.24857142857142
28,allmpnet,CLS_AVG-5-6,simple,CLS,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,83.41,88.92,95.69,87.67,86.01,74.93,70.14,83.82428571428571
29,allmpnet,AVG_AVG-5-6,simple,AVG,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,85.34,90.54,96.05,91.09,88.99,89.62,75.66,88.1842857142857
30,allmpnet,SUM_AVG-5-6,simple,SUM,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,83.94,87.29,94.58,89.82,89.33,87.67,72.89,86.50285714285714
31,allmpnet,MAX_AVG-5-6,simple,MAX,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.74,88.0,94.46,90.03,85.78,88.3,73.53,85.97714285714285
32,allmpnet,AVG-NS_AVG-5-6,simple-ns,AVG-NS,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,84.08,89.15,95.75,90.2,88.42,85.86,73.9,86.76571428571428
33,allmpnet,SUM-NS_AVG-5-6,simple-ns,SUM-NS,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,82.97,86.07,94.32,89.36,88.42,84.34,70.61,85.1557142857143
34,allmpnet,MAX-NS_AVG-5-6,simple-ns,MAX-NS,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.15,63.63,94.06,31.74,49.08,82.02,72.3,67.71142857142857
35,allmpnet,CLS_AVG-6-7,simple,CLS,AVG-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.4,90.44,94.48,68.83,87.39,45.29,69.8,77.09
