model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(68.24), 'acc': np.float64(68.82), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(67.96), 'acc': np.float64(68.37), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.36), 'acc': np.float64(89.28), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(78.36), 'acc': np.float64(78.85), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.54), 'acc': 71.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(69.92), 'acc': 75.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.24), 'acc': 69.45, 'f1': 80.59, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.18), 'acc': np.float64(79.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.13), 'acc': np.float64(84.19), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.01), 'acc': np.float64(93.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.89), 'acc': np.float64(89.98), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 84.68, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.49), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.75), 'acc': 73.97, 'f1': 81.68, 'ndev': 4076, 'ntest': 1725}"
allmpnet,SUM_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.46), 'acc': np.float64(78.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.77), 'acc': np.float64(80.45), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.97), 'acc': np.float64(92.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.09), 'acc': np.float64(88.32), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 83.69, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.67), 'acc': 88.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.47), 'acc': 71.19, 'f1': 79.35, 'ndev': 4076, 'ntest': 1725}"
allmpnet,MAX_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(72.74), 'acc': np.float64(73.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.44), 'acc': np.float64(79.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.89), 'acc': np.float64(91.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.79), 'acc': np.float64(88.2), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.98), 'acc': 76.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.75), 'acc': 87.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.05), 'acc': 70.03, 'f1': 77.63, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.11), 'acc': np.float64(77.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.29), 'acc': np.float64(81.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.17), 'acc': np.float64(93.19), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.44), 'acc': np.float64(88.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.22), 'acc': 83.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.93), 'acc': 83.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.15), 'acc': 71.71, 'f1': 80.05, 'ndev': 4076, 'ntest': 1725}"
allmpnet,SUM-NS_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(76.98), 'acc': np.float64(77.18), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.67), 'acc': np.float64(78.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.37), 'acc': np.float64(91.65), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.36), 'acc': np.float64(87.53), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.77), 'acc': 83.69, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(74.82), 'acc': 81.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.96), 'acc': 67.42, 'f1': 76.23, 'ndev': 4076, 'ntest': 1725}"
allmpnet,MAX-NS_SUM-1-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(72.57), 'acc': np.float64(72.9), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.66), 'acc': np.float64(64.61), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.74), 'acc': np.float64(89.95), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(35.79), 'acc': np.float64(35.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.11), 'acc': 81.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.19), 'acc': 68.17, 'f1': 76.2, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_SUM-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(75.1), 'acc': np.float64(75.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.72), 'acc': np.float64(79.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.48), 'acc': np.float64(91.56), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.23), 'acc': np.float64(85.4), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.16), 'acc': 79.24, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(74.14), 'acc': 81.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.36), 'acc': 74.43, 'f1': 82.42, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_SUM-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(80.48), 'acc': np.float64(80.72), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.99), 'acc': np.float64(86.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.84), 'acc': np.float64(94.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.89), 'acc': np.float64(89.98), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.26), 'acc': 85.67, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.37), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.93), 'acc': 73.28, 'f1': 81.11, 'ndev': 4076, 'ntest': 1725}"
allmpnet,SUM_SUM-2-3,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.47), 'acc': np.float64(79.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.82), 'acc': np.float64(82.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.72), 'acc': np.float64(93.32), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.19), 'acc': np.float64(88.61), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 84.68, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.57), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.05), 'acc': 70.55, 'f1': 78.27, 'ndev': 4076, 'ntest': 1725}"
