,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_SUM-1-2,simple,CLS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,68.82,68.37,89.28,78.85,71.99,75.0,69.45,74.53714285714285
1,allmpnet,AVG_SUM-1-2,simple,AVG,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,79.24,84.19,93.93,89.98,84.68,90.0,73.97,85.14142857142858
2,allmpnet,SUM_SUM-1-2,simple,SUM,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.74,80.45,92.27,88.32,83.69,88.6,71.19,83.32285714285715
3,allmpnet,MAX_SUM-1-2,simple,MAX,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,73.12,79.6,91.06,88.2,76.88,87.6,70.03,80.92714285714285
4,allmpnet,AVG-NS_SUM-1-2,simple-ns,AVG-NS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,77.93,81.99,93.19,88.58,83.31,83.8,71.71,82.92999999999999
5,allmpnet,SUM-NS_SUM-1-2,simple-ns,SUM-NS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,77.18,78.2,91.65,87.53,83.69,81.8,67.42,81.06714285714285
6,allmpnet,MAX-NS_SUM-1-2,simple-ns,MAX-NS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,72.9,64.61,89.95,35.79,50.08,81.2,68.17,66.1
7,allmpnet,CLS_SUM-2-3,simple,CLS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,75.28,79.1,91.56,85.4,79.24,81.0,74.43,80.85857142857142
8,allmpnet,AVG_SUM-2-3,simple,AVG,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,80.72,86.1,94.91,89.98,85.67,91.0,73.28,85.95142857142858
9,allmpnet,SUM_SUM-2-3,simple,SUM,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.59,82.41,93.32,88.61,84.68,89.0,70.55,84.02285714285713
10,allmpnet,MAX_SUM-2-3,simple,MAX,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,76.15,80.93,91.87,88.32,80.23,90.6,71.19,82.75571428571428
11,allmpnet,AVG-NS_SUM-2-3,simple-ns,AVG-NS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.51,83.63,94.19,89.23,84.62,88.2,71.83,84.45857142857143
12,allmpnet,SUM-NS_SUM-2-3,simple-ns,SUM-NS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.13,79.95,92.45,88.11,84.02,84.6,67.94,82.17142857142858
13,allmpnet,MAX-NS_SUM-2-3,simple-ns,MAX-NS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,75.17,65.24,91.34,31.75,50.08,84.0,70.67,66.89285714285714
14,allmpnet,CLS_SUM-3-4,simple,CLS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,77.68,81.22,93.44,87.86,81.38,85.6,73.16,82.90571428571427
15,allmpnet,AVG_SUM-3-4,simple,AVG,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,81.7,86.78,95.45,89.89,86.44,92.6,74.61,86.78142857142858
16,allmpnet,SUM_SUM-3-4,simple,SUM,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.58,82.94,93.14,88.57,84.9,92.2,70.72,84.72142857142858
17,allmpnet,MAX_SUM-3-4,simple,MAX,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,78.03,81.7,92.81,88.78,83.09,91.6,72.58,84.08428571428574
18,allmpnet,AVG-NS_SUM-3-4,simple-ns,AVG-NS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.64,85.35,95.07,89.15,84.73,88.8,72.52,85.17999999999999
19,allmpnet,SUM-NS_SUM-3-4,simple-ns,SUM-NS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,79.53,81.43,93.1,87.79,84.13,88.4,70.09,83.49571428571429
20,allmpnet,MAX-NS_SUM-3-4,simple-ns,MAX-NS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,76.91,65.08,92.39,31.75,50.08,87.0,70.9,67.73
21,allmpnet,CLS_SUM-4-5,simple,CLS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.5,86.52,95.21,89.41,82.76,83.6,70.09,84.01285714285714
22,allmpnet,AVG_SUM-4-5,simple,AVG,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,84.12,89.3,95.75,90.65,87.59,94.2,76.06,88.23857142857143
23,allmpnet,SUM_SUM-4-5,simple,SUM,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,83.07,85.17,93.58,89.04,88.19,92.6,70.43,86.01142857142857
24,allmpnet,MAX_SUM-4-5,simple,MAX,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,79.92,84.24,93.7,89.02,85.72,92.0,72.17,85.25285714285714
25,allmpnet,AVG-NS_SUM-4-5,simple-ns,AVG-NS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,82.87,87.47,95.27,89.39,86.11,91.0,72.41,86.36
26,allmpnet,SUM-NS_SUM-4-5,simple-ns,SUM-NS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,81.7,82.73,93.27,88.22,85.72,88.0,70.32,84.28
27,allmpnet,MAX-NS_SUM-4-5,simple-ns,MAX-NS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,79.11,65.38,93.31,31.75,50.08,88.0,71.59,68.46000000000001
28,allmpnet,CLS_SUM-5-6,simple,CLS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,83.32,88.82,95.75,88.72,85.72,80.2,69.51,84.57714285714287
29,allmpnet,AVG_SUM-5-6,simple,AVG,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,85.29,90.44,96.04,91.09,90.01,94.6,75.07,88.9342857142857
30,allmpnet,SUM_SUM-5-6,simple,SUM,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,84.35,87.07,94.71,89.71,90.06,94.2,70.84,87.27714285714286
31,allmpnet,MAX_SUM-5-6,simple,MAX,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.39,86.84,94.12,89.98,87.48,93.4,73.45,86.6657142857143
32,allmpnet,AVG-NS_SUM-5-6,simple-ns,AVG-NS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,84.12,88.93,95.61,89.93,89.02,91.8,72.41,87.40285714285713
33,allmpnet,SUM-NS_SUM-5-6,simple-ns,SUM-NS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,83.24,85.09,94.04,89.02,88.69,90.4,70.32,85.82857142857142
34,allmpnet,MAX-NS_SUM-5-6,simple-ns,MAX-NS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.03,65.61,93.77,31.75,50.08,88.8,72.29,69.04714285714286
35,allmpnet,CLS_SUM-6-7,simple,CLS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.14,90.31,94.52,78.69,87.92,57.4,68.41,80.05571428571429
36,allmpnet,AVG_SUM-6-7,simple,AVG,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,86.04,91.15,96.17,90.97,90.88,94.6,74.67,89.21142857142857
37,allmpnet,SUM_SUM-6-7,simple,SUM,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,84.9,87.44,94.56,89.53,90.77,93.0,68.81,87.00142857142858
38,allmpnet,MAX_SUM-6-7,simple,MAX,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.08,87.87,94.37,89.54,88.74,91.8,73.22,86.94571428571429
39,allmpnet,AVG-NS_SUM-6-7,simple-ns,AVG-NS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,85.05,89.91,95.86,89.95,90.28,91.4,73.04,87.92714285714284
40,allmpnet,SUM-NS_SUM-6-7,simple-ns,SUM-NS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.69,86.55,94.34,89.12,89.9,90.0,70.43,86.28999999999999
41,allmpnet,MAX-NS_SUM-6-7,simple-ns,MAX-NS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,82.26,66.06,93.65,31.75,50.08,89.2,72.23,69.31857142857143
42,allmpnet,CLS_SUM-7-8,simple,CLS,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,83.79,90.33,94.59,85.65,87.75,60.6,68.93,81.66285714285716
43,allmpnet,AVG_SUM-7-8,simple,AVG,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,86.55,91.34,96.0,90.84,91.54,94.8,73.68,89.25
44,allmpnet,SUM_SUM-7-8,simple,SUM,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,85.06,88.08,94.57,89.49,91.16,94.2,68.0,87.22285714285715
45,allmpnet,MAX_SUM-7-8,simple,MAX,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,83.33,89.01,94.21,89.31,89.73,92.4,70.9,86.98428571428572
46,allmpnet,AVG-NS_SUM-7-8,simple-ns,AVG-NS,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,85.47,90.52,95.8,90.05,90.61,92.0,71.65,88.01428571428572
47,allmpnet,SUM-NS_SUM-7-8,simple-ns,SUM-NS,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,84.38,87.44,94.2,89.1,89.73,89.4,69.51,86.25142857142858
48,allmpnet,MAX-NS_SUM-7-8,simple-ns,MAX-NS,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,82.73,66.04,93.76,31.75,50.08,87.6,70.38,68.9057142857143
49,allmpnet,CLS_SUM-8-9,simple,CLS,SUM-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,84.04,90.07,94.86,87.06,86.82,66.4,71.13,82.91142857142857
50,allmpnet,AVG_SUM-8-9,simple,AVG,SUM-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,86.66,91.84,96.04,90.65,91.65,96.4,74.26,89.64285714285714
51,allmpnet,SUM_SUM-8-9,simple,SUM,SUM-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,85.58,88.32,94.34,89.04,90.99,95.6,70.96,87.83285714285715
52,allmpnet,MAX_SUM-8-9,simple,MAX,SUM-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,84.98,88.66,94.44,89.27,90.94,92.2,70.9,87.34142857142857
53,allmpnet,AVG-NS_SUM-8-9,simple-ns,AVG-NS,SUM-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,85.97,90.65,95.71,89.84,90.83,92.2,72.52,88.24571428571427
54,allmpnet,SUM-NS_SUM-8-9,simple-ns,SUM-NS,SUM-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,84.91,87.07,94.14,88.61,89.79,92.8,70.49,86.83000000000001
55,allmpnet,MAX-NS_SUM-8-9,simple-ns,MAX-NS,SUM-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,83.99,65.9,93.67,39.01,50.08,86.4,70.43,69.92571428571428
56,allmpnet,CLS_SUM-9-10,simple,CLS,SUM-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,83.82,87.63,92.81,81.38,88.69,73.8,66.78,82.13
57,allmpnet,AVG_SUM-9-10,simple,AVG,SUM-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,86.69,91.81,95.74,90.41,91.27,96.6,74.96,89.64
58,allmpnet,SUM_SUM-9-10,simple,SUM,SUM-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,85.26,88.29,94.09,88.67,90.33,96.0,70.43,87.58142857142856
59,allmpnet,MAX_SUM-9-10,simple,MAX,SUM-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,84.41,89.08,94.23,89.04,90.94,93.8,71.77,87.61
60,allmpnet,AVG-NS_SUM-9-10,simple-ns,AVG-NS,SUM-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,86.19,90.7,95.54,89.68,90.77,92.8,73.1,88.39714285714285
61,allmpnet,SUM-NS_SUM-9-10,simple-ns,SUM-NS,SUM-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,84.78,87.36,93.99,88.54,90.12,91.6,69.28,86.52428571428571
62,allmpnet,MAX-NS_SUM-9-10,simple-ns,MAX-NS,SUM-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,83.58,66.09,93.51,40.06,50.03,89.0,70.61,70.41142857142857
63,allmpnet,CLS_SUM-10-11,simple,CLS,SUM-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,81.61,82.83,90.42,84.37,85.5,91.2,69.86,83.68428571428572
64,allmpnet,AVG_SUM-10-11,simple,AVG,SUM-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,86.35,91.39,95.49,90.5,90.17,96.6,74.49,89.28428571428572
65,allmpnet,SUM_SUM-10-11,simple,SUM,SUM-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,84.47,88.0,94.05,88.79,90.06,95.4,71.25,87.43142857142857
66,allmpnet,MAX_SUM-10-11,simple,MAX,SUM-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,83.84,88.13,93.92,88.96,89.79,94.2,71.83,87.23857142857143
67,allmpnet,AVG-NS_SUM-10-11,simple-ns,AVG-NS,SUM-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,85.62,90.07,95.34,89.4,89.9,92.6,72.81,87.96285714285715
68,allmpnet,SUM-NS_SUM-10-11,simple-ns,SUM-NS,SUM-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,84.55,87.02,93.73,88.55,90.28,89.0,70.67,86.25714285714285
69,allmpnet,MAX-NS_SUM-10-11,simple-ns,MAX-NS,SUM-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,83.5,65.9,93.3,39.89,50.08,90.4,70.72,70.54142857142857
70,allmpnet,CLS_SUM-11-12,simple,CLS,SUM-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,84.45,88.42,93.72,89.57,87.59,92.2,73.57,87.07428571428571
71,allmpnet,AVG_SUM-11-12,simple,AVG,SUM-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,85.64,89.62,95.12,90.42,90.17,95.6,74.67,88.74857142857142
72,allmpnet,SUM_SUM-11-12,simple,SUM,SUM-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,84.29,86.81,93.69,89.04,89.79,94.6,72.58,87.25714285714287
73,allmpnet,MAX_SUM-11-12,simple,MAX,SUM-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,84.32,87.76,93.88,89.42,88.25,95.4,70.96,87.14142857142858
74,allmpnet,AVG-NS_SUM-11-12,simple-ns,AVG-NS,SUM-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,85.48,89.01,94.85,89.7,89.57,91.8,74.96,87.91
75,allmpnet,SUM-NS_SUM-11-12,simple-ns,SUM-NS,SUM-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,83.93,86.7,93.76,88.66,89.57,89.8,69.68,86.0142857142857
76,allmpnet,MAX-NS_SUM-11-12,simple-ns,MAX-NS,SUM-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,84.03,66.33,93.72,31.94,50.08,90.4,71.07,69.65285714285714
