,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_SUM-1-2,simple,CLS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,68.24,67.96,89.36,78.36,74.54,69.92,69.24,73.94571428571429
1,allmpnet,AVG_SUM-1-2,simple,AVG,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,79.18,84.13,94.01,89.89,83.37,85.49,73.75,84.25999999999999
2,allmpnet,SUM_SUM-1-2,simple,SUM,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.46,79.77,91.97,88.09,82.45,82.67,71.47,82.12571428571428
3,allmpnet,MAX_SUM-1-2,simple,MAX,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,72.74,79.44,90.89,87.79,77.98,81.75,71.05,80.23428571428572
4,allmpnet,AVG-NS_SUM-1-2,simple-ns,AVG-NS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.11,81.29,93.17,88.44,82.22,77.93,71.15,81.75857142857144
5,allmpnet,SUM-NS_SUM-1-2,simple-ns,SUM-NS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,76.98,77.67,91.37,87.36,81.77,74.82,67.96,79.7042857142857
6,allmpnet,MAX-NS_SUM-1-2,simple-ns,MAX-NS,SUM-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,72.57,62.66,89.74,35.79,49.08,73.11,70.19,64.73428571428572
7,allmpnet,CLS_SUM-2-3,simple,CLS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,75.1,78.72,91.48,85.23,80.16,74.14,74.36,79.88428571428572
8,allmpnet,AVG_SUM-2-3,simple,AVG,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,80.48,85.99,94.84,89.89,83.26,86.37,74.93,85.10857142857142
9,allmpnet,SUM_SUM-2-3,simple,SUM,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.47,81.82,92.72,88.19,83.37,84.57,71.05,83.02714285714285
10,allmpnet,MAX_SUM-2-3,simple,MAX,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,75.91,80.08,91.7,88.16,79.82,84.45,72.08,81.74285714285715
11,allmpnet,AVG-NS_SUM-2-3,simple-ns,AVG-NS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.31,83.43,94.23,88.92,81.88,81.49,71.81,83.01
12,allmpnet,SUM-NS_SUM-2-3,simple-ns,SUM-NS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.19,79.52,92.23,87.76,81.19,79.05,68.13,80.86714285714285
13,allmpnet,MAX-NS_SUM-2-3,simple-ns,MAX-NS,SUM-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,75.05,62.87,91.3,31.74,49.08,77.04,70.19,65.32428571428571
14,allmpnet,CLS_SUM-3-4,simple,CLS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,77.65,81.15,93.28,88.0,81.77,77.33,74.19,81.91
15,allmpnet,AVG_SUM-3-4,simple,AVG,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,81.4,86.98,95.43,89.94,85.32,88.13,74.93,86.01857142857145
16,allmpnet,SUM_SUM-3-4,simple,SUM,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.4,82.67,93.19,88.18,84.06,86.39,71.91,83.82857142857142
17,allmpnet,MAX_SUM-3-4,simple,MAX,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,77.85,81.72,92.67,88.44,82.68,85.2,71.91,82.92428571428572
18,allmpnet,AVG-NS_SUM-3-4,simple-ns,AVG-NS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.35,85.05,94.95,89.13,82.91,83.36,72.5,84.03571428571429
19,allmpnet,SUM-NS_SUM-3-4,simple-ns,SUM-NS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,79.13,80.51,92.79,87.79,83.26,81.46,69.63,82.08142857142856
20,allmpnet,MAX-NS_SUM-3-4,simple-ns,MAX-NS,SUM-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,76.65,63.03,92.3,31.74,49.08,79.13,71.88,66.25857142857143
21,allmpnet,CLS_SUM-4-5,simple,CLS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.56,86.45,95.26,89.18,83.03,77.71,70.88,83.2957142857143
22,allmpnet,AVG_SUM-4-5,simple,AVG,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,83.88,89.34,95.78,90.58,87.16,89.21,75.51,87.35142857142857
23,allmpnet,SUM_SUM-4-5,simple,SUM,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,82.82,85.25,93.81,88.76,87.73,87.22,72.06,85.37857142857145
24,allmpnet,MAX_SUM-4-5,simple,MAX,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,79.97,84.16,93.52,88.87,84.29,86.7,72.79,84.32857142857142
25,allmpnet,AVG-NS_SUM-4-5,simple-ns,AVG-NS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,82.65,87.16,95.42,89.38,85.44,84.63,72.82,85.35714285714286
26,allmpnet,SUM-NS_SUM-4-5,simple-ns,SUM-NS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,81.41,82.66,93.17,88.11,85.67,82.92,70.19,83.44714285714288
27,allmpnet,MAX-NS_SUM-4-5,simple-ns,MAX-NS,SUM-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,78.92,63.13,92.98,31.74,49.08,81.49,71.54,66.98285714285716
28,allmpnet,CLS_SUM-5-6,simple,CLS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,83.44,88.92,95.69,88.4,86.58,75.18,69.8,84.00142857142858
29,allmpnet,AVG_SUM-5-6,simple,AVG,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,85.17,90.46,96.05,90.9,88.88,89.62,75.32,88.05714285714286
30,allmpnet,SUM_SUM-5-6,simple,SUM,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,83.93,86.99,94.37,89.39,89.33,87.34,70.98,86.04714285714286
31,allmpnet,MAX_SUM-5-6,simple,MAX,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.34,86.96,94.02,89.64,85.78,87.58,73.45,85.53857142857144
32,allmpnet,AVG-NS_SUM-5-6,simple-ns,AVG-NS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,83.98,89.09,95.74,89.73,88.3,85.29,73.6,86.53285714285714
33,allmpnet,SUM-NS_SUM-5-6,simple-ns,SUM-NS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,82.98,85.17,93.91,88.8,88.53,83.77,70.36,84.78857142857143
34,allmpnet,MAX-NS_SUM-5-6,simple-ns,MAX-NS,SUM-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,80.75,63.57,93.59,31.74,49.08,81.46,72.52,67.52999999999999
35,allmpnet,CLS_SUM-6-7,simple,CLS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.28,90.39,94.46,78.02,87.96,52.92,68.87,79.41428571428571
36,allmpnet,AVG_SUM-6-7,simple,AVG,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,85.92,91.23,96.18,90.92,89.56,89.34,75.17,88.33142857142857
37,allmpnet,SUM_SUM-6-7,simple,SUM,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,84.67,88.05,94.58,89.18,90.25,87.49,70.07,86.32714285714285
38,allmpnet,MAX_SUM-6-7,simple,MAX,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,82.94,88.24,94.09,89.47,87.39,87.64,73.31,86.1542857142857
39,allmpnet,AVG-NS_SUM-6-7,simple-ns,AVG-NS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,84.99,90.05,95.94,89.92,89.45,85.95,72.59,86.98428571428573
40,allmpnet,SUM-NS_SUM-6-7,simple-ns,SUM-NS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.66,86.5,94.32,88.97,89.79,83.47,69.9,85.23
41,allmpnet,MAX-NS_SUM-6-7,simple-ns,MAX-NS,SUM-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,82.0,63.69,93.61,31.74,49.08,82.06,72.2,67.76857142857143
42,allmpnet,CLS_SUM-7-8,simple,CLS,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,83.88,90.22,94.51,85.36,87.04,58.53,69.18,81.24571428571429
43,allmpnet,AVG_SUM-7-8,simple,AVG,SUM-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,86.28,91.39,96.07,90.81,89.68,89.8,75.66,88.52714285714285
