model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS+AVG+SUM_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.33), 'acc': np.float64(76.58), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.11), 'acc': np.float64(78.65), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.65), 'acc': np.float64(92.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.21), 'acc': np.float64(88.43), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.8), 'acc': 83.2, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.12), 'acc': 85.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.93), 'acc': 70.14, 'f1': 78.13, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+MAX_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.24), 'acc': np.float64(76.33), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.91), 'acc': np.float64(80.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.04), 'acc': np.float64(92.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.79), 'acc': np.float64(89.08), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 81.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.59), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.04), 'acc': 71.36, 'f1': 79.0, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+AVG-NS_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(77.92), 'acc': np.float64(77.92), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.88), 'acc': np.float64(82.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.27), 'acc': np.float64(93.28), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.3), 'acc': np.float64(89.45), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.91), 'acc': 81.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.98), 'acc': 87.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.04), 'acc': 74.78, 'f1': 82.38, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+SUM-NS_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.31), 'acc': np.float64(76.71), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.91), 'acc': np.float64(78.01), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.95), 'acc': np.float64(91.38), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.51), 'acc': np.float64(88.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.77), 'acc': 82.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(75.4), 'acc': 82.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.84), 'acc': 68.23, 'f1': 76.9, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG+MAX-NS_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.15), 'acc': np.float64(76.47), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.82), 'acc': np.float64(65.3), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.92), 'acc': np.float64(92.11), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(37.7), 'acc': np.float64(37.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.09), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.42), 'acc': 71.25, 'f1': 79.0, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM+MAX_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.14), 'acc': np.float64(76.54), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.18), 'acc': np.float64(78.12), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.54), 'acc': np.float64(91.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.98), 'acc': np.float64(88.08), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.77), 'acc': 83.36, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.87), 'acc': 87.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.2), 'acc': 70.55, 'f1': 78.66, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM+AVG-NS_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.26), 'acc': np.float64(76.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.1), 'acc': np.float64(78.57), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.65), 'acc': np.float64(92.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.14), 'acc': np.float64(88.36), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 82.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.19), 'acc': 86.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.08), 'acc': 71.01, 'f1': 78.96, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM+SUM-NS_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.25), 'acc': np.float64(76.69), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.57), 'acc': np.float64(78.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.97), 'acc': np.float64(91.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.0), 'acc': np.float64(88.26), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.91), 'acc': 82.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.5), 'acc': 87.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.39), 'acc': 68.75, 'f1': 77.09, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM+MAX-NS_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(75.94), 'acc': np.float64(75.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.74), 'acc': np.float64(65.48), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.58), 'acc': np.float64(92.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(37.71), 'acc': np.float64(37.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.89), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.03), 'acc': 70.67, 'f1': 78.78, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+MAX+AVG-NS_LYR-1,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.4), 'acc': np.float64(76.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.04), 'acc': np.float64(80.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.14), 'acc': np.float64(92.28), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.53), 'acc': np.float64(88.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 79.79, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.51), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.84), 'acc': 71.71, 'f1': 79.18, 'ndev': 4076, 'ntest': 1725}"
