,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS+AVG+SUM_LYR-1,three-tokens,CLS+AVG+SUM,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.33,78.11,91.65,88.21,82.8,82.12,70.93,81.45000000000002
1,allmpnet,CLS+AVG+MAX_LYR-1,three-tokens,CLS+AVG+MAX,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.24,79.91,92.04,88.79,81.54,82.59,73.04,82.02142857142857
2,allmpnet,CLS+AVG+AVG-NS_LYR-1,three-tokens,CLS+AVG+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,77.92,81.88,93.27,89.3,82.91,82.98,73.04,83.04285714285713
3,allmpnet,CLS+AVG+SUM-NS_LYR-1,three-tokens,CLS+AVG+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.31,76.91,90.95,88.51,81.77,75.4,68.84,79.81285714285715
4,allmpnet,CLS+AVG+MAX-NS_LYR-1,three-tokens,CLS+AVG+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.15,62.82,91.92,37.7,49.08,81.09,72.42,67.31142857142858
5,allmpnet,CLS+SUM+MAX_LYR-1,three-tokens,CLS+SUM+MAX,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.14,78.18,91.54,87.98,81.77,82.87,71.2,81.38285714285715
6,allmpnet,CLS+SUM+AVG-NS_LYR-1,three-tokens,CLS+SUM+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.26,78.1,91.65,88.14,83.6,82.19,71.08,81.57428571428571
7,allmpnet,CLS+SUM+SUM-NS_LYR-1,three-tokens,CLS+SUM+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.25,77.57,90.97,88.0,82.91,82.5,70.39,81.22714285714285
8,allmpnet,CLS+SUM+MAX-NS_LYR-1,three-tokens,CLS+SUM+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.94,62.74,91.58,37.71,49.08,82.89,71.03,67.28142857142856
9,allmpnet,CLS+MAX+AVG-NS_LYR-1,three-tokens,CLS+MAX+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.4,80.04,92.14,88.53,81.54,83.51,72.84,82.14285714285714
10,allmpnet,CLS+MAX+SUM-NS_LYR-1,three-tokens,CLS+MAX+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.87,77.55,91.0,88.01,81.31,79.31,68.74,80.25571428571428
11,allmpnet,CLS+MAX+MAX-NS_LYR-1,three-tokens,CLS+MAX+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,72.7,62.72,89.8,38.02,49.08,81.15,71.49,66.42285714285715
12,allmpnet,CLS+AVG-NS+SUM-NS_LYR-1,three-tokens,CLS+AVG-NS+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.94,76.62,90.81,87.31,81.42,72.91,68.89,79.12857142857142
13,allmpnet,CLS+AVG-NS+MAX-NS_LYR-1,three-tokens,CLS+AVG-NS+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.78,62.77,91.48,37.7,49.08,74.91,72.18,66.27142857142857
14,allmpnet,CLS+SUM-NS+MAX-NS_LYR-1,three-tokens,CLS+SUM-NS+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.0,62.55,90.77,37.7,49.08,73.72,68.96,65.39714285714284
15,allmpnet,AVG+SUM+MAX_LYR-1,three-tokens,AVG+SUM+MAX,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.14,78.18,91.54,87.98,82.0,82.92,70.61,81.33857142857143
16,allmpnet,AVG+SUM+AVG-NS_LYR-1,three-tokens,AVG+SUM+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.28,78.09,91.63,88.15,83.49,82.23,70.36,81.46142857142857
17,allmpnet,AVG+SUM+SUM-NS_LYR-1,three-tokens,AVG+SUM+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.22,77.59,90.99,88.1,82.8,82.52,70.29,81.21571428571428
18,allmpnet,AVG+SUM+MAX-NS_LYR-1,three-tokens,AVG+SUM+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.95,62.72,91.58,38.02,49.08,82.85,70.71,67.27285714285713
19,allmpnet,AVG+MAX+AVG-NS_LYR-1,three-tokens,AVG+MAX+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.82,80.47,92.64,88.67,82.11,84.37,73.18,82.60857142857142
20,allmpnet,AVG+MAX+SUM-NS_LYR-1,three-tokens,AVG+MAX+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.9,77.54,91.16,88.12,81.42,79.93,68.4,80.35285714285715
21,allmpnet,AVG+MAX+MAX-NS_LYR-1,three-tokens,AVG+MAX+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.84,62.92,91.55,37.7,49.08,82.58,72.28,67.42142857142856
22,allmpnet,AVG+AVG-NS+SUM-NS_LYR-1,three-tokens,AVG+AVG-NS+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.28,76.95,91.01,88.3,82.57,75.73,67.25,79.72714285714287
23,allmpnet,AVG+AVG-NS+MAX-NS_LYR-1,three-tokens,AVG+AVG-NS+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.53,62.94,92.51,37.7,49.08,82.13,72.77,67.66571428571429
24,allmpnet,AVG+SUM-NS+MAX-NS_LYR-1,three-tokens,AVG+SUM-NS+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.35,62.52,91.02,37.7,49.08,76.96,68.08,65.81571428571428
25,allmpnet,SUM+MAX+AVG-NS_LYR-1,three-tokens,SUM+MAX+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.14,78.16,91.54,87.92,81.54,83.05,70.68,81.29
26,allmpnet,SUM+MAX+SUM-NS_LYR-1,three-tokens,SUM+MAX+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.09,77.84,91.09,87.88,81.77,83.03,69.95,81.09285714285714
27,allmpnet,SUM+MAX+MAX-NS_LYR-1,three-tokens,SUM+MAX+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.78,62.7,91.58,38.03,49.08,83.57,70.39,67.30428571428571
28,allmpnet,SUM+AVG-NS+SUM-NS_LYR-1,three-tokens,SUM+AVG-NS+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.17,77.57,90.98,87.95,83.83,82.52,70.27,81.32714285714285
29,allmpnet,SUM+AVG-NS+MAX-NS_LYR-1,three-tokens,SUM+AVG-NS+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.94,62.7,91.6,37.71,49.08,82.96,70.53,67.21714285714286
30,allmpnet,SUM+SUM-NS+MAX-NS_LYR-1,three-tokens,SUM+SUM-NS+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.86,62.75,91.18,38.02,49.08,83.2,70.04,67.16142857142857
