model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS+AVG_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.66), 'acc': np.float64(77.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.98), 'acc': np.float64(81.91), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.33), 'acc': np.float64(93.41), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.8), 'acc': np.float64(89.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 82.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.29), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.45), 'acc': 73.97, 'f1': 81.83, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.37), 'acc': np.float64(76.69), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.18), 'acc': np.float64(78.65), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.67), 'acc': np.float64(92.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.09), 'acc': np.float64(88.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.42), 'acc': 82.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.93), 'acc': 85.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.12), 'acc': 71.19, 'f1': 79.14, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+MAX_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(72.02), 'acc': np.float64(72.13), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.17), 'acc': np.float64(78.83), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.63), 'acc': np.float64(89.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.0), 'acc': np.float64(88.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.06), 'acc': 75.62, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(80.8), 'acc': 85.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.37), 'acc': 71.88, 'f1': 79.61, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+AVG-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.17), 'acc': np.float64(77.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.59), 'acc': np.float64(81.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.33), 'acc': np.float64(92.21), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.29), 'acc': np.float64(88.47), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.65), 'acc': 82.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(75.99), 'acc': 80.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.8), 'acc': 72.75, 'f1': 81.42, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+SUM-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(75.96), 'acc': np.float64(76.36), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.67), 'acc': np.float64(77.48), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.8), 'acc': np.float64(91.24), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.17), 'acc': np.float64(87.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.62), 'acc': 82.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(72.6), 'acc': 77.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.57), 'acc': 67.77, 'f1': 76.52, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS+MAX-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(72.1), 'acc': np.float64(72.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.5), 'acc': np.float64(64.95), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(88.59), 'acc': np.float64(88.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(37.7), 'acc': np.float64(37.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.46), 'acc': 77.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.54), 'acc': 70.49, 'f1': 78.57, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+SUM_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.33), 'acc': np.float64(76.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.16), 'acc': np.float64(78.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.67), 'acc': np.float64(91.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.23), 'acc': np.float64(88.26), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 82.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.01), 'acc': 85.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.73), 'acc': 69.97, 'f1': 78.14, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+MAX_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.35), 'acc': np.float64(76.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.91), 'acc': np.float64(80.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.04), 'acc': np.float64(92.21), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.82), 'acc': np.float64(89.15), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.31), 'acc': 81.0, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.03), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.28), 'acc': 71.88, 'f1': 79.32, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+AVG-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(77.9), 'acc': np.float64(77.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.9), 'acc': np.float64(82.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.25), 'acc': np.float64(93.32), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.32), 'acc': np.float64(89.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 82.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.68), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.21), 'acc': 74.49, 'f1': 82.2, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG+SUM-NS_LYR-1,"torch.Size([61, 1536])",NORMAL,4,0,12,"{'devacc': np.float64(76.4), 'acc': np.float64(76.72), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.0), 'acc': np.float64(77.96), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.99), 'acc': np.float64(91.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.54), 'acc': np.float64(88.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.34), 'acc': 82.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(75.48), 'acc': 80.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 65.51, 'f1': 74.41, 'ndev': 4076, 'ntest': 1725}"
