model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness
deberta-base,CLS_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.06488521742211287), 'wmean': np.float64(0.062099876188898936)}, 'spearman': {'mean': np.float64(0.14090088017306632), 'wmean': np.float64(0.12201335061462276)}}","{'pearson': {'mean': np.float64(-0.026840840493559687), 'wmean': np.float64(-0.06553049935788562)}, 'spearman': {'mean': np.float64(0.06877045347730913), 'wmean': np.float64(0.07407298727977922)}}","{'pearson': {'mean': np.float64(-0.011971465400700444), 'wmean': np.float64(-0.019205089328454453)}, 'spearman': {'mean': np.float64(0.060064457372055256), 'wmean': np.float64(0.05878701668500691)}}","{'pearson': {'mean': np.float64(0.08539123440779096), 'wmean': np.float64(0.09739491209895092)}, 'spearman': {'mean': np.float64(0.16936380787005384), 'wmean': np.float64(0.20087936807699108)}}","{'pearson': {'mean': np.float64(0.08166239376419657), 'wmean': np.float64(0.08651968410308808)}, 'spearman': {'mean': np.float64(0.23781555978844615), 'wmean': np.float64(0.24690728174144816)}}","{'devpearson': np.float64(0.2630629532372277), 'pearson': np.float64(0.2308296054098076), 'spearman': np.float64(0.24073035925906933), 'mse': 2.413696324130991, 'yhat': array([3.18436928, 2.65388046, 3.18098654, ..., 3.12752919, 3.13928374,
       3.4174638 ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.45080175749014384), 'pearson': np.float64(0.4139318622153014), 'spearman': np.float64(0.41042449494622096), 'mse': 0.8511900224859611, 'yhat': array([3.09959535, 3.90031745, 3.42260134, ..., 3.48284104, 3.78140902,
       3.89925748], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5793226157985902), 'wmean': np.float64(0.5910177005152745)}, 'spearman': {'mean': np.float64(0.5864330216108862), 'wmean': np.float64(0.5975864710745804)}}","{'pearson': {'mean': np.float64(0.5923078682631404), 'wmean': np.float64(0.6343684515610724)}, 'spearman': {'mean': np.float64(0.5986320490440652), 'wmean': np.float64(0.6384904677428679)}}","{'pearson': {'mean': np.float64(0.6667304916863436), 'wmean': np.float64(0.6756440424427319)}, 'spearman': {'mean': np.float64(0.6495414611012164), 'wmean': np.float64(0.6595798726657701)}}","{'pearson': {'mean': np.float64(0.728406953889884), 'wmean': np.float64(0.7405642450824219)}, 'spearman': {'mean': np.float64(0.7260911311054054), 'wmean': np.float64(0.7388469356901008)}}","{'pearson': {'mean': np.float64(0.6669821260275868), 'wmean': np.float64(0.6704130788557505)}, 'spearman': {'mean': np.float64(0.6713360602486472), 'wmean': np.float64(0.6753690139353565)}}","{'devpearson': np.float64(0.7671779058843067), 'pearson': np.float64(0.7283247537835342), 'spearman': np.float64(0.726699771617687), 'mse': 1.3155950204769493, 'yhat': array([1.11751431, 1.23492295, 2.35211021, ..., 3.11923045, 3.84950692,
       4.06006631], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8144918828648151), 'pearson': np.float64(0.8285221389269611), 'spearman': np.float64(0.7570632422629502), 'mse': 0.3206695720614251, 'yhat': array([3.47726459, 4.41573543, 1.13784665, ..., 3.30246997, 4.31028095,
       4.53114189], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,SUM_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5793226311476765), 'wmean': np.float64(0.5910177208152186)}, 'spearman': {'mean': np.float64(0.5862620329202495), 'wmean': np.float64(0.5974770160293158)}}","{'pearson': {'mean': np.float64(0.5923078470590138), 'wmean': np.float64(0.6343684507387879)}, 'spearman': {'mean': np.float64(0.598632047361168), 'wmean': np.float64(0.638490465218522)}}","{'pearson': {'mean': np.float64(0.6667304830567753), 'wmean': np.float64(0.6756440389318493)}, 'spearman': {'mean': np.float64(0.6495414611012164), 'wmean': np.float64(0.6595798726657701)}}","{'pearson': {'mean': np.float64(0.7284069568244389), 'wmean': np.float64(0.7405642482811997)}, 'spearman': {'mean': np.float64(0.726092023525603), 'wmean': np.float64(0.7388474941014914)}}","{'pearson': {'mean': np.float64(0.6669821082435662), 'wmean': np.float64(0.6704130604465155)}, 'spearman': {'mean': np.float64(0.6713360602486472), 'wmean': np.float64(0.6753690139353565)}}","{'devpearson': np.float64(0.647302416091343), 'pearson': np.float64(0.6230092728473222), 'spearman': np.float64(0.6415448945189877), 'mse': 1.5488431701586631, 'yhat': array([1.32834293, 1.00000015, 1.86610203, ..., 4.        , 4.        ,
       4.        ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6208453631445958), 'pearson': np.float64(0.6935157250430783), 'spearman': np.float64(0.4933938849167641), 'mse': 0.5586120731231405, 'yhat': array([3.32910857, 3.46474811, 1.03353253, ..., 3.99875426, 3.29833335,
       3.01356003], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,MAX_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5728289387788486), 'wmean': np.float64(0.5820670139642358)}, 'spearman': {'mean': np.float64(0.5807095664021232), 'wmean': np.float64(0.5938413313268923)}}","{'pearson': {'mean': np.float64(0.4828191587020201), 'wmean': np.float64(0.5859571951194436)}, 'spearman': {'mean': np.float64(0.4801931015188452), 'wmean': np.float64(0.5826441336793248)}}","{'pearson': {'mean': np.float64(0.64138407163721), 'wmean': np.float64(0.6502213374090273)}, 'spearman': {'mean': np.float64(0.6335402891082487), 'wmean': np.float64(0.6449481442495391)}}","{'pearson': {'mean': np.float64(0.6496200588118757), 'wmean': np.float64(0.6817976960201813)}, 'spearman': {'mean': np.float64(0.6649116692480188), 'wmean': np.float64(0.6962383957981374)}}","{'pearson': {'mean': np.float64(0.6124600150297341), 'wmean': np.float64(0.6119766293120978)}, 'spearman': {'mean': np.float64(0.6405519228751897), 'wmean': np.float64(0.6406875694757854)}}","{'devpearson': np.float64(0.6898452566578179), 'pearson': np.float64(0.620138961019224), 'spearman': np.float64(0.6188613311352398), 'mse': 1.451288193603442, 'yhat': array([1.35326183, 1.07810599, 1.30668667, ..., 3.65891002, 4.1315473 ,
       4.58243223], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7903011947413217), 'pearson': np.float64(0.8005440341951481), 'spearman': np.float64(0.7388502262876829), 'mse': 0.37190368884864894, 'yhat': array([3.10518595, 4.5325157 , 1.08553973, ..., 2.9386362 , 4.66958278,
       4.17110195], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG-NS_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5788704859906227), 'wmean': np.float64(0.5911872370073122)}, 'spearman': {'mean': np.float64(0.584390680058428), 'wmean': np.float64(0.5964922116250863)}}","{'pearson': {'mean': np.float64(0.5992506495794565), 'wmean': np.float64(0.6394552180093468)}, 'spearman': {'mean': np.float64(0.6042980907827494), 'wmean': np.float64(0.6425152608631725)}}","{'pearson': {'mean': np.float64(0.6728232032077962), 'wmean': np.float64(0.6812005963271428)}, 'spearman': {'mean': np.float64(0.6542407427547884), 'wmean': np.float64(0.6641929366837808)}}","{'pearson': {'mean': np.float64(0.7316356854535581), 'wmean': np.float64(0.7432112326654418)}, 'spearman': {'mean': np.float64(0.7299020811972904), 'wmean': np.float64(0.7421081220586447)}}","{'pearson': {'mean': np.float64(0.6738362358651284), 'wmean': np.float64(0.6772737948391224)}, 'spearman': {'mean': np.float64(0.6802261657226517), 'wmean': np.float64(0.6840676151721469)}}","{'devpearson': np.float64(0.7576330160690704), 'pearson': np.float64(0.7216020744455961), 'spearman': np.float64(0.7222156365377008), 'mse': 1.3127895652812391, 'yhat': array([1.16236183, 1.27306125, 2.66887957, ..., 2.96273147, 3.82668331,
       3.94878653], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8141750124237324), 'pearson': np.float64(0.8296363014677066), 'spearman': np.float64(0.7553811534786412), 'mse': 0.3185298239849976, 'yhat': array([3.58013981, 4.3271973 , 1.06941002, ..., 3.32274294, 4.27637842,
       4.43186546], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,SUM-NS_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5788704933981492), 'wmean': np.float64(0.5911872521360395)}, 'spearman': {'mean': np.float64(0.5844021534829166), 'wmean': np.float64(0.5965006903715284)}}","{'pearson': {'mean': np.float64(0.599250655898598), 'wmean': np.float64(0.6394552263946257)}, 'spearman': {'mean': np.float64(0.6042980907827494), 'wmean': np.float64(0.6425152608631725)}}","{'pearson': {'mean': np.float64(0.6728232009519105), 'wmean': np.float64(0.6812005935226553)}, 'spearman': {'mean': np.float64(0.6542407427547884), 'wmean': np.float64(0.6641929366837808)}}","{'pearson': {'mean': np.float64(0.7316356920779958), 'wmean': np.float64(0.7432112355082762)}, 'spearman': {'mean': np.float64(0.7299016781082848), 'wmean': np.float64(0.7421078753268745)}}","{'pearson': {'mean': np.float64(0.6738362942472846), 'wmean': np.float64(0.6772738534080986)}, 'spearman': {'mean': np.float64(0.6802261657226517), 'wmean': np.float64(0.6840676151721469)}}","{'devpearson': np.float64(0.6431445026340514), 'pearson': np.float64(0.5982958382328003), 'spearman': np.float64(0.6085327692412582), 'mse': 1.629607833873226, 'yhat': array([1.41607971, 1.00000466, 2.20582838, ..., 4.        , 4.        ,
       4.        ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6604718135128622), 'pearson': np.float64(0.6934221914832372), 'spearman': np.float64(0.6525284701945707), 'mse': 0.7872478518583095, 'yhat': array([3.69300712, 4.21966718, 1.05397633, ..., 4.        , 4.79958785,
       5.        ], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,MAX-NS_LYR-1,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5426163932211387), 'wmean': np.float64(0.549747264359386)}, 'spearman': {'mean': np.float64(0.5746697255516912), 'wmean': np.float64(0.5884457902251866)}}","{'pearson': {'mean': np.float64(0.4778241100157647), 'wmean': np.float64(0.5772372421449448)}, 'spearman': {'mean': np.float64(0.4763165840831191), 'wmean': np.float64(0.5763074222238477)}}","{'pearson': {'mean': np.float64(0.6369891713526522), 'wmean': np.float64(0.6450924595665756)}, 'spearman': {'mean': np.float64(0.6316192434762272), 'wmean': np.float64(0.6429638787176949)}}","{'pearson': {'mean': np.float64(0.6491585580214896), 'wmean': np.float64(0.6796573397810304)}, 'spearman': {'mean': np.float64(0.6660950604459893), 'wmean': np.float64(0.6959156572157508)}}","{'pearson': {'mean': np.float64(0.6085000481196987), 'wmean': np.float64(0.6082743239461755)}, 'spearman': {'mean': np.float64(0.65057385458033), 'wmean': np.float64(0.6511022790702768)}}","{'devpearson': np.float64(0.6930075499342474), 'pearson': np.float64(0.6199896469260946), 'spearman': np.float64(0.6171801063345198), 'mse': 1.4521472330354857, 'yhat': array([1.15737121, 1.18557243, 1.43508757, ..., 3.48086052, 4.13909972,
       4.54853621], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7866322940474593), 'pearson': np.float64(0.8008876443571727), 'spearman': np.float64(0.7388672699692516), 'mse': 0.3713291312449754, 'yhat': array([3.11232762, 4.43008121, 1.07486639, ..., 2.93678228, 4.74405494,
       4.05348503], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,CLS_LYR-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.22049181786878974), 'wmean': np.float64(0.19850813735908285)}, 'spearman': {'mean': np.float64(0.2989082032756094), 'wmean': np.float64(0.2817501370943256)}}","{'pearson': {'mean': np.float64(0.06378017128947566), 'wmean': np.float64(0.0641657151972157)}, 'spearman': {'mean': np.float64(0.09976354149683446), 'wmean': np.float64(0.11866687264749139)}}","{'pearson': {'mean': np.float64(0.08920294584651252), 'wmean': np.float64(0.09276220706737007)}, 'spearman': {'mean': np.float64(0.1714168023112164), 'wmean': np.float64(0.16865348567537625)}}","{'pearson': {'mean': np.float64(0.16188685646149542), 'wmean': np.float64(0.19458594709150137)}, 'spearman': {'mean': np.float64(0.24331547819212956), 'wmean': np.float64(0.28335412580588254)}}","{'pearson': {'mean': np.float64(0.17403031335715183), 'wmean': np.float64(0.18173390854889604)}, 'spearman': {'mean': np.float64(0.3117618002627052), 'wmean': np.float64(0.32130811278171606)}}","{'devpearson': np.float64(0.4327559279156227), 'pearson': np.float64(0.3932672667359322), 'spearman': np.float64(0.39551562271823426), 'mse': 2.1887076178905014, 'yhat': array([2.52448062, 2.46416648, 2.51935901, ..., 3.23276066, 3.341487  ,
       3.48969827], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.546423528315032), 'pearson': np.float64(0.516031135538912), 'spearman': np.float64(0.5012081857043178), 'mse': 0.7549323141046677, 'yhat': array([3.08520453, 3.89089536, 2.61659142, ..., 3.57167863, 4.07906898,
       4.17915596], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG_LYR-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5518415216503685), 'wmean': np.float64(0.5558461988413657)}, 'spearman': {'mean': np.float64(0.555305865672119), 'wmean': np.float64(0.5616368921878755)}}","{'pearson': {'mean': np.float64(0.5484952377872534), 'wmean': np.float64(0.5990071220110839)}, 'spearman': {'mean': np.float64(0.5550425258306925), 'wmean': np.float64(0.6027544216590816)}}","{'pearson': {'mean': np.float64(0.625100644480547), 'wmean': np.float64(0.6325903203674512)}, 'spearman': {'mean': np.float64(0.614938435174359), 'wmean': np.float64(0.6223054196108383)}}","{'pearson': {'mean': np.float64(0.6884496818603474), 'wmean': np.float64(0.7024699635928051)}, 'spearman': {'mean': np.float64(0.6951192949278715), 'wmean': np.float64(0.7080709477714705)}}","{'pearson': {'mean': np.float64(0.6112478448573453), 'wmean': np.float64(0.6161662005915823)}, 'spearman': {'mean': np.float64(0.6324682436360856), 'wmean': np.float64(0.6378013224430368)}}","{'devpearson': np.float64(0.7464155016981988), 'pearson': np.float64(0.6994030790338256), 'spearman': np.float64(0.691568103944976), 'mse': 1.3747261953965153, 'yhat': array([1.31495479, 1.21784823, 2.14362244, ..., 3.44682436, 3.41296153,
       4.10603321], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8057421853250951), 'pearson': np.float64(0.8303226727496946), 'spearman': np.float64(0.7620639707998121), 'mse': 0.3180116469329532, 'yhat': array([3.66179504, 4.16553779, 1.07646489, ..., 3.26868243, 4.3599963 ,
       4.38480174], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,SUM_LYR-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5518414974714686), 'wmean': np.float64(0.5558461882361861)}, 'spearman': {'mean': np.float64(0.5553065358545027), 'wmean': np.float64(0.5616324079233038)}}","{'pearson': {'mean': np.float64(0.548495280076196), 'wmean': np.float64(0.5990071288114936)}, 'spearman': {'mean': np.float64(0.555042524226809), 'wmean': np.float64(0.6027544192532566)}}","{'pearson': {'mean': np.float64(0.6251006671901992), 'wmean': np.float64(0.6325903405321649)}, 'spearman': {'mean': np.float64(0.6149418922069204), 'wmean': np.float64(0.6223095680499121)}}","{'pearson': {'mean': np.float64(0.6884496628037804), 'wmean': np.float64(0.7024699523976508)}, 'spearman': {'mean': np.float64(0.695119480952402), 'wmean': np.float64(0.7080710709227088)}}","{'pearson': {'mean': np.float64(0.6112478072512738), 'wmean': np.float64(0.6161661704876045)}, 'spearman': {'mean': np.float64(0.6324682436360856), 'wmean': np.float64(0.6378013224430368)}}","{'devpearson': np.float64(0.5597129708041666), 'pearson': np.float64(0.5237552580732678), 'spearman': np.float64(0.5358768306079909), 'mse': 1.8546492933787604, 'yhat': array([2.00000653, 2.        , 2.00005414, ..., 4.        , 4.        ,
       4.        ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6542674095874484), 'pearson': np.float64(0.6845196565699156), 'spearman': np.float64(0.5473462663240889), 'mse': 0.5928388233569065, 'yhat': array([3.36513406, 3.75639344, 1.00434845, ..., 3.00000105, 4.        ,
       3.38702768], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
