model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness
deberta-base,CLS+AVG_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5680357975817154), 'wmean': np.float64(0.5762459309927648)}, 'spearman': {'mean': np.float64(0.5781788462034286), 'wmean': np.float64(0.5870288750875291)}}","{'pearson': {'mean': np.float64(0.5512077468513109), 'wmean': np.float64(0.6086900525314692)}, 'spearman': {'mean': np.float64(0.5580015527282081), 'wmean': np.float64(0.6131472616029651)}}","{'pearson': {'mean': np.float64(0.6392520336619391), 'wmean': np.float64(0.6456271329351)}, 'spearman': {'mean': np.float64(0.6319456929408349), 'wmean': np.float64(0.6391055234311032)}}","{'pearson': {'mean': np.float64(0.698603785399426), 'wmean': np.float64(0.7167605635396559)}, 'spearman': {'mean': np.float64(0.7018083863126396), 'wmean': np.float64(0.7195330101302944)}}","{'pearson': {'mean': np.float64(0.6349498165046407), 'wmean': np.float64(0.6388969159001436)}, 'spearman': {'mean': np.float64(0.6488876240476309), 'wmean': np.float64(0.6535956633828877)}}","{'devpearson': np.float64(0.7713755335183157), 'pearson': np.float64(0.7345657786480441), 'spearman': np.float64(0.7328377574485947), 'mse': 1.2977667917725628, 'yhat': array([1.13856488, 1.23016157, 2.34366533, ..., 3.22699302, 3.7933234 ,
       4.11518765], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8189063976461333), 'pearson': np.float64(0.830697806027961), 'spearman': np.float64(0.7575937263439582), 'mse': 0.3177253204145401, 'yhat': array([3.52874916, 4.30838096, 1.10208626, ..., 3.31260428, 4.31743684,
       4.55136282], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,CLS+SUM_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5789222681735817), 'wmean': np.float64(0.5906862666134935)}, 'spearman': {'mean': np.float64(0.5864783949202712), 'wmean': np.float64(0.5976095709160708)}}","{'pearson': {'mean': np.float64(0.5908690980875052), 'wmean': np.float64(0.6328948964499934)}, 'spearman': {'mean': np.float64(0.597297594074531), 'wmean': np.float64(0.6370024378179377)}}","{'pearson': {'mean': np.float64(0.6659400512496818), 'wmean': np.float64(0.6749286232542702)}, 'spearman': {'mean': np.float64(0.648998252424091), 'wmean': np.float64(0.6590771080370731)}}","{'pearson': {'mean': np.float64(0.7285936396474311), 'wmean': np.float64(0.7406584010441406)}, 'spearman': {'mean': np.float64(0.7262449791194843), 'wmean': np.float64(0.7388964102830341)}}","{'pearson': {'mean': np.float64(0.6677568237328255), 'wmean': np.float64(0.6712801881446187)}, 'spearman': {'mean': np.float64(0.67157600059654), 'wmean': np.float64(0.6757054447365531)}}","{'devpearson': np.float64(0.6136222410615342), 'pearson': np.float64(0.5784103135008739), 'spearman': np.float64(0.5724373671891899), 'mse': 1.629647484256943, 'yhat': array([1.03715966, 1.00003096, 1.42202412, ..., 4.        , 4.        ,
       4.        ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7454421068321692), 'pearson': np.float64(0.7682274486055117), 'spearman': np.float64(0.6769179092272174), 'mse': 0.46583233610598074, 'yhat': array([3.41578149, 4.59433283, 1.06788523, ..., 3.00000104, 3.00178717,
       4.99999946], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,CLS+MAX_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5754336640361379), 'wmean': np.float64(0.5846180550393628)}, 'spearman': {'mean': np.float64(0.5827656088564005), 'wmean': np.float64(0.5958308061040319)}}","{'pearson': {'mean': np.float64(0.48490310467205777), 'wmean': np.float64(0.5869054537577132)}, 'spearman': {'mean': np.float64(0.48153060263223013), 'wmean': np.float64(0.5829981944036919)}}","{'pearson': {'mean': np.float64(0.6444976629505027), 'wmean': np.float64(0.6530738433069659)}, 'spearman': {'mean': np.float64(0.6353793574569856), 'wmean': np.float64(0.6467660148956964)}}","{'pearson': {'mean': np.float64(0.6557222285324118), 'wmean': np.float64(0.687296654145477)}, 'spearman': {'mean': np.float64(0.6686752524172008), 'wmean': np.float64(0.6995136397668937)}}","{'pearson': {'mean': np.float64(0.620193002062732), 'wmean': np.float64(0.6200735462119722)}, 'spearman': {'mean': np.float64(0.6443503062620961), 'wmean': np.float64(0.6447427911740635)}}","{'devpearson': np.float64(0.7030741516554716), 'pearson': np.float64(0.6438891915108143), 'spearman': np.float64(0.6447747909743834), 'mse': 1.3859122575130245, 'yhat': array([1.41680852, 1.11926487, 1.38139062, ..., 3.4530329 , 4.11757943,
       4.46864802], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7977143713876016), 'pearson': np.float64(0.8063404288616844), 'spearman': np.float64(0.7436520474242773), 'mse': 0.36203394269638667, 'yhat': array([3.15598624, 4.43512169, 1.11289608, ..., 2.90274589, 4.48805783,
       3.9924036 ], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,CLS+AVG-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5581758793840118), 'wmean': np.float64(0.566667718232398)}, 'spearman': {'mean': np.float64(0.5690874262878708), 'wmean': np.float64(0.5793464222147471)}}","{'pearson': {'mean': np.float64(0.5517498318992656), 'wmean': np.float64(0.6120257812420247)}, 'spearman': {'mean': np.float64(0.5558333757677998), 'wmean': np.float64(0.6152091366695428)}}","{'pearson': {'mean': np.float64(0.6409613193176961), 'wmean': np.float64(0.6461525238629895)}, 'spearman': {'mean': np.float64(0.6306549784511984), 'wmean': np.float64(0.6378304145365508)}}","{'pearson': {'mean': np.float64(0.687322795165526), 'wmean': np.float64(0.7073812886550626)}, 'spearman': {'mean': np.float64(0.6939271888100835), 'wmean': np.float64(0.7133476003758062)}}","{'pearson': {'mean': np.float64(0.6209293874256796), 'wmean': np.float64(0.6240614852993804)}, 'spearman': {'mean': np.float64(0.6461118100025883), 'wmean': np.float64(0.6498518473171289)}}","{'devpearson': np.float64(0.7638922911149427), 'pearson': np.float64(0.7256540007494986), 'spearman': np.float64(0.7242260440227885), 'mse': 1.2968356884954493, 'yhat': array([1.08740802, 1.26231543, 2.58122568, ..., 3.11480599, 3.75586176,
       4.01347397], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8175084505099697), 'pearson': np.float64(0.8314863481955528), 'spearman': np.float64(0.7567093717190728), 'mse': 0.31548161686034454, 'yhat': array([3.60651436, 4.25377858, 1.03539842, ..., 3.32251255, 4.29650075,
       4.47246327], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,CLS+SUM-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5788698111183475), 'wmean': np.float64(0.5912234200227029)}, 'spearman': {'mean': np.float64(0.5846457274512277), 'wmean': np.float64(0.5967244120530539)}}","{'pearson': {'mean': np.float64(0.5982468398261158), 'wmean': np.float64(0.6382211733875348)}, 'spearman': {'mean': np.float64(0.6031034714884417), 'wmean': np.float64(0.6412860705634409)}}","{'pearson': {'mean': np.float64(0.6721857288994751), 'wmean': np.float64(0.6806323906810026)}, 'spearman': {'mean': np.float64(0.6538271201637276), 'wmean': np.float64(0.6638218858125327)}}","{'pearson': {'mean': np.float64(0.7321798255768857), 'wmean': np.float64(0.7436249079303859)}, 'spearman': {'mean': np.float64(0.7300960512504956), 'wmean': np.float64(0.7422820201992196)}}","{'pearson': {'mean': np.float64(0.6749675210262277), 'wmean': np.float64(0.6785186741800344)}, 'spearman': {'mean': np.float64(0.6804086951818425), 'wmean': np.float64(0.684340162528041)}}","{'devpearson': np.float64(0.5828905685077534), 'pearson': np.float64(0.5311041495999027), 'spearman': np.float64(0.5532029288371543), 'mse': 2.159285389774789, 'yhat': array([1.00810635, 1.00000024, 3.6707933 , ..., 4.        , 4.        ,
       4.        ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7305179962243527), 'pearson': np.float64(0.7597068039668904), 'spearman': np.float64(0.6761950853522055), 'mse': 0.4986720276154328, 'yhat': array([3.43164769, 4.69206303, 1.11299985, ..., 3.00000602, 4.97279066,
       4.9986381 ], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,CLS+MAX-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5463401569520927), 'wmean': np.float64(0.5533657767353909)}, 'spearman': {'mean': np.float64(0.5764618480019565), 'wmean': np.float64(0.5903391193523683)}}","{'pearson': {'mean': np.float64(0.4799346241353004), 'wmean': np.float64(0.578472531260203)}, 'spearman': {'mean': np.float64(0.4776995080337622), 'wmean': np.float64(0.5766834061933928)}}","{'pearson': {'mean': np.float64(0.6405112337202074), 'wmean': np.float64(0.648350968438247)}, 'spearman': {'mean': np.float64(0.6337502362531658), 'wmean': np.float64(0.6450393281474646)}}","{'pearson': {'mean': np.float64(0.6555089576149153), 'wmean': np.float64(0.6853878910079614)}, 'spearman': {'mean': np.float64(0.6701392415883858), 'wmean': np.float64(0.6994793130461797)}}","{'pearson': {'mean': np.float64(0.6167926385464566), 'wmean': np.float64(0.6169498539236918)}, 'spearman': {'mean': np.float64(0.6542383296010544), 'wmean': np.float64(0.6550927546318414)}}","{'devpearson': np.float64(0.7071302104923761), 'pearson': np.float64(0.6443575773223889), 'spearman': np.float64(0.6431160426737992), 'mse': 1.3861406081061742, 'yhat': array([1.24479414, 1.22165382, 1.47856546, ..., 3.3404268 , 4.09906856,
       4.42953132], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7942318576650862), 'pearson': np.float64(0.8066109869126648), 'spearman': np.float64(0.7437529979692539), 'mse': 0.3616511982921337, 'yhat': array([3.16064086, 4.33488047, 1.09472142, ..., 2.90013685, 4.57935447,
       3.86934545], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG+SUM_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5794117159494621), 'wmean': np.float64(0.5910608413645604)}, 'spearman': {'mean': np.float64(0.5864299734731617), 'wmean': np.float64(0.5976376410277497)}}","{'pearson': {'mean': np.float64(0.5916461360629311), 'wmean': np.float64(0.633924338329904)}, 'spearman': {'mean': np.float64(0.5978320873485451), 'wmean': np.float64(0.6379396249102266)}}","{'pearson': {'mean': np.float64(0.6664852155833915), 'wmean': np.float64(0.675379193687562)}, 'spearman': {'mean': np.float64(0.6493742069627417), 'wmean': np.float64(0.6594048019989852)}}","{'pearson': {'mean': np.float64(0.7283242475547754), 'wmean': np.float64(0.7404865961808162)}, 'spearman': {'mean': np.float64(0.7260706660900177), 'wmean': np.float64(0.7388109994389869)}}","{'pearson': {'mean': np.float64(0.6668573646971707), 'wmean': np.float64(0.670295078286209)}, 'spearman': {'mean': np.float64(0.6711894959194765), 'wmean': np.float64(0.6752347656587165)}}","{'devpearson': np.float64(0.5881860150009595), 'pearson': np.float64(0.5255620663369286), 'spearman': np.float64(0.5206960847341598), 'mse': 1.8234297253168417, 'yhat': array([1.00041734, 1.        , 2.00655841, ..., 3.        , 3.        ,
       5.        ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6771823763679056), 'pearson': np.float64(0.728645629261603), 'spearman': np.float64(0.6308485667078387), 'mse': 0.5681149521042369, 'yhat': array([3.90516975, 4.18226768, 1.24544099, ..., 4.00000003, 4.4899002 ,
       4.99902257], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG+MAX_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5736689790598587), 'wmean': np.float64(0.5822565766464426)}, 'spearman': {'mean': np.float64(0.5822673792625367), 'wmean': np.float64(0.5947446804924943)}}","{'pearson': {'mean': np.float64(0.4893729991196542), 'wmean': np.float64(0.588209474288689)}, 'spearman': {'mean': np.float64(0.4866586481331152), 'wmean': np.float64(0.5854069945268027)}}","{'pearson': {'mean': np.float64(0.641020777107349), 'wmean': np.float64(0.6492931622033528)}, 'spearman': {'mean': np.float64(0.6324084896086329), 'wmean': np.float64(0.6431491228938634)}}","{'pearson': {'mean': np.float64(0.6526237210896075), 'wmean': np.float64(0.6843858183260761)}, 'spearman': {'mean': np.float64(0.6673172609705863), 'wmean': np.float64(0.6979911456861317)}}","{'pearson': {'mean': np.float64(0.6110533997093804), 'wmean': np.float64(0.6108196073059221)}, 'spearman': {'mean': np.float64(0.6405048033518792), 'wmean': np.float64(0.6408623339527791)}}","{'devpearson': np.float64(0.7237884716458814), 'pearson': np.float64(0.6635888264845771), 'spearman': np.float64(0.6655999509834067), 'mse': 1.3388002534941343, 'yhat': array([1.20306584, 1.15906419, 1.48889165, ..., 3.76419478, 4.23012934,
       4.23276601], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8174363436080572), 'pearson': np.float64(0.8248830263347118), 'spearman': np.float64(0.7580364466403561), 'mse': 0.32618927573628215, 'yhat': array([3.35156164, 4.38806475, 1.09669018, ..., 2.9373442 , 4.51801037,
       4.25435853], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG+AVG-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5797589612033185), 'wmean': np.float64(0.5918196732657447)}, 'spearman': {'mean': np.float64(0.5855930812302919), 'wmean': np.float64(0.597398059928579)}}","{'pearson': {'mean': np.float64(0.5968888453227271), 'wmean': np.float64(0.6378552099278973)}, 'spearman': {'mean': np.float64(0.6025286047241027), 'wmean': np.float64(0.641123932808815)}}","{'pearson': {'mean': np.float64(0.6710606071745356), 'wmean': np.float64(0.6795064594157717)}, 'spearman': {'mean': np.float64(0.6529816363992249), 'wmean': np.float64(0.6628476044970354)}}","{'pearson': {'mean': np.float64(0.7308789760213911), 'wmean': np.float64(0.742617059268245)}, 'spearman': {'mean': np.float64(0.7295287335980928), 'wmean': np.float64(0.7416357182311516)}}","{'pearson': {'mean': np.float64(0.6718717086814865), 'wmean': np.float64(0.6753485451283137)}, 'spearman': {'mean': np.float64(0.6775643705904442), 'wmean': np.float64(0.6814402411525873)}}","{'devpearson': np.float64(0.7481969123154286), 'pearson': np.float64(0.7057972742839758), 'spearman': np.float64(0.7035907591278862), 'mse': 1.3239411189225285, 'yhat': array([1.06066642, 1.27519254, 2.66200124, ..., 2.96496214, 4.0042299 ,
       4.0080306 ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8132736219501626), 'pearson': np.float64(0.8293496213509637), 'spearman': np.float64(0.7544831651591958), 'mse': 0.3178766649525906, 'yhat': array([3.65738942, 4.36629199, 1.04672279, ..., 3.28501552, 4.32897032,
       4.49876991], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG+SUM-NS_LYR-1,"torch.Size([63, 1536])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5790330269024816), 'wmean': np.float64(0.5912858739563143)}, 'spearman': {'mean': np.float64(0.5845985436667462), 'wmean': np.float64(0.5966735810783632)}}","{'pearson': {'mean': np.float64(0.5986621743459114), 'wmean': np.float64(0.6390322966561961)}, 'spearman': {'mean': np.float64(0.603510956679918), 'wmean': np.float64(0.6420659844044679)}}","{'pearson': {'mean': np.float64(0.672526854337225), 'wmean': np.float64(0.6808950259157341)}, 'spearman': {'mean': np.float64(0.6539465696062213), 'wmean': np.float64(0.6639038458284839)}}","{'pearson': {'mean': np.float64(0.7315817127171756), 'wmean': np.float64(0.7431587271456812)}, 'spearman': {'mean': np.float64(0.7297571324904684), 'wmean': np.float64(0.7419636140618632)}}","{'pearson': {'mean': np.float64(0.6737775446594647), 'wmean': np.float64(0.6772279611191493)}, 'spearman': {'mean': np.float64(0.6799993887931872), 'wmean': np.float64(0.683840703997926)}}","{'devpearson': np.float64(0.6377534719541853), 'pearson': np.float64(0.57806778776373), 'spearman': np.float64(0.5897644490878988), 'mse': 1.599697826560175, 'yhat': array([1.00515913, 1.00000641, 1.69127338, ..., 4.        , 4.        ,
       4.        ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7623940883005962), 'pearson': np.float64(0.7635826712774343), 'spearman': np.float64(0.690101070179095), 'mse': 0.5202760514290048, 'yhat': array([3.4271501 , 4.61560717, 1.00960876, ..., 3.        , 4.99717671,
       5.        ], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
