model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
allmpnet,CLS_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(62.96), 'acc': np.float64(62.45), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(84.88), 'acc': np.float64(84.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(70.87), 'acc': 68.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.78), 'acc': 43.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.57), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(78.1), 'acc': np.float64(77.43), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.41), 'acc': np.float64(81.56), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.42), 'acc': np.float64(93.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.07), 'acc': np.float64(89.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.8), 'acc': 83.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.02), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.19), 'acc': 73.45, 'f1': 81.47, 'ndev': 4076, 'ntest': 1725}"
allmpnet,SUM_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.38), 'acc': np.float64(76.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.73), 'acc': np.float64(81.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.24), 'acc': np.float64(92.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.64), 'acc': np.float64(89.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.91), 'acc': 82.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.79), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.45), 'acc': 68.41, 'f1': 75.72, 'ndev': 4076, 'ntest': 1725}"
allmpnet,MAX_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(73.05), 'acc': np.float64(71.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.86), 'acc': np.float64(78.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.37), 'acc': np.float64(89.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.94), 'acc': np.float64(88.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.98), 'acc': 75.62, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.03), 'acc': 86.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.39), 'acc': 70.9, 'f1': 77.65, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG-NS_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(77.68), 'acc': np.float64(76.97), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.5), 'acc': np.float64(80.77), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.51), 'acc': np.float64(92.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.7), 'acc': np.float64(88.39), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.65), 'acc': 82.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(76.65), 'acc': 82.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.18), 'acc': 73.04, 'f1': 81.18, 'ndev': 4076, 'ntest': 1725}"
allmpnet,SUM-NS_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(76.96), 'acc': np.float64(76.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.46), 'acc': np.float64(79.0), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.24), 'acc': np.float64(91.83), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.31), 'acc': np.float64(87.75), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.96), 'acc': 81.33, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(76.23), 'acc': 79.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.02), 'acc': 64.58, 'f1': 71.96, 'ndev': 4076, 'ntest': 1725}"
allmpnet,MAX-NS_LYR-1,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(73.26), 'acc': np.float64(71.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(64.14), 'acc': np.float64(62.62), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.35), 'acc': np.float64(88.68), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.76), 'acc': np.float64(68.73), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(55.85), 'acc': 54.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.07), 'acc': 80.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.33), 'acc': 72.52, 'f1': 80.72, 'ndev': 4076, 'ntest': 1725}"
allmpnet,CLS_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(65.33), 'acc': np.float64(64.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(85.85), 'acc': np.float64(85.53), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(71.03), 'acc': np.float64(70.81), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(70.41), 'acc': 69.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.31), 'acc': 42.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.62), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
allmpnet,AVG_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.92), 'acc': np.float64(79.48), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.78), 'acc': np.float64(85.33), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.37), 'acc': np.float64(93.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.49), 'acc': np.float64(90.22), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.8), 'acc': 84.13, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.1), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.73), 'acc': 75.3, 'f1': 82.68, 'ndev': 4076, 'ntest': 1725}"
allmpnet,SUM_LYR-2,"torch.Size([61, 768])",NORMAL,4,0,12,"{'devacc': np.float64(79.39), 'acc': np.float64(78.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.05), 'acc': np.float64(83.84), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.08), 'acc': np.float64(93.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(90.06), 'acc': np.float64(89.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.0), 'acc': 83.96, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.45), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.21), 'acc': 71.48, 'f1': 79.47, 'ndev': 4076, 'ntest': 1725}"
