model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness
allmpnet,CLS_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.3166048641345533), 'wmean': np.float64(0.3010293756776458)}, 'spearman': {'mean': np.float64(0.39119308494844496), 'wmean': np.float64(0.3719923838522529)}}","{'pearson': {'mean': np.float64(0.17231421130222777), 'wmean': np.float64(0.20544445801411276)}, 'spearman': {'mean': np.float64(0.18640159977150492), 'wmean': np.float64(0.22447939160249025)}}","{'pearson': {'mean': np.float64(0.24610050077654666), 'wmean': np.float64(0.2633539342085966)}, 'spearman': {'mean': np.float64(0.30498661749077427), 'wmean': np.float64(0.31045387783718165)}}","{'pearson': {'mean': np.float64(0.2148795065577239), 'wmean': np.float64(0.21927052756654514)}, 'spearman': {'mean': np.float64(0.3387657223412625), 'wmean': np.float64(0.35575336764301374)}}","{'pearson': {'mean': np.float64(0.30398231933766695), 'wmean': np.float64(0.31077362471621967)}, 'spearman': {'mean': np.float64(0.4604449666570195), 'wmean': np.float64(0.4710787252049194)}}","{'devpearson': np.float64(0.5784985303579376), 'pearson': np.float64(0.502261908251478), 'spearman': np.float64(0.5058061624268779), 'mse': 2.0461606406486252, 'yhat': array([2.5551115 , 2.35839548, 2.64418566, ..., 3.18233244, 3.24702314,
       3.62556295], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6303362677686059), 'pearson': np.float64(0.6360535308297426), 'spearman': np.float64(0.6072735803323315), 'mse': 0.6409975616837367, 'yhat': array([2.79918969, 3.57340888, 2.6706766 , ..., 2.55692198, 3.88826459,
       4.19679053], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5759131860218524), 'wmean': np.float64(0.5842462158733341)}, 'spearman': {'mean': np.float64(0.585222352142723), 'wmean': np.float64(0.5928731192899014)}}","{'pearson': {'mean': np.float64(0.5994820471302909), 'wmean': np.float64(0.6378489366636886)}, 'spearman': {'mean': np.float64(0.6074383931772719), 'wmean': np.float64(0.6420038379595316)}}","{'pearson': {'mean': np.float64(0.6749466174378201), 'wmean': np.float64(0.6858335044899646)}, 'spearman': {'mean': np.float64(0.6514274743857911), 'wmean': np.float64(0.6622389140025012)}}","{'pearson': {'mean': np.float64(0.7461719314394222), 'wmean': np.float64(0.751952070180103)}, 'spearman': {'mean': np.float64(0.7444083748637793), 'wmean': np.float64(0.7500788905846724)}}","{'pearson': {'mean': np.float64(0.7174266918804012), 'wmean': np.float64(0.7200082595025845)}, 'spearman': {'mean': np.float64(0.7229486523099308), 'wmean': np.float64(0.7253248595415546)}}","{'devpearson': np.float64(0.7745529875763455), 'pearson': np.float64(0.7323821057195613), 'spearman': np.float64(0.7309754175388059), 'mse': 1.2806498756696756, 'yhat': array([1.46868699, 1.09931424, 1.51038417, ..., 3.54034444, 3.84782097,
       4.3400004 ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8256476629066374), 'pearson': np.float64(0.8467418997080041), 'spearman': np.float64(0.7772793949183714), 'mse': 0.288923551125245, 'yhat': array([3.47624979, 4.09554954, 1.11769909, ..., 3.08654048, 4.13092929,
       4.51444417], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,SUM_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.57591319376567), 'wmean': np.float64(0.5842462163041322)}, 'spearman': {'mean': np.float64(0.5853401859027789), 'wmean': np.float64(0.5929472441241677)}}","{'pearson': {'mean': np.float64(0.5994820340983625), 'wmean': np.float64(0.6378489284950782)}, 'spearman': {'mean': np.float64(0.6074383915247185), 'wmean': np.float64(0.6420038354807016)}}","{'pearson': {'mean': np.float64(0.6749466107100436), 'wmean': np.float64(0.6858334976877857)}, 'spearman': {'mean': np.float64(0.6514274743857911), 'wmean': np.float64(0.6622389140025012)}}","{'pearson': {'mean': np.float64(0.7461719333534831), 'wmean': np.float64(0.7519520699366736)}, 'spearman': {'mean': np.float64(0.7444083595969863), 'wmean': np.float64(0.7500788715011811)}}","{'pearson': {'mean': np.float64(0.7174266947389986), 'wmean': np.float64(0.7200082599074826)}, 'spearman': {'mean': np.float64(0.7229486236722498), 'wmean': np.float64(0.7253248294792334)}}","{'devpearson': np.float64(0.5676685448838986), 'pearson': np.float64(0.5410008998027922), 'spearman': np.float64(0.5493380070683489), 'mse': 1.718133517120467, 'yhat': array([1.35742985, 1.00607799, 1.43471395, ..., 3.        , 3.        ,
       3.00000006], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7466030578259908), 'pearson': np.float64(0.7723616410114391), 'spearman': np.float64(0.6759104021321822), 'mse': 0.42431970098101823, 'yhat': array([3.12263232, 4.04433374, 1.07142528, ..., 3.        , 4.01055392,
       3.00000916], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,MAX_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5751552152363537), 'wmean': np.float64(0.5839982947684986)}, 'spearman': {'mean': np.float64(0.5841543525359084), 'wmean': np.float64(0.5976733968677618)}}","{'pearson': {'mean': np.float64(0.5049152382248993), 'wmean': np.float64(0.6116844821561399)}, 'spearman': {'mean': np.float64(0.5048157459549772), 'wmean': np.float64(0.6112841897991964)}}","{'pearson': {'mean': np.float64(0.6552010064540142), 'wmean': np.float64(0.6641914456517697)}, 'spearman': {'mean': np.float64(0.6521425849731899), 'wmean': np.float64(0.6633241203243493)}}","{'pearson': {'mean': np.float64(0.6628953367161076), 'wmean': np.float64(0.6938951160221166)}, 'spearman': {'mean': np.float64(0.6768788597647871), 'wmean': np.float64(0.7071573759975777)}}","{'pearson': {'mean': np.float64(0.6504279258027701), 'wmean': np.float64(0.6508586032795463)}, 'spearman': {'mean': np.float64(0.6780907473467253), 'wmean': np.float64(0.679510578355967)}}","{'devpearson': np.float64(0.7303167172386168), 'pearson': np.float64(0.6951981423158679), 'spearman': np.float64(0.7033790790339476), 'mse': 1.2336908049606143, 'yhat': array([1.22103797, 1.41840113, 1.35602098, ..., 3.22634798, 3.91872662,
       3.45831513], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8416070995529996), 'pearson': np.float64(0.8297284652662837), 'spearman': np.float64(0.7676246577928366), 'mse': 0.318140103417757, 'yhat': array([3.42985659, 4.04485295, 1.03721483, ..., 3.06407452, 4.61853076,
       4.69709256], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG-NS_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5945071504884185), 'wmean': np.float64(0.6071189587355)}, 'spearman': {'mean': np.float64(0.5988339108216542), 'wmean': np.float64(0.6095667810268933)}}","{'pearson': {'mean': np.float64(0.6503595886307707), 'wmean': np.float64(0.6928236687938212)}, 'spearman': {'mean': np.float64(0.6566690855228354), 'wmean': np.float64(0.6925661607093684)}}","{'pearson': {'mean': np.float64(0.707552896620228), 'wmean': np.float64(0.7225962931894566)}, 'spearman': {'mean': np.float64(0.6704147228606584), 'wmean': np.float64(0.6856409028541037)}}","{'pearson': {'mean': np.float64(0.7605511271848728), 'wmean': np.float64(0.764948753299871)}, 'spearman': {'mean': np.float64(0.7645868740348261), 'wmean': np.float64(0.7676734452069999)}}","{'pearson': {'mean': np.float64(0.7213155506249108), 'wmean': np.float64(0.7201867055211969)}, 'spearman': {'mean': np.float64(0.72589291959778), 'wmean': np.float64(0.7245781146242904)}}","{'devpearson': np.float64(0.7819459045993074), 'pearson': np.float64(0.7340776089685133), 'spearman': np.float64(0.7315925179584609), 'mse': 1.1767886144292445, 'yhat': array([1.28589497, 1.12533298, 1.47881938, ..., 3.39244406, 3.7413769 ,
       4.15463272], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.804263386604342), 'pearson': np.float64(0.8172646397491422), 'spearman': np.float64(0.7120099362014627), 'mse': 0.3402899928380137, 'yhat': array([3.83668392, 3.89845844, 1.24586352, ..., 3.24095819, 3.92348584,
       4.33613881], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,SUM-NS_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.594507139507426), 'wmean': np.float64(0.6071189510222296)}, 'spearman': {'mean': np.float64(0.5987686793689959), 'wmean': np.float64(0.6095196022730569)}}","{'pearson': {'mean': np.float64(0.6503595801671521), 'wmean': np.float64(0.6928236719419024)}, 'spearman': {'mean': np.float64(0.6566690855228354), 'wmean': np.float64(0.6925661607093684)}}","{'pearson': {'mean': np.float64(0.7075528912919085), 'wmean': np.float64(0.7225962876424527)}, 'spearman': {'mean': np.float64(0.6704147228606584), 'wmean': np.float64(0.6856409028541037)}}","{'pearson': {'mean': np.float64(0.7605511155798061), 'wmean': np.float64(0.7649487419194461)}, 'spearman': {'mean': np.float64(0.7645864534742728), 'wmean': np.float64(0.7676729195063081)}}","{'pearson': {'mean': np.float64(0.7213155481327174), 'wmean': np.float64(0.7201867022579699)}, 'spearman': {'mean': np.float64(0.72589291959778), 'wmean': np.float64(0.7245781146242904)}}","{'devpearson': np.float64(0.6701315690918748), 'pearson': np.float64(0.6344562759486871), 'spearman': np.float64(0.6331192908915175), 'mse': 1.3936859591667985, 'yhat': array([1.04163085, 1.10058765, 1.78847245, ..., 4.        , 3.98399251,
       4.        ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7727239775442684), 'pearson': np.float64(0.7649491410940483), 'spearman': np.float64(0.6452673503693072), 'mse': 0.4418880786664748, 'yhat': array([3.74317954, 4.05313556, 1.03525273, ..., 3.        , 3.69716057,
       4.99999884], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,MAX-NS_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5454367759551167), 'wmean': np.float64(0.5486015298251374)}, 'spearman': {'mean': np.float64(0.552232884160984), 'wmean': np.float64(0.5624232541840858)}}","{'pearson': {'mean': np.float64(0.42115384628201974), 'wmean': np.float64(0.5451844264923974)}, 'spearman': {'mean': np.float64(0.43619379858523893), 'wmean': np.float64(0.5670608257031622)}}","{'pearson': {'mean': np.float64(0.6094904423525839), 'wmean': np.float64(0.6202027556782035)}, 'spearman': {'mean': np.float64(0.6141491481315866), 'wmean': np.float64(0.6271356105371029)}}","{'pearson': {'mean': np.float64(0.6024307727390495), 'wmean': np.float64(0.6279875644632992)}, 'spearman': {'mean': np.float64(0.6481350321786504), 'wmean': np.float64(0.6751248262174571)}}","{'pearson': {'mean': np.float64(0.5440457052667756), 'wmean': np.float64(0.5419018147278583)}, 'spearman': {'mean': np.float64(0.619267060623597), 'wmean': np.float64(0.6197961441875098)}}","{'devpearson': np.float64(0.7220733096971897), 'pearson': np.float64(0.642429591665399), 'spearman': np.float64(0.6405099052655271), 'mse': 1.3760122971424122, 'yhat': array([1.3172868 , 1.33546688, 1.51468376, ..., 3.01350165, 4.18430818,
       3.39903389], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7811637311962556), 'pearson': np.float64(0.7866195244979609), 'spearman': np.float64(0.6959444662361757), 'mse': 0.39761248882028144, 'yhat': array([3.66313909, 3.98745699, 1.03027665, ..., 3.14779511, 4.76545525,
       4.76086341], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,CLS_SUM-2-3,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.3696882819192907), 'wmean': np.float64(0.35186891111058605)}, 'spearman': {'mean': np.float64(0.4637422057206425), 'wmean': np.float64(0.45028677278862955)}}","{'pearson': {'mean': np.float64(0.286347817334069), 'wmean': np.float64(0.3430447085911388)}, 'spearman': {'mean': np.float64(0.3099225344678434), 'wmean': np.float64(0.36812956203666947)}}","{'pearson': {'mean': np.float64(0.3497648422244078), 'wmean': np.float64(0.38348586590104955)}, 'spearman': {'mean': np.float64(0.44396631188719676), 'wmean': np.float64(0.4496738472043643)}}","{'pearson': {'mean': np.float64(0.29876069692624174), 'wmean': np.float64(0.3127989627906544)}, 'spearman': {'mean': np.float64(0.420677907683522), 'wmean': np.float64(0.43756253544422113)}}","{'pearson': {'mean': np.float64(0.39473364827042284), 'wmean': np.float64(0.3983965257485095)}, 'spearman': {'mean': np.float64(0.5564430974769683), 'wmean': np.float64(0.5625586678967702)}}","{'devpearson': np.float64(0.6583508669796925), 'pearson': np.float64(0.6061122872563425), 'spearman': np.float64(0.610859699824142), 'mse': 1.7314018018224382, 'yhat': array([1.22340812, 2.10351663, 1.84514831, ..., 3.09376346, 3.2014402 ,
       3.95987367], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7535177263026613), 'pearson': np.float64(0.7609027241193538), 'spearman': np.float64(0.7050479412853076), 'mse': 0.43248714322898785, 'yhat': array([2.56990428, 3.54334221, 2.51558715, ..., 3.15904743, 4.35766513,
       4.41946378], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,AVG_SUM-2-3,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.56340982759652), 'wmean': np.float64(0.5642406375226272)}, 'spearman': {'mean': np.float64(0.5697197182365823), 'wmean': np.float64(0.5704635472454808)}}","{'pearson': {'mean': np.float64(0.5934098357020297), 'wmean': np.float64(0.6271014955871648)}, 'spearman': {'mean': np.float64(0.6044048102465939), 'wmean': np.float64(0.6328457382514345)}}","{'pearson': {'mean': np.float64(0.6602256950041384), 'wmean': np.float64(0.670845749364967)}, 'spearman': {'mean': np.float64(0.6380637112333319), 'wmean': np.float64(0.6475181705314998)}}","{'pearson': {'mean': np.float64(0.7359300089318034), 'wmean': np.float64(0.7396534355216666)}, 'spearman': {'mean': np.float64(0.7355827213387094), 'wmean': np.float64(0.7392687978081103)}}","{'pearson': {'mean': np.float64(0.7056386610227142), 'wmean': np.float64(0.7096223654341625)}, 'spearman': {'mean': np.float64(0.7128296696782996), 'wmean': np.float64(0.7168300862435679)}}","{'devpearson': np.float64(0.7838553468095939), 'pearson': np.float64(0.7433939673648053), 'spearman': np.float64(0.7430503216369277), 'mse': 1.2540845447182853, 'yhat': array([1.74344003, 1.08139693, 1.97620449, ..., 3.4103009 , 3.85341855,
       4.28375218], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.831843653182895), 'pearson': np.float64(0.8501952629563532), 'spearman': np.float64(0.7826444538447375), 'mse': 0.28383904250222425, 'yhat': array([3.44980629, 4.13342249, 1.12097507, ..., 3.26113688, 4.40527709,
       4.59405234], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
allmpnet,SUM_SUM-2-3,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5634098029862659), 'wmean': np.float64(0.5642406147542416)}, 'spearman': {'mean': np.float64(0.5696097397035217), 'wmean': np.float64(0.5703863373111745)}}","{'pearson': {'mean': np.float64(0.5934098200991696), 'wmean': np.float64(0.6271014842560659)}, 'spearman': {'mean': np.float64(0.6044048086243923), 'wmean': np.float64(0.6328457358181323)}}","{'pearson': {'mean': np.float64(0.6602256938079197), 'wmean': np.float64(0.6708457506342357)}, 'spearman': {'mean': np.float64(0.6380637112333319), 'wmean': np.float64(0.6475181705314998)}}","{'pearson': {'mean': np.float64(0.7359300071243484), 'wmean': np.float64(0.7396534325430554)}, 'spearman': {'mean': np.float64(0.7355827213387094), 'wmean': np.float64(0.7392687978081103)}}","{'pearson': {'mean': np.float64(0.7056386245421976), 'wmean': np.float64(0.7096223300920196)}, 'spearman': {'mean': np.float64(0.7128297825829988), 'wmean': np.float64(0.7168302047649426)}}","{'devpearson': np.float64(0.04070274425814502), 'pearson': np.float64(-0.04270210049880154), 'spearman': np.float64(-0.07852187122865269), 'mse': 4.263411781736211, 'yhat': array([4., 4., 4., ..., 4., 4., 4.], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7019248857671692), 'pearson': np.float64(0.7045419031468921), 'spearman': np.float64(0.5434807542561374), 'mse': 0.557044211017034, 'yhat': array([3.00958617, 3.99773361, 1.00002053, ..., 3.00000482, 4.        ,
       3.00000146], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
