,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,allmpnet,CLS_LYR-1,simple,CLS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,38.598718888631986,21.57781720449697,29.011939993486642,39.88690460277889,39.55486875919606,40.793800384690925,58.767526893342946,38.313082389517774
1,allmpnet,AVG_LYR-1,simple,AVG,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.31380107640747,60.23554170424493,65.53323593146419,74.58337370467957,72.49124749075463,73.19630205679498,76.5215465589406,68.83929264618378
2,allmpnet,SUM_LYR-1,simple,SUM,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.32739866281367,60.23554170424493,65.53323593146419,74.58337666842361,72.49125037269775,63.33027348720448,73.34988030423186,66.97870816158293
3,allmpnet,MAX_LYR-1,simple,MAX,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.4293256179102,50.58511552070078,64.9367279385905,67.32736765494487,67.84149033687532,71.52034109305772,76.19525516790827,65.26223190428395
4,allmpnet,AVG-NS_LYR-1,simple-ns,AVG-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.00397357327809,63.78140336265984,67.08908042732342,76.39266385028107,72.14531754253584,73.9296210091126,70.04124617615992,69.05475799162153
5,allmpnet,SUM-NS_LYR-1,simple-ns,SUM-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.00255762804223,63.781403192596066,67.08908042732342,76.39266311629375,72.14531754253584,66.40805976859015,66.59891233281206,67.48828485831336
6,allmpnet,MAX-NS_LYR-1,simple-ns,MAX-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.79042568279824,45.09335012774291,61.75731968734749,65.77411504974103,61.26366233694105,66.55912054156808,68.59496222412396,60.690422235751825
7,allmpnet,CLS_LYR-2,simple,CLS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,38.38522284150429,17.07817838756127,33.21105520842578,34.369805115480894,49.93047292345506,50.36741064994974,59.12086981730251,40.3518592776685
8,allmpnet,AVG_LYR-2,simple,AVG,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,56.16866648801736,59.3839742442532,63.638777042166375,73.19354921858212,70.5017289936672,73.71507603504409,77.66842506234025,67.75288529772438
9,allmpnet,SUM_LYR-2,simple,SUM,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,56.168396218675596,59.3839742442532,63.63872171449341,73.19354931821637,70.50174020597669,60.71295651970776,73.52669653934636,65.3037192515242
10,allmpnet,MAX_LYR-2,simple,MAX,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,56.180265680578245,48.09955160839741,63.74743411243662,66.16950971203582,64.4418148766295,71.39692307077063,76.94250412074032,63.854000454512644
11,allmpnet,AVG-NS_LYR-2,simple-ns,AVG-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.90316692053421,65.48200765511325,66.1062040312285,75.81316024724762,72.12748691606461,74.91813803372574,71.58373002033737,69.27627054632163
12,allmpnet,SUM-NS_LYR-2,simple-ns,SUM-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.91328787729362,65.48200748725773,66.10611773528832,75.81316106921199,72.12748691606461,64.68493526421219,68.44452952317864,67.36736083892959
13,allmpnet,MAX-NS_LYR-2,simple-ns,MAX-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,52.89446784816406,39.8772098440842,59.07511783018046,61.243988443946115,61.2119325139649,67.0533456094289,69.65155240881387,58.7153734997975
14,allmpnet,CLS_LYR-3,simple,CLS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,46.38594883447807,29.227047569955904,45.388733809116474,43.13436949797647,55.92676408895632,61.18555036146388,70.73033872655996,50.28267898407244
15,allmpnet,AVG_LYR-3,simple,AVG,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,56.3857780064063,60.08038210774814,62.983185605243484,73.27570166222645,70.43049165549665,76.22947894527974,77.92915851909558,68.18773950021377
16,allmpnet,SUM_LYR-3,simple,SUM,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,56.391062831402095,60.08038194820769,62.983185605243484,73.27569998652876,70.43049165549665,61.30854849560684,74.29759927966619,65.53813854316454
17,allmpnet,MAX_LYR-3,simple,MAX,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.624908417724605,48.25358485670637,64.30388131024797,66.85467467131748,67.13169480606933,72.34403999484469,76.94119196974634,64.77913943237954
18,allmpnet,AVG-NS_LYR-3,simple-ns,AVG-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.44415004708061,67.05488283279232,65.541445155547,75.67883249330481,72.23010316094845,75.91042626320346,73.7954777129844,69.95075966655158
19,allmpnet,SUM-NS_LYR-3,simple-ns,SUM-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.44418353977534,67.05471697602637,65.54156740253866,75.67883269676385,72.23010316094845,67.95639145873554,71.864773978153,68.53865274470589
20,allmpnet,MAX-NS_LYR-3,simple-ns,MAX-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.8340144178855,42.84670653695802,60.72159855715659,64.24883706949404,62.69862965163865,68.56409925778304,71.93035400220984,60.83489135616081
21,allmpnet,CLS_LYR-4,simple,CLS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,42.458530954572495,23.160676738093887,37.040178095348416,38.38031517284898,58.73811627017362,59.651582602621,72.81167886413776,47.4630112425423
22,allmpnet,AVG_LYR-4,simple,AVG,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.56398538466421,61.29815513147491,63.293685765286334,74.12510756428642,71.42816517856888,77.0375121021673,78.77395796764291,69.2172241562987
23,allmpnet,SUM_LYR-4,simple,SUM,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.57154830235732,61.29813243091357,63.29406096403757,74.12510697772362,71.42816517856888,63.59583988873992,71.7925291397496,66.30076898315579
24,allmpnet,MAX_LYR-4,simple,MAX,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.30207334158323,51.77518197044333,65.91884776636043,69.31896079932072,70.98140826534852,72.44315031908162,78.6059731622763,67.04937080348773
25,allmpnet,AVG-NS_LYR-4,simple-ns,AVG-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.52345317297705,67.034499351964,65.19189983846539,75.88354882953179,73.38084216008514,76.32761960966175,75.60670233074576,70.5640807562044
26,allmpnet,SUM-NS_LYR-4,simple-ns,SUM-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.52342816676365,67.034499351964,65.19189983846539,75.8835487291644,73.38084216008514,66.75188149881056,73.57020730227745,68.9051867210758
27,allmpnet,MAX-NS_LYR-4,simple-ns,MAX-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.72499986288312,39.12418295693483,58.76723084506751,60.17364470576412,63.97555213757945,69.65720187472965,74.08501575582955,60.07254687696974
28,allmpnet,CLS_LYR-5,simple,CLS,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,24.139338911299816,20.330122608885006,25.45593782914158,31.83630516059037,46.77887261550927,44.9883814658288,67.84591535093048,37.339267706026476
29,allmpnet,AVG_LYR-5,simple,AVG,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.33757160445644,60.68362100516696,63.178266596967156,74.44571524976695,72.84450187853612,78.32146911387764,79.1079417417982,69.70272674150992
30,allmpnet,SUM_LYR-5,simple,SUM,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.33575877304579,60.683621162940916,63.178266596967156,74.44572260379474,72.84449348759459,62.321116521175504,74.46436895138832,66.75333544241529
31,allmpnet,MAX_LYR-5,simple,MAX,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,61.04075859490674,52.44032189938209,66.12745585084745,70.27893316009961,72.80322803363326,73.5907754000896,78.55120892386245,67.83324026611731
32,allmpnet,AVG-NS_LYR-5,simple-ns,AVG-NS,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,61.463664051761455,66.95425012277481,65.32917966766907,76.12186895050023,73.93190098390417,76.2154712202315,77.08788052076274,71.01488793108628
33,allmpnet,SUM-NS_LYR-5,simple-ns,SUM-NS,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,61.46435322437254,66.95425012277481,65.32917966766907,76.12177559406528,73.93190098390417,65.51025755645526,74.33901576482548,69.09296184486666
