,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,allmpnet,CLS+AVG_LYR-1,two-tokens,CLS+AVG,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.78414727675199,53.51217782781765,62.81975226804918,67.48138001445687,64.34227303117531,73.31759076932944,83.52881085389919,66.11230457735424
1,allmpnet,CLS+SUM_LYR-1,two-tokens,CLS+SUM,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.28349466892433,57.46273457095884,66.53924569387868,74.08248881037223,71.46846980413795,62.852040046089144,81.7754715984146,67.35199217039654
2,allmpnet,CLS+MAX_LYR-1,two-tokens,CLS+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.62717880957995,51.050038918946846,66.38847919085748,68.94918593238359,68.63832238123184,72.65080226133362,83.21706750346715,67.07443928540008
3,allmpnet,CLS+AVG-NS_LYR-1,two-tokens,CLS+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.19099949932671,52.029582151509366,64.93081286489878,67.31344181597314,60.590445235455306,73.88096189638598,81.42692745236005,65.33759584512991
4,allmpnet,CLS+SUM-NS_LYR-1,two-tokens,CLS+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.56832737726986,61.11089122235135,69.07036246201231,75.63363560886484,72.30633640698473,67.29987850757358,78.89108558647571,68.98293102450462
5,allmpnet,CLS+MAX-NS_LYR-1,two-tokens,CLS+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,56.93972683041165,45.85980788741159,63.93335647548659,65.7041512494502,60.62371727960668,69.87855913905773,80.06378537956724,63.286157748713094
6,allmpnet,AVG+SUM_LYR-1,two-tokens,AVG+SUM,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.243768718121856,59.619060386594114,67.922906928737,74.9003884817776,71.99276826490903,62.50899855101436,81.81648492367465,68.14348232211837
7,allmpnet,AVG+MAX_LYR-1,two-tokens,AVG+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.61119570803722,51.400082558470395,65.15926531736194,66.31054567195378,64.99655965693307,72.81806417433735,84.85606206240244,66.16453930707088
8,allmpnet,AVG+AVG-NS_LYR-1,two-tokens,AVG+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.09370967491265,63.54727638234845,70.73775039084853,76.4229501625338,72.53835262847761,74.3846554662323,84.54761058717098,71.7531864703606
9,allmpnet,AVG+SUM-NS_LYR-1,two-tokens,AVG+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.70023648651088,63.51511392134089,70.69575769885458,76.19966024561376,71.86898599017879,66.09391293890631,82.05436973825644,70.01829100280881
