,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,allmpnet,CLS+AVG_LYR-1,two-tokens,CLS+AVG,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.09114859581573,54.462609343013746,62.77283364570035,68.51371132751524,66.85556796657362,72.67984513723539,76.7979665651764,65.88195465443293
1,allmpnet,CLS+SUM_LYR-1,two-tokens,CLS+SUM,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.66748612927021,58.02885975195792,64.58815486449288,73.6365769994963,71.97896314408953,62.86793174249715,73.98813978893452,66.25087320296265
2,allmpnet,CLS+MAX_LYR-1,two-tokens,CLS+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.887534512504814,50.956819190611824,65.83750150843095,69.28343699847154,69.57434969677674,72.75066947787985,76.94174896748603,66.46172290745167
3,allmpnet,CLS+AVG-NS_LYR-1,two-tokens,CLS+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.158608766771714,52.78898493415171,63.67708125965802,70.42238695122307,65.81746680094412,73.59104891151573,71.23560503265209,64.95588323670235
4,allmpnet,CLS+SUM-NS_LYR-1,two-tokens,CLS+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.32318802938343,61.54227716999047,66.15729610191956,75.70201456681357,72.50443763561995,67.61524620046058,66.91195894078619,67.10805980642482
5,allmpnet,CLS+MAX-NS_LYR-1,two-tokens,CLS+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.62308918569826,47.28615432253516,63.556345771559194,68.8827477552332,64.59294777849821,69.74532363689688,70.74828862269325,63.204985296159165
6,allmpnet,AVG+SUM_LYR-1,two-tokens,AVG+SUM,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.34175396590239,60.15437709754895,65.52233716108185,74.57366709305569,72.48521652418644,62.587265037555476,73.87816695668475,66.93468340514508
7,allmpnet,AVG+MAX_LYR-1,two-tokens,AVG+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.623599457810435,51.3731907031564,64.7796082626518,67.61396460448613,67.7882854390133,72.77423750390743,78.19244303172262,65.87790414324974
8,allmpnet,AVG+AVG-NS_LYR-1,two-tokens,AVG+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.517891505777165,64.02663684990159,67.33324623595604,76.51094574568062,72.77467363048274,74.2428101468216,77.34290097619983,70.39272929868851
9,allmpnet,AVG+SUM-NS_LYR-1,two-tokens,AVG+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.05399263935001,63.63882270551257,67.06535047557823,76.42546961372425,72.2974311033376,66.453874535967,72.91991405738403,68.40783644726481
