model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness
deberta-base,CLS_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.06881288530801806), 'wmean': np.float64(0.06591203999061056)}, 'spearman': {'mean': np.float64(0.14873197895313034), 'wmean': np.float64(0.1300559167965061)}}","{'pearson': {'mean': np.float64(-0.026507262377811383), 'wmean': np.float64(-0.06515335389425643)}, 'spearman': {'mean': np.float64(0.06756320229606931), 'wmean': np.float64(0.07453334526038155)}}","{'pearson': {'mean': np.float64(-0.011525116266450306), 'wmean': np.float64(-0.018161452290594782)}, 'spearman': {'mean': np.float64(0.06457947571391436), 'wmean': np.float64(0.06298296969780391)}}","{'pearson': {'mean': np.float64(0.0865593178363507), 'wmean': np.float64(0.09919641532198134)}, 'spearman': {'mean': np.float64(0.17459940899559978), 'wmean': np.float64(0.20755992316479038)}}","{'pearson': {'mean': np.float64(0.08497915465639233), 'wmean': np.float64(0.09005635597949754)}, 'spearman': {'mean': np.float64(0.24476022381899892), 'wmean': np.float64(0.25427247165621364)}}","{'devpearson': np.float64(0.3312198949916379), 'pearson': np.float64(0.2952510721679843), 'spearman': np.float64(0.30314373340847084), 'mse': 2.341835410262953, 'yhat': array([3.2607125 , 2.4533596 , 2.99533217, ..., 3.23640584, 3.11684698,
       3.4277247 ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.5040633299352363), 'pearson': np.float64(0.4667557874420274), 'spearman': np.float64(0.46053521935481595), 'mse': 0.8098163889335982, 'yhat': array([3.23663483, 3.93806215, 2.85838918, ..., 3.35715897, 3.85365456,
       4.05352364], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5736702460445109), 'wmean': np.float64(0.5814776752294338)}, 'spearman': {'mean': np.float64(0.5774462471341643), 'wmean': np.float64(0.5867694152863178)}}","{'pearson': {'mean': np.float64(0.5786701806686216), 'wmean': np.float64(0.6258911038338404)}, 'spearman': {'mean': np.float64(0.5862495332996428), 'wmean': np.float64(0.6304447148557394)}}","{'pearson': {'mean': np.float64(0.6527782861577891), 'wmean': np.float64(0.661132385418532)}, 'spearman': {'mean': np.float64(0.6384454815169612), 'wmean': np.float64(0.6474123454914241)}}","{'pearson': {'mean': np.float64(0.7121546414302233), 'wmean': np.float64(0.726005080763788)}, 'spearman': {'mean': np.float64(0.7156436675258268), 'wmean': np.float64(0.7287906345681877)}}","{'pearson': {'mean': np.float64(0.6450956781591056), 'wmean': np.float64(0.6489015779402278)}, 'spearman': {'mean': np.float64(0.6571434326114654), 'wmean': np.float64(0.6614818486291273)}}","{'devpearson': np.float64(0.7354611877174063), 'pearson': np.float64(0.7068489349378084), 'spearman': np.float64(0.7034205566781727), 'mse': 1.3065501374759712, 'yhat': array([1.27246338, 1.05105403, 2.33198046, ..., 3.25361883, 3.81191164,
       4.23138692], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8089591429805387), 'pearson': np.float64(0.8358941577543404), 'spearman': np.float64(0.7617274138549764), 'mse': 0.3069596081324821, 'yhat': array([3.77582424, 4.41180578, 1.036369  , ..., 3.30896372, 4.38000157,
       4.39435225], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,SUM_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.573670262245918), 'wmean': np.float64(0.5814776913651162)}, 'spearman': {'mean': np.float64(0.5774395178800702), 'wmean': np.float64(0.5867692998913859)}}","{'pearson': {'mean': np.float64(0.5786701896651965), 'wmean': np.float64(0.6258911174783925)}, 'spearman': {'mean': np.float64(0.5862495332996428), 'wmean': np.float64(0.6304447148557394)}}","{'pearson': {'mean': np.float64(0.6527782951086267), 'wmean': np.float64(0.6611323925279241)}, 'spearman': {'mean': np.float64(0.6384454815169612), 'wmean': np.float64(0.6474123454914241)}}","{'pearson': {'mean': np.float64(0.7121546183177853), 'wmean': np.float64(0.726005063022377)}, 'spearman': {'mean': np.float64(0.7156448999736338), 'wmean': np.float64(0.7287913894545593)}}","{'pearson': {'mean': np.float64(0.6450956898849454), 'wmean': np.float64(0.6489015917698436)}, 'spearman': {'mean': np.float64(0.6571435171121403), 'wmean': np.float64(0.6614819373334613)}}","{'devpearson': np.float64(0.050790943272757356), 'pearson': np.float64(-0.018001482068322135), 'spearman': np.float64(0.009492802571703146), 'mse': 4.910911418408377, 'yhat': array([1.00000085, 1.        , 1.        , ..., 1.        , 1.        ,
       1.        ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6884628324748585), 'pearson': np.float64(0.6739782246975503), 'spearman': np.float64(0.6202107424661466), 'mse': 0.8472042118739328, 'yhat': array([3.        , 4.99999939, 1.        , ..., 3.        , 5.        ,
       5.        ], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,MAX_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5637447675977694), 'wmean': np.float64(0.570131621007463)}, 'spearman': {'mean': np.float64(0.5748731071682018), 'wmean': np.float64(0.5847918300342869)}}","{'pearson': {'mean': np.float64(0.47173327980329116), 'wmean': np.float64(0.5720065596339408)}, 'spearman': {'mean': np.float64(0.4711775954755501), 'wmean': np.float64(0.570632181096982)}}","{'pearson': {'mean': np.float64(0.6353779196717129), 'wmean': np.float64(0.6424799284657747)}, 'spearman': {'mean': np.float64(0.626110135634731), 'wmean': np.float64(0.6364305169748548)}}","{'pearson': {'mean': np.float64(0.6470301861858516), 'wmean': np.float64(0.6783890120168984)}, 'spearman': {'mean': np.float64(0.6613340884161777), 'wmean': np.float64(0.6915913104446212)}}","{'pearson': {'mean': np.float64(0.5965247420620037), 'wmean': np.float64(0.5978887998935422)}, 'spearman': {'mean': np.float64(0.6262390368236463), 'wmean': np.float64(0.6281404592406755)}}","{'devpearson': np.float64(0.6738033408397266), 'pearson': np.float64(0.5991534145557047), 'spearman': np.float64(0.5900835309002239), 'mse': 1.5164918076966556, 'yhat': array([1.10570515, 1.32786775, 2.01289826, ..., 3.52469649, 3.9989618 ,
       4.98285483], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.797962448576439), 'pearson': np.float64(0.7986521797641236), 'spearman': np.float64(0.7297164526553733), 'mse': 0.40508548092009167, 'yhat': array([3.1447664 , 4.48161181, 1.00273868, ..., 2.94345417, 4.9825913 ,
       3.21762616], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG-NS_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5714633653463246), 'wmean': np.float64(0.5801936676869628)}, 'spearman': {'mean': np.float64(0.5743925982027804), 'wmean': np.float64(0.5847190777939479)}}","{'pearson': {'mean': np.float64(0.5846750174766161), 'wmean': np.float64(0.6283140848664497)}, 'spearman': {'mean': np.float64(0.5913213338312991), 'wmean': np.float64(0.6326129131375589)}}","{'pearson': {'mean': np.float64(0.6566214041007484), 'wmean': np.float64(0.6647544541774552)}, 'spearman': {'mean': np.float64(0.6416596919331584), 'wmean': np.float64(0.650879906999666)}}","{'pearson': {'mean': np.float64(0.7162435198814087), 'wmean': np.float64(0.7291862233089802)}, 'spearman': {'mean': np.float64(0.7194667512366955), 'wmean': np.float64(0.7319525090375252)}}","{'pearson': {'mean': np.float64(0.6529478440483252), 'wmean': np.float64(0.657091319434673)}, 'spearman': {'mean': np.float64(0.6667065335198898), 'wmean': np.float64(0.67125947439858)}}","{'devpearson': np.float64(0.7220218734202382), 'pearson': np.float64(0.6912952889396657), 'spearman': np.float64(0.6893302032164125), 'mse': 1.3329412565361576, 'yhat': array([1.33576346, 1.03088906, 2.61571469, ..., 3.01613118, 3.83868231,
       4.1311633 ], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8056546109155487), 'pearson': np.float64(0.8322640889749828), 'spearman': np.float64(0.7582651085876273), 'mse': 0.31298943720560324, 'yhat': array([3.72367521, 4.35526548, 1.00963477, ..., 3.34480735, 4.39564283,
       4.30025341], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,SUM-NS_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.571463383031351), 'wmean': np.float64(0.5801936881304198)}, 'spearman': {'mean': np.float64(0.5744375272188953), 'wmean': np.float64(0.5847488308959159)}}","{'pearson': {'mean': np.float64(0.5846750137799681), 'wmean': np.float64(0.6283140823658762)}, 'spearman': {'mean': np.float64(0.5913192717536299), 'wmean': np.float64(0.632610599486414)}}","{'pearson': {'mean': np.float64(0.6566214145901864), 'wmean': np.float64(0.6647544641723085)}, 'spearman': {'mean': np.float64(0.6416596582985303), 'wmean': np.float64(0.6508798666381125)}}","{'pearson': {'mean': np.float64(0.7162435259050266), 'wmean': np.float64(0.7291862264594835)}, 'spearman': {'mean': np.float64(0.7194663701003243), 'wmean': np.float64(0.7319522611765921)}}","{'pearson': {'mean': np.float64(0.6529478176533684), 'wmean': np.float64(0.6570912961938058)}, 'spearman': {'mean': np.float64(0.6667036544019905), 'wmean': np.float64(0.6712563913633928)}}","{'devpearson': 0, 'pearson': 0, 'spearman': 0, 'mse': 4.910911419144307, 'yhat': array([1., 1., 1., ..., 1., 1., 1.], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6006464088900956), 'pearson': np.float64(0.6065627558576215), 'spearman': np.float64(0.46483018383488506), 'mse': 1.1807670130057, 'yhat': array([3., 3., 2., ..., 3., 3., 3.], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,MAX-NS_SUM-1-2,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5310351562456334), 'wmean': np.float64(0.5350392178981231)}, 'spearman': {'mean': np.float64(0.5660745170766301), 'wmean': np.float64(0.5770376158897097)}}","{'pearson': {'mean': np.float64(0.4644040218257062), 'wmean': np.float64(0.5617680071024055)}, 'spearman': {'mean': np.float64(0.46662879376058036), 'wmean': np.float64(0.563758023013362)}}","{'pearson': {'mean': np.float64(0.6280363205710405), 'wmean': np.float64(0.6343471957682572)}, 'spearman': {'mean': np.float64(0.621634310626782), 'wmean': np.float64(0.6318117695481135)}}","{'pearson': {'mean': np.float64(0.643739510969265), 'wmean': np.float64(0.6735089183655596)}, 'spearman': {'mean': np.float64(0.6598147952304474), 'wmean': np.float64(0.6887756065668674)}}","{'pearson': {'mean': np.float64(0.5858177564577065), 'wmean': np.float64(0.5872247664913494)}, 'spearman': {'mean': np.float64(0.6328908469379615), 'wmean': np.float64(0.6350288686013549)}}","{'devpearson': np.float64(0.6737796782539606), 'pearson': np.float64(0.5913268399723477), 'spearman': np.float64(0.5811002954961232), 'mse': 1.5348231128252803, 'yhat': array([1.02444614, 1.32972824, 1.94086029, ..., 3.19347359, 4.0004183 ,
       4.96738048], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7984222894059928), 'pearson': np.float64(0.7989410700575716), 'spearman': np.float64(0.7311768008753325), 'mse': 0.4029668246307581, 'yhat': array([3.13493473, 4.27159436, 1.00219723, ..., 2.95251774, 4.98803892,
       3.16846662], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,CLS_SUM-2-3,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.1089080912781529), 'wmean': np.float64(0.08736458477361532)}, 'spearman': {'mean': np.float64(0.22247445284381842), 'wmean': np.float64(0.18753124393346932)}}","{'pearson': {'mean': np.float64(0.007038224740286684), 'wmean': np.float64(-0.020369301124810477)}, 'spearman': {'mean': np.float64(0.04640315717561497), 'wmean': np.float64(0.03644730595702262)}}","{'pearson': {'mean': np.float64(0.02288621988625908), 'wmean': np.float64(0.006792903315095619)}, 'spearman': {'mean': np.float64(0.07446061780446799), 'wmean': np.float64(0.06560277378678159)}}","{'pearson': {'mean': np.float64(0.08036777277057737), 'wmean': np.float64(0.10279996482499754)}, 'spearman': {'mean': np.float64(0.14696373824567838), 'wmean': np.float64(0.17570292834999504)}}","{'pearson': {'mean': np.float64(0.057731893042699524), 'wmean': np.float64(0.06357301880479803)}, 'spearman': {'mean': np.float64(0.18640176722734364), 'wmean': np.float64(0.1956793383707328)}}","{'devpearson': np.float64(0.46173949423310445), 'pearson': np.float64(0.3177061140361081), 'spearman': np.float64(0.3123118272598257), 'mse': 2.2491074169551273, 'yhat': array([2.25769597, 2.57840068, 2.67030655, ..., 3.45316939, 3.20419584,
       3.67254364], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.5397810660943887), 'pearson': np.float64(0.5467676455292941), 'spearman': np.float64(0.5340907234870892), 'mse': 0.721404106915073, 'yhat': array([3.26586048, 3.89759586, 2.83056286, ..., 3.22781221, 4.21260983,
       4.2921426 ], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,AVG_SUM-2-3,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.5505184559489216), 'wmean': np.float64(0.5524269316973833)}, 'spearman': {'mean': np.float64(0.5531061170085808), 'wmean': np.float64(0.5578265129517597)}}","{'pearson': {'mean': np.float64(0.5534476544853405), 'wmean': np.float64(0.5995388775088842)}, 'spearman': {'mean': np.float64(0.5594612540270731), 'wmean': np.float64(0.6022780001735476)}}","{'pearson': {'mean': np.float64(0.6206983235790756), 'wmean': np.float64(0.6297428116108307)}, 'spearman': {'mean': np.float64(0.6105478529687973), 'wmean': np.float64(0.6187970908504257)}}","{'pearson': {'mean': np.float64(0.6897844766520398), 'wmean': np.float64(0.7024074671624644)}, 'spearman': {'mean': np.float64(0.6978752104699006), 'wmean': np.float64(0.7092329924528288)}}","{'pearson': {'mean': np.float64(0.6111622695386776), 'wmean': np.float64(0.6169824645914992)}, 'spearman': {'mean': np.float64(0.629934991717728), 'wmean': np.float64(0.6364386717632327)}}","{'devpearson': np.float64(0.7281515850288215), 'pearson': np.float64(0.6700740206687478), 'spearman': np.float64(0.6623875134655778), 'mse': 1.4165478920197478, 'yhat': array([1.4343401 , 1.24918001, 2.18620351, ..., 3.56547169, 3.30406469,
       4.46400288], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.8058497054643781), 'pearson': np.float64(0.8378511402948998), 'spearman': np.float64(0.7692471063452679), 'mse': 0.3045064039940493, 'yhat': array([3.6281021 , 4.2791088 , 1.01903354, ..., 3.25939794, 4.47120312,
       4.39312017], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
deberta-base,SUM_SUM-2-3,"torch.Size([63, 768])",NORMAL,4,0,12,"{'pearson': {'mean': np.float64(0.550518440690259), 'wmean': np.float64(0.5524269072664599)}, 'spearman': {'mean': np.float64(0.5532118717433351), 'wmean': np.float64(0.5578957130109174)}}","{'pearson': {'mean': np.float64(0.5534476550968596), 'wmean': np.float64(0.5995388826471527)}, 'spearman': {'mean': np.float64(0.559461255606653), 'wmean': np.float64(0.6022780025429175)}}","{'pearson': {'mean': np.float64(0.6206983104239999), 'wmean': np.float64(0.6297427925301757)}, 'spearman': {'mean': np.float64(0.6105495664695303), 'wmean': np.float64(0.6187983245709535)}}","{'pearson': {'mean': np.float64(0.6897844878768621), 'wmean': np.float64(0.7024074787610458)}, 'spearman': {'mean': np.float64(0.6978740675245915), 'wmean': np.float64(0.7092322774962222)}}","{'pearson': {'mean': np.float64(0.6111622692583538), 'wmean': np.float64(0.6169824651721207)}, 'spearman': {'mean': np.float64(0.629934984346446), 'wmean': np.float64(0.6364386647496919)}}","{'devpearson': 0, 'pearson': np.float64(-0.017798476861390723), 'spearman': np.float64(-0.020020356836474008), 'mse': 2.479244994198695, 'yhat': array([3., 3., 3., ..., 3., 3., 3.], shape=(1379,)), 'ndev': 1500, 'ntest': 1379}","{'devpearson': 0, 'pearson': np.float64(0.01969556942812401), 'spearman': np.float64(0.033851324514828904), 'mse': 1.298531170083215, 'yhat': array([3., 3., 3., ..., 3., 3., 3.], shape=(4927,)), 'ndev': 500, 'ntest': 4927}"
