,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,deberta-base,CLS_SUM-1-2,simple,CLS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,6.881288530801806,-2.6507262377811385,-1.1525116266450306,8.655931783635069,8.497915465639233,29.52510721679843,46.67557874420274,13.776083410950159
1,deberta-base,AVG_SUM-1-2,simple,AVG,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.36702460445109,57.867018066862165,65.27782861577892,71.21546414302233,64.50956781591056,70.68489349378085,83.58941577543403,67.21588750217714
2,deberta-base,SUM_SUM-1-2,simple,SUM,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.3670262245918,57.867018966519645,65.27782951086267,71.21546183177853,64.50956898849454,-1.8001482068322134,67.39782246975503,54.547797112167146
3,deberta-base,MAX_SUM-1-2,simple,MAX,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,56.37447675977694,47.17332798032912,63.53779196717129,64.70301861858516,59.65247420620037,59.91534145557047,79.86521797641237,61.60309270914939
4,deberta-base,AVG-NS_SUM-1-2,simple-ns,AVG-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.14633653463246,58.46750174766161,65.66214041007484,71.62435198814087,65.29478440483251,69.12952889396658,83.22640889749829,67.22157898240103
5,deberta-base,SUM-NS_SUM-1-2,simple-ns,SUM-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.1463383031351,58.46750137799681,65.66214145901864,71.62435259050267,65.29478176533684,0.0,60.65627558576215,54.121627297393175
6,deberta-base,MAX-NS_SUM-1-2,simple-ns,MAX-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,53.103515624563336,46.44040218257062,62.80363205710405,64.37395109692649,58.58177564577065,59.13268399723477,79.89410700575716,60.61858108713244
7,deberta-base,CLS_SUM-2-3,simple,CLS,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,10.89080912781529,0.7038224740286685,2.288621988625908,8.036777277057737,5.773189304269953,31.77061140361081,54.67676455292941,16.305799446905397
8,deberta-base,AVG_SUM-2-3,simple,AVG,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,55.05184559489216,55.34476544853405,62.069832357907565,68.97844766520397,61.11622695386776,67.00740206687477,83.78511402948999,64.76480487382432
9,deberta-base,SUM_SUM-2-3,simple,SUM,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,55.051844069025904,55.344765509685956,62.06983104239999,68.9784487876862,61.116226925835385,-1.7798476861390724,1.9695569428124011,43.25011794161525
