,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,deberta-base,CLS_LYR-1,simple,CLS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,14.090088017306632,6.877045347730913,6.006445737205525,16.936380787005383,23.781555978844615,24.073035925906932,41.0424494946221,18.972428755517445
1,deberta-base,AVG_LYR-1,simple,AVG,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.64330216108862,59.86320490440652,64.95414611012164,72.60911311054053,67.13360602486472,72.6699771617687,75.70632422629502,67.36852481415511
2,deberta-base,SUM_LYR-1,simple,SUM,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.62620329202495,59.863204736116806,64.95414611012164,72.6092023525603,67.13360602486472,64.15448945189877,49.33938849167641,62.38289149418051
3,deberta-base,MAX_LYR-1,simple,MAX,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.07095664021232,48.01931015188452,63.354028910824866,66.49116692480189,64.05519228751896,61.886133113523975,73.8850226287683,62.25168723679069
4,deberta-base,AVG-NS_LYR-1,simple-ns,AVG-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.4390680058428,60.42980907827494,65.42407427547884,72.99020811972903,68.02261657226516,72.22156365377008,75.53811534786412,67.58077929331786
5,deberta-base,SUM-NS_LYR-1,simple-ns,SUM-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.44021534829166,60.42980907827494,65.42407427547884,72.99016781082848,68.02261657226516,60.85327692412582,65.25284701945708,64.48757243267457
6,deberta-base,MAX-NS_LYR-1,simple-ns,MAX-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.466972555169114,47.631658408311914,63.16192434762272,66.60950604459893,65.057385458033,61.71801063345198,73.88672699692516,62.21888349201612
7,deberta-base,CLS_LYR-2,simple,CLS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,29.89082032756094,9.976354149683447,17.14168023112164,24.331547819212958,31.176180026270522,39.55156227182343,50.12081857043178,28.88413762801496
8,deberta-base,AVG_LYR-2,simple,AVG,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.530586567211905,55.504252583069245,61.4938435174359,69.51192949278715,63.24682436360855,69.1568103944976,76.20639707998122,64.37866342837023
9,deberta-base,SUM_LYR-2,simple,SUM,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.530653585450274,55.5042524226809,61.49418922069204,69.5119480952402,63.24682436360855,53.58768306079909,54.73462663240889,59.08716819726856
10,deberta-base,MAX_LYR-2,simple,MAX,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.98246483633687,44.09333131335805,59.4942233820832,63.91523318651582,58.05987657815264,63.82782646497176,75.276805010223,59.94996582452019
11,deberta-base,AVG-NS_LYR-2,simple-ns,AVG-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.10820593435006,55.93370824793139,61.77700565141059,69.99638657186551,64.21300121051993,68.80900350619059,76.10920988361676,64.56378871512642
12,deberta-base,SUM-NS_LYR-2,simple-ns,SUM-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.110803384875325,55.933708408519955,61.77700565141059,69.99623704563878,64.21300396814124,8.72129206889895,60.796370403372975,53.79263156155111
13,deberta-base,MAX-NS_LYR-2,simple-ns,MAX-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,53.815623737658335,43.72429484716218,58.82459963951907,63.61651622234707,58.43817153558164,63.47250236479708,75.21104153208834,59.586107125593394
14,deberta-base,CLS_LYR-3,simple,CLS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,20.843757221244612,4.033460205148839,6.239092858058429,13.925426311138894,18.22340946094488,29.124420418176722,50.64581059811414,20.433625296118073
15,deberta-base,AVG_LYR-3,simple,AVG,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.844915140776806,55.43423071622152,60.296791410546724,69.5907631127857,62.399282006791864,67.74271371250319,76.59339097020695,63.84315529569039
16,deberta-base,SUM_LYR-3,simple,SUM,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.8399372809925,55.43423071622152,60.296791410546724,69.59086953151957,62.399274091983216,42.08330821257253,49.14144463436762,56.25512226831482
17,deberta-base,MAX_LYR-3,simple,MAX,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,53.68803971467392,44.13687980777113,57.857626599495426,62.85161393423632,57.494708207825084,63.8718038495271,74.85664605352838,59.25104545243676
18,deberta-base,AVG-NS_LYR-3,simple-ns,AVG-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.57717370621597,56.048360898135485,60.65589903803416,69.95364743837624,63.10320401824221,67.42726867784667,76.47085129684321,64.03377215338485
19,deberta-base,SUM-NS_LYR-3,simple-ns,SUM-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.57558054167717,56.048360898135485,60.6559905588539,69.9537559670068,63.10319603212762,-0.8281506392408002,52.315407094051444,50.832020064658806
20,deberta-base,MAX-NS_LYR-3,simple-ns,MAX-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,52.58833730611475,43.24194169246391,57.01147043980136,62.056711254063224,57.1365836975651,63.543093281616756,74.78137298288051,58.622787236357944
21,deberta-base,CLS_LYR-4,simple,CLS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,18.995015487876067,4.450795698314773,8.416896433959831,18.49617847895135,23.691416992433417,17.677916596915992,37.833963306238026,18.508883284955637
22,deberta-base,AVG_LYR-4,simple,AVG,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.23198279630083,54.119895373060956,59.621796006530616,70.2277999350834,63.42418760748838,68.27763196672359,76.79165190435805,63.81356365564941
23,deberta-base,SUM_LYR-4,simple,SUM,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.23700120638303,54.11989522301356,59.621796006530616,70.22779826430244,63.42418760748838,35.942422120023956,54.07122920859457,55.94918994804807
24,deberta-base,MAX_LYR-4,simple,MAX,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,52.11771632142268,42.65009077277849,57.16117113959348,62.51982837858326,56.095496949021026,60.30137790036705,75.74376774332086,58.08420702929812
25,deberta-base,AVG-NS_LYR-4,simple-ns,AVG-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,53.77727832948486,54.8655934402549,59.97061840311814,70.62959374277666,63.938774208475145,68.14682569970826,76.67968737305272,64.00119588526724
26,deberta-base,SUM-NS_LYR-4,simple-ns,SUM-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,53.778309238142384,54.8654998068112,59.97061840311814,70.62959383621545,63.938771582169586,54.37093471800549,42.00554454543581,57.07989601855687
27,deberta-base,MAX-NS_LYR-4,simple-ns,MAX-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,51.21431904168621,42.02616998769663,56.23197233571437,61.60039663735463,55.605860935005666,59.94146916226211,75.68849130410761,57.472668486261036
28,deberta-base,CLS_LYR-5,simple,CLS,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,23.454694700601063,10.46975677755108,15.944242911465755,20.171031776321048,29.90791825525857,21.632979786689752,44.46797269298526,23.721228128696076
29,deberta-base,AVG_LYR-5,simple,AVG,LYR-5,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.24593701502949,54.452885723903,58.86010527110044,70.35220720462645,63.976723181091245,68.61869338520285,76.65669920519662,63.88046442659287
