,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,deberta-base,CLS+AVG_LYR-1,two-tokens,CLS+AVG,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,56.80357975817154,55.12077468513109,63.925203366193905,69.8603785399426,63.49498165046407,73.4565778648044,83.0697806027961,66.53303949535767
1,deberta-base,CLS+SUM_LYR-1,two-tokens,CLS+SUM,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.89222681735817,59.08690980875052,66.59400512496818,72.85936396474311,66.77568237328255,57.84103135008739,76.82274486055117,65.41028061424873
2,deberta-base,CLS+MAX_LYR-1,two-tokens,CLS+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.543366403613796,48.490310467205774,64.44976629505027,65.57222285324119,62.0193002062732,64.38891915108142,80.63404288616844,63.29970403751916
3,deberta-base,CLS+AVG-NS_LYR-1,two-tokens,CLS+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.81758793840118,55.174983189926564,64.0961319317696,68.7322795165526,62.09293874256796,72.56540007494986,83.14863481955528,65.94685088767473
4,deberta-base,CLS+SUM-NS_LYR-1,two-tokens,CLS+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.88698111183474,59.82468398261158,67.21857288994751,73.21798255768857,67.49675210262276,53.11041495999027,75.97068039668903,64.96086685734063
5,deberta-base,CLS+MAX-NS_LYR-1,two-tokens,CLS+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.63401569520927,47.99346241353004,64.05112337202074,65.55089576149153,61.67926385464566,64.43575773223888,80.66109869126647,62.715088217200375
6,deberta-base,AVG+SUM_LYR-1,two-tokens,AVG+SUM,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.941171594946205,59.164613606293116,66.64852155833914,72.83242475547755,66.68573646971707,52.55620663369286,72.8645629261603,64.09903393494662
7,deberta-base,AVG+MAX_LYR-1,two-tokens,AVG+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.36689790598587,48.93729991196542,64.10207771073489,65.26237210896075,61.10533997093805,66.35888264845771,82.48830263347118,63.6601675557877
8,deberta-base,AVG+AVG-NS_LYR-1,two-tokens,AVG+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.975896120331846,59.68888453227271,67.10606071745356,73.08789760213911,67.18717086814866,70.57972742839758,82.93496213509637,68.36579991483426
9,deberta-base,AVG+SUM-NS_LYR-1,two-tokens,AVG+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.90330269024816,59.86621743459114,67.2526854337225,73.15817127171756,67.37775446594647,57.806778776373,76.35826712774343,65.6747396000489
10,deberta-base,AVG+MAX-NS_LYR-1,two-tokens,AVG+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.96713638741044,48.54921030604224,63.84178913296995,65.30266163272137,60.964570798015984,65.88360631849142,82.48633652598788,63.14218730023418
11,deberta-base,SUM+MAX_LYR-1,two-tokens,SUM+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.39426648809205,58.53199046972571,66.47990505785626,73.09172097507005,67.11398625674614,58.08404958933349,77.421910916156,65.5882613932828
12,deberta-base,SUM+AVG-NS_LYR-1,two-tokens,SUM+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.9604223011953,59.11321303529342,66.63872896594003,72.8269372177894,66.67057637165152,58.406008956949165,77.02180823084048,65.51967072566562
13,deberta-base,SUM+SUM-NS_LYR-1,two-tokens,SUM+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.986910596340415,59.66940000440842,67.03838834054882,73.06811144677211,67.11016483549425,60.45966093512494,60.34117306545813,63.667687032021
14,deberta-base,SUM+MAX-NS_LYR-1,two-tokens,SUM+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.33281902043611,58.516676563955194,66.51771904055906,73.10561030779299,67.12777718156222,55.290000452784746,69.34967174706259,64.03432490202184
15,deberta-base,MAX+AVG-NS_LYR-1,two-tokens,MAX+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,56.50960103078512,48.72432050515769,63.352000586811684,64.50229443652239,59.940660862930415,66.9537113154426,82.69946136744801,63.24029287215684
16,deberta-base,MAX+SUM-NS_LYR-1,two-tokens,MAX+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.44968855091752,59.448426165965564,67.08068017328151,73.54080902947511,67.86629231658459,54.38982973104256,70.34583747192656,64.44593763417048
17,deberta-base,MAX+MAX-NS_LYR-1,two-tokens,MAX+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.73169908904957,48.12198625480564,64.02291630805406,65.00829754044352,61.118601392982654,54.21303433720743,79.5716304853272,61.11259505826715
18,deberta-base,AVG-NS+SUM-NS_LYR-1,two-tokens,AVG-NS+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.90888464289083,59.81096532750373,67.22887076412609,73.14675726581241,67.35832723931402,57.4817159392716,76.28240019543074,65.60256019633563
19,deberta-base,AVG-NS+MAX-NS_LYR-1,two-tokens,AVG-NS+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.688505320815075,48.31265963018281,63.05188778640184,64.52708680641416,59.92166681976181,66.38173474065437,82.74121051428858,62.80353594550267
20,deberta-base,SUM-NS+MAX-NS_LYR-1,two-tokens,SUM-NS+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.329259067457215,59.40913555205024,67.10149498605462,73.53870051616258,67.85650715413128,52.06007855820629,69.78081148306683,64.01085533101843
21,deberta-base,CLS+AVG+SUM_LYR-1,three-tokens,CLS+AVG+SUM,LYR-1,4,"torch.Size([63, 2304])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.9018920805046,59.02273911955296,66.57095983283489,72.85081841779937,66.76111841132347,34.57339375769812,76.46769175294469,62.021230481808296
22,deberta-base,CLS+AVG+MAX_LYR-1,three-tokens,CLS+AVG+MAX,LYR-1,4,"torch.Size([63, 2304])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.58456659874028,49.09163477455889,64.36867859594945,65.79769431332393,61.773628395049904,66.52892552897637,82.62453175254136,63.967094279877166
23,deberta-base,CLS+AVG+AVG-NS_LYR-1,three-tokens,CLS+AVG+AVG-NS,LYR-1,4,"torch.Size([63, 2304])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.017228107975605,56.77692211449939,65.37674989449515,70.73851410467361,64.45947160095528,70.96372825447531,82.92800086334489,66.89437356291704
24,deberta-base,CLS+AVG+SUM-NS_LYR-1,three-tokens,CLS+AVG+SUM-NS,LYR-1,4,"torch.Size([63, 2304])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.90139817063722,59.76566555687691,67.18990378506867,73.21112465157816,67.4860889478991,61.28149268338585,76.91495147095016,66.25008932377087
25,deberta-base,CLS+AVG+MAX-NS_LYR-1,three-tokens,CLS+AVG+MAX-NS,LYR-1,4,"torch.Size([63, 2304])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.25562709255769,48.709482697864196,64.13520566193863,65.8550993681267,61.66030722909266,66.10720033468073,82.62609474251819,63.47843101811126
26,deberta-base,CLS+SUM+MAX_LYR-1,three-tokens,CLS+SUM+MAX,LYR-1,4,"torch.Size([63, 2304])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.35148256957565,58.3781455599709,66.40028491398128,73.08725895896589,67.16001001807585,47.845614218723235,67.53292319034385,62.6793884899481
