,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS+AVG_LYR-1,two-tokens,CLS+AVG,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,77.76,81.91,93.41,89.87,82.98,88.2,73.97,84.01428571428573
1,allmpnet,CLS+SUM_LYR-1,two-tokens,CLS+SUM,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,76.69,78.65,92.04,88.46,82.48,85.8,71.19,82.18714285714285
2,allmpnet,CLS+MAX_LYR-1,two-tokens,CLS+MAX,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,72.13,78.83,89.78,88.04,75.62,85.4,71.88,80.24
3,allmpnet,CLS+AVG-NS_LYR-1,two-tokens,CLS+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,77.23,81.17,92.21,88.47,82.1,80.0,72.75,81.99000000000001
4,allmpnet,CLS+SUM-NS_LYR-1,two-tokens,CLS+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,76.36,77.48,91.24,87.25,82.1,77.4,67.77,79.94285714285714
5,allmpnet,CLS+MAX-NS_LYR-1,two-tokens,CLS+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,72.19,64.95,88.87,37.71,50.08,77.4,70.49,65.95571428571428
6,allmpnet,AVG+SUM_LYR-1,two-tokens,AVG+SUM,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,76.4,78.41,91.98,88.26,82.92,85.0,69.97,81.84857142857143
7,allmpnet,AVG+MAX_LYR-1,two-tokens,AVG+MAX,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,76.39,80.24,92.21,89.15,81.0,87.4,71.88,82.61
8,allmpnet,AVG+AVG-NS_LYR-1,two-tokens,AVG+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,77.96,82.7,93.32,89.52,82.92,86.4,74.49,83.90142857142858
9,allmpnet,AVG+SUM-NS_LYR-1,two-tokens,AVG+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,batch-64-nhid-0-initiallayer-0,NORMAL,76.72,77.96,91.45,88.54,82.15,80.8,65.51,80.44714285714288
