,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS+AVG+SUM_SUM-5-7,three-tokens,CLS+AVG+SUM,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,83.12,86.33,94.2,89.31,87.81,93.6,70.49,86.40857142857143
1,deberta-base,CLS+AVG+MAX_SUM-5-7,three-tokens,CLS+AVG+MAX,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,81.95,86.92,94.45,89.23,88.69,95.0,72.75,86.99857142857142
2,deberta-base,CLS+AVG+AVG-NS_SUM-5-7,three-tokens,CLS+AVG+AVG-NS,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,83.58,88.42,95.42,90.07,89.46,94.4,74.72,88.01
3,deberta-base,CLS+AVG+SUM-NS_SUM-5-7,three-tokens,CLS+AVG+SUM-NS,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,83.04,86.09,94.18,89.3,89.35,93.6,70.49,86.57857142857144
4,deberta-base,CLS+AVG+MAX-NS_SUM-5-7,three-tokens,CLS+AVG+MAX-NS,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,81.92,65.98,94.44,49.44,88.63,94.8,72.75,78.28
5,deberta-base,CLS+SUM+MAX_SUM-5-7,three-tokens,CLS+SUM+MAX,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,83.07,86.73,94.25,88.56,88.47,93.8,71.01,86.55571428571429
6,deberta-base,CLS+SUM+AVG-NS_SUM-5-7,three-tokens,CLS+SUM+AVG-NS,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,83.16,86.3,94.19,89.1,88.58,93.4,70.49,86.46000000000001
7,deberta-base,CLS+SUM+SUM-NS_SUM-5-7,three-tokens,CLS+SUM+SUM-NS,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,83.3,86.38,94.29,89.21,88.52,93.2,70.84,86.53428571428572
8,deberta-base,CLS+SUM+MAX-NS_SUM-5-7,three-tokens,CLS+SUM+MAX-NS,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,83.01,84.16,94.23,89.2,88.69,94.6,71.3,86.45571428571428
9,deberta-base,CLS+MAX+AVG-NS_SUM-5-7,three-tokens,CLS+MAX+AVG-NS,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,82.19,86.62,94.51,89.04,88.69,94.8,72.52,86.91
10,deberta-base,CLS+MAX+SUM-NS_SUM-5-7,three-tokens,CLS+MAX+SUM-NS,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,82.95,85.91,94.38,88.72,88.74,94.2,70.09,86.42714285714287
11,deberta-base,CLS+MAX+MAX-NS_SUM-5-7,three-tokens,CLS+MAX+MAX-NS,SUM-5-7,4,"torch.Size([61, 2304])",12,0,batch-64-nhid-0-initiallayer-12,NORMAL,79.03,66.7,92.4,80.9,84.13,93.4,71.77,81.19000000000001
