,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_AVG-1-2,simple,CLS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,61.76,64.42,75.92,77.17,65.18,60.4,66.49,67.33428571428571
1,deberta-base,AVG_AVG-1-2,simple,AVG,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.51,81.93,93.12,89.63,81.93,91.6,73.1,84.26
2,deberta-base,SUM_AVG-1-2,simple,SUM,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,77.27,78.62,91.67,87.84,82.76,88.2,72.17,82.64714285714285
3,deberta-base,MAX_AVG-1-2,simple,MAX,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,72.3,77.51,89.23,87.88,75.89,85.6,69.68,79.72714285714285
4,deberta-base,AVG-NS_AVG-1-2,simple-ns,AVG-NS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.17,81.43,93.16,89.04,81.99,91.0,73.04,83.97571428571428
5,deberta-base,SUM-NS_AVG-1-2,simple-ns,SUM-NS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,77.16,78.12,91.59,87.91,81.99,88.6,72.23,82.51428571428572
6,deberta-base,MAX-NS_AVG-1-2,simple-ns,MAX-NS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,72.28,65.11,89.23,48.93,75.62,85.4,68.64,72.17285714285715
7,deberta-base,CLS_AVG-2-3,simple,CLS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,66.23,64.98,84.39,80.71,71.39,72.2,66.84,72.39142857142858
8,deberta-base,AVG_AVG-2-3,simple,AVG,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.48,82.31,94.08,90.04,84.13,92.8,73.86,85.24285714285715
9,deberta-base,SUM_AVG-2-3,simple,SUM,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.38,79.58,92.45,88.39,83.64,89.8,72.87,83.58714285714284
10,deberta-base,MAX_AVG-2-3,simple,MAX,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,74.01,78.36,90.3,88.44,77.27,91.0,69.51,81.27
11,deberta-base,AVG-NS_AVG-2-3,simple-ns,AVG-NS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.23,82.15,93.89,89.45,83.53,91.4,74.32,84.85285714285715
12,deberta-base,SUM-NS_AVG-2-3,simple-ns,SUM-NS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.21,79.52,92.42,88.24,83.25,90.0,73.45,83.58428571428571
13,deberta-base,MAX-NS_AVG-2-3,simple-ns,MAX-NS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,74.38,65.06,90.45,49.06,77.54,90.4,70.84,73.96142857142857
14,deberta-base,CLS_AVG-3-4,simple,CLS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,66.72,64.82,83.23,80.09,71.28,65.8,66.61,71.22142857142858
15,deberta-base,AVG_AVG-3-4,simple,AVG,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.56,84.0,94.51,90.08,85.28,93.6,73.91,85.99142857142856
16,deberta-base,SUM_AVG-3-4,simple,SUM,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.17,81.78,92.77,88.7,85.12,92.2,72.41,84.73571428571428
17,deberta-base,MAX_AVG-3-4,simple,MAX,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,75.25,80.61,91.71,88.68,79.85,93.0,70.38,82.78285714285714
18,deberta-base,AVG-NS_AVG-3-4,simple-ns,AVG-NS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.43,83.82,94.45,89.64,85.12,93.6,74.26,85.90285714285713
19,deberta-base,SUM-NS_AVG-3-4,simple-ns,SUM-NS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,79.58,81.83,92.8,88.57,85.5,92.0,71.48,84.53714285714285
20,deberta-base,MAX-NS_AVG-3-4,simple-ns,MAX-NS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,75.16,65.56,91.71,49.44,79.41,92.8,70.38,74.92285714285715
21,deberta-base,CLS_AVG-4-5,simple,CLS,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,51.69,63.76,73.36,68.77,61.29,50.0,66.49,62.19428571428572
22,deberta-base,AVG_AVG-4-5,simple,AVG,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,81.88,86.23,94.87,90.3,86.93,94.6,74.32,87.01857142857145
23,deberta-base,SUM_AVG-4-5,simple,SUM,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.71,83.07,93.58,88.93,86.22,93.0,71.36,85.26714285714286
24,deberta-base,MAX_AVG-4-5,simple,MAX,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,77.35,82.78,92.28,89.03,80.89,92.8,71.59,83.81714285714285
25,deberta-base,AVG-NS_AVG-4-5,simple-ns,AVG-NS,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,81.58,85.94,94.98,89.77,87.1,94.8,73.86,86.86142857142856
26,deberta-base,SUM-NS_AVG-4-5,simple-ns,SUM-NS,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.78,83.1,93.43,88.91,86.49,93.4,72.06,85.45285714285716
27,deberta-base,MAX-NS_AVG-4-5,simple-ns,MAX-NS,AVG-4-5,4,"torch.Size([61, 768])",12,0,,NORMAL,77.05,65.64,92.2,49.44,80.72,92.6,70.84,75.49857142857142
28,deberta-base,CLS_AVG-5-6,simple,CLS,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,51.35,63.76,66.93,68.77,65.35,49.0,66.49,61.66428571428571
29,deberta-base,AVG_AVG-5-6,simple,AVG,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,83.05,88.5,95.47,90.96,88.08,94.8,75.01,87.98142857142855
30,deberta-base,SUM_AVG-5-6,simple,SUM,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.97,85.78,93.86,89.41,86.82,94.2,72.99,86.43285714285715
31,deberta-base,MAX_AVG-5-6,simple,MAX,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,78.6,83.87,93.24,89.52,82.43,93.4,72.23,84.75571428571428
32,deberta-base,AVG-NS_AVG-5-6,simple-ns,AVG-NS,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,83.02,88.21,95.54,90.58,88.03,95.0,74.67,87.86428571428571
33,deberta-base,SUM-NS_AVG-5-6,simple-ns,SUM-NS,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.74,85.54,93.76,89.44,87.15,93.4,72.06,86.15571428571427
34,deberta-base,MAX-NS_AVG-5-6,simple-ns,MAX-NS,AVG-5-6,4,"torch.Size([61, 768])",12,0,,NORMAL,78.63,65.75,93.32,49.59,82.87,93.6,71.77,76.50428571428571
35,deberta-base,CLS_AVG-6-7,simple,CLS,AVG-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,53.64,63.76,50.0,68.77,49.92,51.0,66.49,57.65428571428572
36,deberta-base,AVG_AVG-6-7,simple,AVG,AVG-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,84.82,90.12,95.94,91.08,89.79,95.6,76.29,89.09142857142857
37,deberta-base,SUM_AVG-6-7,simple,SUM,AVG-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.76,86.92,94.34,89.62,89.24,95.4,73.62,87.55714285714285
38,deberta-base,MAX_AVG-6-7,simple,MAX,AVG-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,81.03,85.67,93.76,89.61,86.16,94.6,71.65,86.06857142857143
39,deberta-base,AVG-NS_AVG-6-7,simple-ns,AVG-NS,AVG-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,84.8,89.91,95.83,90.78,90.44,95.6,75.3,88.95142857142855
40,deberta-base,SUM-NS_AVG-6-7,simple-ns,SUM-NS,AVG-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.99,87.05,94.43,89.72,89.73,95.4,73.22,87.64857142857144
41,deberta-base,MAX-NS_AVG-6-7,simple-ns,MAX-NS,AVG-6-7,4,"torch.Size([61, 768])",12,0,,NORMAL,80.98,65.93,94.0,49.71,85.67,95.4,73.33,77.86000000000001
42,deberta-base,CLS_AVG-7-8,simple,CLS,AVG-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,55.21,63.76,89.01,68.77,49.92,51.4,66.49,63.50857142857143
43,deberta-base,AVG_AVG-7-8,simple,AVG,AVG-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,86.4,90.89,95.93,90.97,91.16,96.6,76.93,89.84000000000002
44,deberta-base,SUM_AVG-7-8,simple,SUM,AVG-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,85.01,88.08,94.63,89.27,90.99,95.8,73.74,88.21714285714286
45,deberta-base,MAX_AVG-7-8,simple,MAX,AVG-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,82.77,87.71,94.15,89.37,88.91,95.8,71.48,87.16999999999999
46,deberta-base,AVG-NS_AVG-7-8,simple-ns,AVG-NS,AVG-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,86.34,91.15,96.06,90.73,91.38,96.4,76.46,89.78857142857144
47,deberta-base,SUM-NS_AVG-7-8,simple-ns,SUM-NS,AVG-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,85.05,87.76,94.59,89.39,91.16,95.4,73.39,88.10571428571427
48,deberta-base,MAX-NS_AVG-7-8,simple-ns,MAX-NS,AVG-7-8,4,"torch.Size([61, 768])",12,0,,NORMAL,82.72,65.93,94.14,49.72,88.85,95.4,71.65,78.3442857142857
49,deberta-base,CLS_AVG-8-9,simple,CLS,AVG-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,80.4,65.09,89.0,77.82,86.66,85.2,66.49,78.66571428571429
50,deberta-base,AVG_AVG-8-9,simple,AVG,AVG-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,87.15,91.66,96.18,90.74,91.76,96.4,76.7,90.08428571428571
51,deberta-base,SUM_AVG-8-9,simple,SUM,AVG-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,85.86,88.98,94.56,89.44,91.1,95.4,75.3,88.66285714285712
52,deberta-base,MAX_AVG-8-9,simple,MAX,AVG-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,84.34,89.35,94.13,89.27,88.85,94.8,72.46,87.6
53,deberta-base,AVG-NS_AVG-8-9,simple-ns,AVG-NS,AVG-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,87.22,91.5,96.06,90.73,92.37,96.4,76.29,90.08142857142856
54,deberta-base,SUM-NS_AVG-8-9,simple-ns,SUM-NS,AVG-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,85.77,88.71,94.53,89.45,91.16,95.8,75.42,88.69142857142856
55,deberta-base,MAX-NS_AVG-8-9,simple-ns,MAX-NS,AVG-8-9,4,"torch.Size([61, 768])",12,0,,NORMAL,84.39,66.3,94.07,49.6,89.13,94.8,72.58,78.69571428571429
56,deberta-base,CLS_AVG-9-10,simple,CLS,AVG-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,81.02,67.05,88.93,79.2,85.39,85.2,66.49,79.03999999999999
57,deberta-base,AVG_AVG-9-10,simple,AVG,AVG-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,87.99,91.97,96.05,90.54,91.98,96.2,76.12,90.12142857142858
58,deberta-base,SUM_AVG-9-10,simple,SUM,AVG-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,86.85,89.46,94.75,89.37,91.43,94.6,74.43,88.69857142857144
59,deberta-base,MAX_AVG-9-10,simple,MAX,AVG-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,85.47,90.07,94.23,89.51,89.73,95.0,71.48,87.92714285714285
60,deberta-base,AVG-NS_AVG-9-10,simple-ns,AVG-NS,AVG-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,87.99,91.87,96.02,90.56,92.15,96.4,75.42,90.05857142857143
61,deberta-base,SUM-NS_AVG-9-10,simple-ns,SUM-NS,AVG-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,86.7,89.46,94.59,89.37,90.94,95.6,73.86,88.64571428571428
62,deberta-base,MAX-NS_AVG-9-10,simple-ns,MAX-NS,AVG-9-10,4,"torch.Size([61, 768])",12,0,,NORMAL,85.47,66.33,94.04,49.57,89.62,94.8,71.65,78.78285714285714
63,deberta-base,CLS_AVG-10-11,simple,CLS,AVG-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,84.61,87.89,94.16,85.01,88.08,67.4,70.72,82.55285714285715
64,deberta-base,AVG_AVG-10-11,simple,AVG,AVG-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,88.52,92.1,96.15,90.47,92.31,95.8,75.77,90.16
65,deberta-base,SUM_AVG-10-11,simple,SUM,AVG-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,86.89,89.56,94.71,89.38,91.71,94.0,73.1,88.47857142857143
66,deberta-base,MAX_AVG-10-11,simple,MAX,AVG-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,85.27,89.03,94.34,89.13,89.95,95.2,72.0,87.84571428571428
67,deberta-base,AVG-NS_AVG-10-11,simple-ns,AVG-NS,AVG-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,88.42,91.92,96.21,90.33,92.2,95.6,75.59,90.03857142857143
68,deberta-base,SUM-NS_AVG-10-11,simple-ns,SUM-NS,AVG-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,86.89,89.32,94.61,89.37,91.38,94.8,72.87,88.46285714285715
69,deberta-base,MAX-NS_AVG-10-11,simple-ns,MAX-NS,AVG-10-11,4,"torch.Size([61, 768])",12,0,,NORMAL,85.25,66.22,94.34,49.47,90.55,95.0,70.72,78.79285714285713
70,deberta-base,CLS_AVG-11-12,simple,CLS,AVG-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,85.19,88.16,94.44,87.55,88.36,71.2,72.64,83.9342857142857
71,deberta-base,AVG_AVG-11-12,simple,AVG,AVG-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,87.56,91.07,95.74,90.25,91.71,93.0,72.52,88.83571428571427
72,deberta-base,SUM_AVG-11-12,simple,SUM,AVG-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,87.07,89.91,95.56,89.08,91.65,93.4,68.29,87.85142857142856
73,deberta-base,MAX_AVG-11-12,simple,MAX,AVG-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,82.91,87.18,93.02,88.14,87.59,90.2,71.3,85.76285714285714
74,deberta-base,AVG-NS_AVG-11-12,simple-ns,AVG-NS,AVG-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,87.47,91.13,95.69,90.13,92.09,94.0,73.62,89.16142857142857
75,deberta-base,SUM-NS_AVG-11-12,simple-ns,SUM-NS,AVG-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,86.97,89.54,95.42,89.24,91.21,93.0,69.04,87.77428571428571
76,deberta-base,MAX-NS_AVG-11-12,simple-ns,MAX-NS,AVG-11-12,4,"torch.Size([61, 768])",12,0,,NORMAL,82.86,65.96,93.15,73.14,87.64,91.8,70.96,80.78714285714285
77,deberta-base,CLS_AVG-1-3,simple,CLS,AVG-1-3,4,"torch.Size([61, 768])",12,0,,NORMAL,64.05,64.53,81.73,81.08,70.35,66.0,66.49,70.60428571428572
78,deberta-base,AVG_AVG-1-3,simple,AVG,AVG-1-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.22,82.31,93.95,89.94,83.42,91.8,73.28,84.84571428571428
79,deberta-base,SUM_AVG-1-3,simple,SUM,AVG-1-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.21,79.31,92.21,88.29,83.42,90.2,72.7,83.47714285714287
80,deberta-base,MAX_AVG-1-3,simple,MAX,AVG-1-3,4,"torch.Size([61, 768])",12,0,,NORMAL,73.32,78.3,90.03,88.54,77.1,87.8,68.99,80.58285714285714
81,deberta-base,AVG-NS_AVG-1-3,simple-ns,AVG-NS,AVG-1-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.1,81.91,93.84,89.54,82.92,91.8,73.45,84.65142857142858
82,deberta-base,SUM-NS_AVG-1-3,simple-ns,SUM-NS,AVG-1-3,4,"torch.Size([61, 768])",12,0,,NORMAL,77.79,79.15,92.08,88.18,83.09,89.6,72.23,83.16
83,deberta-base,MAX-NS_AVG-1-3,simple-ns,MAX-NS,AVG-1-3,4,"torch.Size([61, 768])",12,0,,NORMAL,73.26,65.03,90.04,48.91,77.7,87.2,68.81,72.99285714285715
84,deberta-base,CLS_AVG-2-4,simple,CLS,AVG-2-4,4,"torch.Size([61, 768])",12,0,,NORMAL,64.98,64.05,82.69,77.49,68.42,64.8,66.84,69.89571428571428
85,deberta-base,AVG_AVG-2-4,simple,AVG,AVG-2-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.3,83.47,94.39,90.23,85.28,93.2,74.9,85.96714285714286
86,deberta-base,SUM_AVG-2-4,simple,SUM,AVG-2-4,4,"torch.Size([61, 768])",12,0,,NORMAL,79.68,81.56,92.91,88.69,84.68,91.2,72.23,84.42142857142858
87,deberta-base,MAX_AVG-2-4,simple,MAX,AVG-2-4,4,"torch.Size([61, 768])",12,0,,NORMAL,75.44,80.29,91.41,88.88,78.31,91.4,70.61,82.33428571428571
88,deberta-base,AVG-NS_AVG-2-4,simple-ns,AVG-NS,AVG-2-4,4,"torch.Size([61, 768])",12,0,,NORMAL,79.95,83.71,94.29,89.63,84.9,93.2,74.9,85.79714285714286
89,deberta-base,SUM-NS_AVG-2-4,simple-ns,SUM-NS,AVG-2-4,4,"torch.Size([61, 768])",12,0,,NORMAL,79.32,80.74,92.94,88.74,84.79,91.2,72.87,84.37142857142858
90,deberta-base,MAX-NS_AVG-2-4,simple-ns,MAX-NS,AVG-2-4,4,"torch.Size([61, 768])",12,0,,NORMAL,75.3,65.27,91.37,49.32,78.36,91.2,70.55,74.48142857142857
91,deberta-base,CLS_AVG-3-5,simple,CLS,AVG-3-5,4,"torch.Size([61, 768])",12,0,,NORMAL,64.0,64.03,80.66,76.72,71.61,64.4,66.49,69.70142857142856
92,deberta-base,AVG_AVG-3-5,simple,AVG,AVG-3-5,4,"torch.Size([61, 768])",12,0,,NORMAL,81.43,85.4,94.8,90.43,86.55,94.2,73.68,86.64142857142858
93,deberta-base,SUM_AVG-3-5,simple,SUM,AVG-3-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.72,83.21,93.27,88.82,86.33,93.2,72.7,85.46428571428571
94,deberta-base,MAX_AVG-3-5,simple,MAX,AVG-3-5,4,"torch.Size([61, 768])",12,0,,NORMAL,76.78,82.04,92.28,89.12,80.94,93.8,71.54,83.78571428571429
95,deberta-base,AVG-NS_AVG-3-5,simple-ns,AVG-NS,AVG-3-5,4,"torch.Size([61, 768])",12,0,,NORMAL,81.31,85.32,94.81,89.92,86.66,94.8,73.91,86.67571428571428
96,deberta-base,SUM-NS_AVG-3-5,simple-ns,SUM-NS,AVG-3-5,4,"torch.Size([61, 768])",12,0,,NORMAL,80.46,83.34,93.2,88.88,86.66,93.2,71.77,85.35857142857142
97,deberta-base,MAX-NS_AVG-3-5,simple-ns,MAX-NS,AVG-3-5,4,"torch.Size([61, 768])",12,0,,NORMAL,76.45,65.69,92.07,49.61,80.62,93.0,71.48,75.55999999999999
98,deberta-base,CLS_AVG-4-6,simple,CLS,AVG-4-6,4,"torch.Size([61, 768])",12,0,,NORMAL,52.22,63.76,63.1,68.77,60.3,47.6,66.49,60.32
99,deberta-base,AVG_AVG-4-6,simple,AVG,AVG-4-6,4,"torch.Size([61, 768])",12,0,,NORMAL,82.84,87.58,95.3,90.82,87.97,94.8,74.9,87.74428571428571
100,deberta-base,SUM_AVG-4-6,simple,SUM,AVG-4-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.62,84.9,93.68,89.31,87.1,94.2,72.52,86.19000000000001
101,deberta-base,MAX_AVG-4-6,simple,MAX,AVG-4-6,4,"torch.Size([61, 768])",12,0,,NORMAL,77.95,83.79,92.96,89.33,81.66,93.6,72.64,84.56142857142856
102,deberta-base,AVG-NS_AVG-4-6,simple-ns,AVG-NS,AVG-4-6,4,"torch.Size([61, 768])",12,0,,NORMAL,82.67,87.52,95.31,90.48,87.75,94.6,74.09,87.48857142857143
103,deberta-base,SUM-NS_AVG-4-6,simple-ns,SUM-NS,AVG-4-6,4,"torch.Size([61, 768])",12,0,,NORMAL,81.45,84.71,93.57,89.23,87.04,94.2,72.52,86.10285714285715
104,deberta-base,MAX-NS_AVG-4-6,simple-ns,MAX-NS,AVG-4-6,4,"torch.Size([61, 768])",12,0,,NORMAL,77.81,65.77,93.08,49.58,81.49,93.2,72.7,76.23285714285714
105,deberta-base,CLS_AVG-5-7,simple,CLS,AVG-5-7,4,"torch.Size([61, 768])",12,0,,NORMAL,51.92,63.76,50.0,68.77,51.84,50.4,66.49,57.59714285714285
106,deberta-base,AVG_AVG-5-7,simple,AVG,AVG-5-7,4,"torch.Size([61, 768])",12,0,,NORMAL,84.25,89.7,95.84,91.22,89.35,95.4,75.88,88.80571428571429
107,deberta-base,SUM_AVG-5-7,simple,SUM,AVG-5-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.28,86.94,94.41,89.58,88.03,94.4,73.16,87.11428571428571
108,deberta-base,MAX_AVG-5-7,simple,MAX,AVG-5-7,4,"torch.Size([61, 768])",12,0,,NORMAL,79.97,85.56,93.71,89.77,83.96,94.4,72.87,85.74857142857142
109,deberta-base,AVG-NS_AVG-5-7,simple-ns,AVG-NS,AVG-5-7,4,"torch.Size([61, 768])",12,0,,NORMAL,84.25,89.46,95.85,90.97,89.35,95.4,75.3,88.6542857142857
110,deberta-base,SUM-NS_AVG-5-7,simple-ns,SUM-NS,AVG-5-7,4,"torch.Size([61, 768])",12,0,,NORMAL,83.08,86.65,94.2,89.66,88.41,94.6,73.39,87.14142857142858
111,deberta-base,MAX-NS_AVG-5-7,simple-ns,MAX-NS,AVG-5-7,4,"torch.Size([61, 768])",12,0,,NORMAL,79.79,66.01,93.64,49.6,84.07,94.4,72.29,77.11428571428571
112,deberta-base,CLS_AVG-6-8,simple,CLS,AVG-6-8,4,"torch.Size([61, 768])",12,0,,NORMAL,55.12,63.76,50.0,68.77,49.92,51.8,66.49,57.980000000000004
113,deberta-base,AVG_AVG-6-8,simple,AVG,AVG-6-8,4,"torch.Size([61, 768])",12,0,,NORMAL,85.94,90.49,95.99,91.08,90.83,96.6,76.7,89.66142857142857
114,deberta-base,SUM_AVG-6-8,simple,SUM,AVG-6-8,4,"torch.Size([61, 768])",12,0,,NORMAL,84.7,88.05,94.42,89.45,90.01,95.2,73.74,87.93857142857144
115,deberta-base,MAX_AVG-6-8,simple,MAX,AVG-6-8,4,"torch.Size([61, 768])",12,0,,NORMAL,82.03,86.97,93.9,89.36,87.81,95.0,72.99,86.86571428571428
116,deberta-base,AVG-NS_AVG-6-8,simple-ns,AVG-NS,AVG-6-8,4,"torch.Size([61, 768])",12,0,,NORMAL,85.86,90.62,96.0,90.84,91.16,96.4,75.77,89.52142857142857
117,deberta-base,SUM-NS_AVG-6-8,simple-ns,SUM-NS,AVG-6-8,4,"torch.Size([61, 768])",12,0,,NORMAL,84.6,87.52,94.5,89.57,90.33,95.4,72.87,87.82714285714285
118,deberta-base,MAX-NS_AVG-6-8,simple-ns,MAX-NS,AVG-6-8,4,"torch.Size([61, 768])",12,0,,NORMAL,81.69,66.01,93.93,49.79,87.59,95.2,71.65,77.98
119,deberta-base,CLS_AVG-7-9,simple,CLS,AVG-7-9,4,"torch.Size([61, 768])",12,0,,NORMAL,80.69,63.76,89.36,74.71,85.78,82.2,66.49,77.56999999999998
120,deberta-base,AVG_AVG-7-9,simple,AVG,AVG-7-9,4,"torch.Size([61, 768])",12,0,,NORMAL,87.01,91.47,96.1,90.91,91.71,96.4,77.04,90.09142857142857
121,deberta-base,SUM_AVG-7-9,simple,SUM,AVG-7-9,4,"torch.Size([61, 768])",12,0,,NORMAL,85.66,88.53,94.63,89.52,91.54,96.0,74.32,88.60000000000001
122,deberta-base,MAX_AVG-7-9,simple,MAX,AVG-7-9,4,"torch.Size([61, 768])",12,0,,NORMAL,83.84,88.37,94.36,89.28,89.18,94.6,72.52,87.45
123,deberta-base,AVG-NS_AVG-7-9,simple-ns,AVG-NS,AVG-7-9,4,"torch.Size([61, 768])",12,0,,NORMAL,87.01,91.34,96.14,90.88,91.71,96.2,76.46,89.96285714285715
124,deberta-base,SUM-NS_AVG-7-9,simple-ns,SUM-NS,AVG-7-9,4,"torch.Size([61, 768])",12,0,,NORMAL,85.56,88.5,94.3,89.58,91.76,95.2,74.32,88.46000000000001
125,deberta-base,MAX-NS_AVG-7-9,simple-ns,MAX-NS,AVG-7-9,4,"torch.Size([61, 768])",12,0,,NORMAL,83.68,66.3,94.28,49.74,89.35,94.6,73.91,78.83714285714287
126,deberta-base,CLS_AVG-8-10,simple,CLS,AVG-8-10,4,"torch.Size([61, 768])",12,0,,NORMAL,81.17,63.76,89.54,75.55,87.04,83.2,66.49,78.10714285714286
127,deberta-base,AVG_AVG-8-10,simple,AVG,AVG-8-10,4,"torch.Size([61, 768])",12,0,,NORMAL,87.82,91.84,96.16,90.75,92.26,96.2,76.64,90.23857142857142
128,deberta-base,SUM_AVG-8-10,simple,SUM,AVG-8-10,4,"torch.Size([61, 768])",12,0,,NORMAL,86.4,89.4,94.82,89.58,91.82,95.4,74.09,88.78714285714285
129,deberta-base,MAX_AVG-8-10,simple,MAX,AVG-8-10,4,"torch.Size([61, 768])",12,0,,NORMAL,84.83,89.88,94.33,89.54,89.68,94.4,73.04,87.95714285714284
130,deberta-base,AVG-NS_AVG-8-10,simple-ns,AVG-NS,AVG-8-10,4,"torch.Size([61, 768])",12,0,,NORMAL,87.73,91.87,96.23,90.66,92.09,96.4,75.83,90.11571428571429
