,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS+AVG_LYR-1,two-tokens,CLS+AVG,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.73,80.5,92.65,89.24,82.76,90.6,72.46,83.7057142857143
1,deberta-base,CLS+SUM_LYR-1,two-tokens,CLS+SUM,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.54,77.7,91.05,87.88,82.21,86.6,70.55,81.78999999999999
2,deberta-base,CLS+MAX_LYR-1,two-tokens,CLS+MAX,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,71.78,75.07,87.75,87.29,75.01,84.0,67.65,78.36428571428571
3,deberta-base,CLS+AVG-NS_LYR-1,two-tokens,CLS+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.52,80.56,92.73,88.51,82.32,90.0,72.87,83.50142857142858
4,deberta-base,CLS+SUM-NS_LYR-1,two-tokens,CLS+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.55,77.19,91.16,87.74,82.43,86.2,70.32,81.65571428571427
5,deberta-base,CLS+MAX-NS_LYR-1,two-tokens,CLS+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,72.03,64.9,87.88,49.11,74.9,84.8,67.36,71.56857142857145
6,deberta-base,AVG+SUM_LYR-1,two-tokens,AVG+SUM,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.19,77.38,90.99,87.8,81.77,86.0,70.14,81.46714285714286
7,deberta-base,AVG+MAX_LYR-1,two-tokens,AVG+MAX,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.73,77.4,91.58,88.07,81.49,87.0,67.13,81.2
8,deberta-base,AVG+AVG-NS_LYR-1,two-tokens,AVG+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,77.34,80.58,92.57,88.71,82.81,89.6,73.22,83.54714285714286
9,deberta-base,AVG+SUM-NS_LYR-1,two-tokens,AVG+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.41,77.09,90.93,87.84,82.21,86.4,70.43,81.61571428571428
10,deberta-base,AVG+MAX-NS_LYR-1,two-tokens,AVG+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.97,65.14,91.54,49.12,81.77,86.8,67.65,73.99857142857142
11,deberta-base,SUM+MAX_LYR-1,two-tokens,SUM+MAX,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.61,77.33,90.4,86.92,81.71,89.0,70.43,81.62857142857142
12,deberta-base,SUM+AVG-NS_LYR-1,two-tokens,SUM+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.27,77.86,91.02,86.98,82.59,87.4,70.14,81.75142857142858
13,deberta-base,SUM+SUM-NS_LYR-1,two-tokens,SUM+SUM-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,76.19,77.17,90.82,87.66,81.27,86.6,70.61,81.47428571428573
14,deberta-base,SUM+MAX-NS_LYR-1,two-tokens,SUM+MAX-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.28,66.07,90.34,48.92,82.04,88.8,70.09,74.50571428571429
15,deberta-base,MAX+AVG-NS_LYR-1,two-tokens,MAX+AVG-NS,LYR-1,4,"torch.Size([61, 1536])",12,0,,NORMAL,75.93,77.8,91.65,86.99,80.67,87.8,67.59,81.20428571428572
