,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_AVG-1-2,simple,CLS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,64.89,63.84,87.96,71.46,71.0,69.6,67.01,70.82285714285715
1,allmpnet,AVG_AVG-1-2,simple,AVG,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,79.09,83.95,94.03,90.18,84.51,89.6,73.91,85.03857142857143
2,allmpnet,SUM_AVG-1-2,simple,SUM,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.8,81.14,92.54,88.83,83.8,88.2,70.26,83.36714285714287
3,allmpnet,MAX_AVG-1-2,simple,MAX,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,73.39,81.38,91.54,88.6,76.88,88.6,71.59,81.71142857142857
4,allmpnet,AVG-NS_AVG-1-2,simple-ns,AVG-NS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,78.16,81.91,93.26,89.01,83.14,84.6,72.06,83.16285714285712
5,allmpnet,SUM-NS_AVG-1-2,simple-ns,SUM-NS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,77.31,79.12,92.12,88.04,83.64,82.6,67.83,81.52285714285715
6,allmpnet,MAX-NS_AVG-1-2,simple-ns,MAX-NS,AVG-1-2,4,"torch.Size([61, 768])",12,0,,NORMAL,73.06,64.9,90.46,35.79,50.08,81.6,70.67,66.65142857142857
7,allmpnet,CLS_AVG-2-3,simple,CLS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,74.65,75.55,90.38,83.56,78.86,79.6,72.41,79.28714285714285
8,allmpnet,AVG_AVG-2-3,simple,AVG,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,80.78,85.88,94.87,90.44,85.5,91.8,73.57,86.11999999999999
9,allmpnet,SUM_AVG-2-3,simple,SUM,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.53,83.1,93.59,88.92,84.9,89.6,70.84,84.35428571428574
10,allmpnet,MAX_AVG-2-3,simple,MAX,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,76.67,81.8,92.45,88.92,80.45,91.0,73.04,83.47571428571429
11,allmpnet,AVG-NS_AVG-2-3,simple-ns,AVG-NS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,79.44,83.63,94.2,89.73,84.62,88.8,72.81,84.74714285714286
12,allmpnet,SUM-NS_AVG-2-3,simple-ns,SUM-NS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,78.23,81.38,92.9,88.43,84.07,86.6,68.06,82.81000000000002
13,allmpnet,MAX-NS_AVG-2-3,simple-ns,MAX-NS,AVG-2-3,4,"torch.Size([61, 768])",12,0,,NORMAL,75.59,65.27,91.78,31.75,50.08,86.0,72.0,67.49571428571429
14,allmpnet,CLS_AVG-3-4,simple,CLS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,77.08,79.6,92.53,87.77,80.23,83.4,72.93,81.9342857142857
15,allmpnet,AVG_AVG-3-4,simple,AVG,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,81.63,87.13,95.47,90.47,86.49,92.8,74.61,86.94285714285715
16,allmpnet,SUM_AVG-3-4,simple,SUM,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.65,83.68,93.49,88.74,84.68,92.4,70.55,84.88428571428571
17,allmpnet,MAX_AVG-3-4,simple,MAX,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,78.37,82.92,93.25,89.44,83.09,91.4,72.35,84.40285714285714
18,allmpnet,AVG-NS_AVG-3-4,simple-ns,AVG-NS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,80.87,85.14,95.0,89.71,84.68,89.0,73.74,85.44857142857143
19,allmpnet,SUM-NS_AVG-3-4,simple-ns,SUM-NS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,79.54,82.44,93.44,88.13,84.35,88.6,68.81,83.61571428571428
20,allmpnet,MAX-NS_AVG-3-4,simple-ns,MAX-NS,AVG-3-4,4,"torch.Size([61, 768])",12,0,,NORMAL,77.05,64.93,92.96,31.75,50.08,87.4,71.54,67.95857142857143
