,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS+AVG+SUM_LYR-1,three-tokens,CLS+AVG+SUM,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.58,78.65,92.0,88.43,83.2,85.8,70.14,82.11428571428573
1,allmpnet,CLS+AVG+MAX_LYR-1,three-tokens,CLS+AVG+MAX,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.33,80.24,92.23,89.08,81.38,87.4,71.36,82.57428571428571
2,allmpnet,CLS+AVG+AVG-NS_LYR-1,three-tokens,CLS+AVG+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,77.92,82.68,93.28,89.45,81.88,87.0,74.78,83.85571428571428
3,allmpnet,CLS+AVG+SUM-NS_LYR-1,three-tokens,CLS+AVG+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.71,78.01,91.38,88.52,82.26,82.2,68.23,81.0442857142857
4,allmpnet,CLS+AVG+MAX-NS_LYR-1,three-tokens,CLS+AVG+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.47,65.3,92.11,37.71,50.08,86.6,71.25,68.50285714285714
5,allmpnet,CLS+SUM+MAX_LYR-1,three-tokens,CLS+SUM+MAX,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.54,78.12,91.97,88.08,83.36,87.0,70.55,82.23142857142857
6,allmpnet,CLS+SUM+AVG-NS_LYR-1,three-tokens,CLS+SUM+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.51,78.57,92.01,88.36,82.92,86.2,71.01,82.22571428571429
7,allmpnet,CLS+SUM+SUM-NS_LYR-1,three-tokens,CLS+SUM+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.69,78.2,91.31,88.26,82.65,87.2,68.75,81.86571428571428
8,allmpnet,CLS+SUM+MAX-NS_LYR-1,three-tokens,CLS+SUM+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.96,65.48,92.06,37.71,50.08,86.4,70.67,68.33714285714285
9,allmpnet,CLS+MAX+AVG-NS_LYR-1,three-tokens,CLS+MAX+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.86,80.34,92.28,88.54,79.79,86.6,71.71,82.30285714285715
10,allmpnet,CLS+MAX+SUM-NS_LYR-1,three-tokens,CLS+MAX+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.44,78.44,91.47,88.02,82.15,85.6,67.94,81.43714285714285
11,allmpnet,CLS+MAX+MAX-NS_LYR-1,three-tokens,CLS+MAX+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,72.96,65.19,89.89,37.71,50.08,85.2,69.51,67.21999999999998
12,allmpnet,CLS+AVG-NS+SUM-NS_LYR-1,three-tokens,CLS+AVG-NS+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.26,77.46,91.21,87.54,81.93,77.6,67.88,79.98285714285714
13,allmpnet,CLS+AVG-NS+MAX-NS_LYR-1,three-tokens,CLS+AVG-NS+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.13,65.16,91.61,37.71,50.08,80.2,70.2,67.29857142857142
14,allmpnet,CLS+SUM-NS+MAX-NS_LYR-1,three-tokens,CLS+SUM-NS+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.24,65.11,91.23,37.71,50.08,79.6,68.23,66.74285714285713
15,allmpnet,AVG+SUM+MAX_LYR-1,three-tokens,AVG+SUM+MAX,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.52,77.91,92.06,88.16,83.14,87.2,70.09,82.1542857142857
16,allmpnet,AVG+SUM+AVG-NS_LYR-1,three-tokens,AVG+SUM+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.45,78.36,92.01,88.31,82.92,85.8,69.91,81.96571428571428
17,allmpnet,AVG+SUM+SUM-NS_LYR-1,three-tokens,AVG+SUM+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.72,77.96,91.38,88.32,82.43,86.8,70.14,81.96428571428571
18,allmpnet,AVG+SUM+MAX-NS_LYR-1,three-tokens,AVG+SUM+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.96,65.51,91.95,37.71,50.08,87.0,70.78,68.42714285714285
19,allmpnet,AVG+MAX+AVG-NS_LYR-1,three-tokens,AVG+MAX+AVG-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,77.13,81.01,92.69,88.78,81.0,88.6,72.35,83.08000000000001
20,allmpnet,AVG+MAX+SUM-NS_LYR-1,three-tokens,AVG+MAX+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.76,78.41,91.51,88.13,81.49,86.0,67.13,81.34714285714287
21,allmpnet,AVG+MAX+MAX-NS_LYR-1,three-tokens,AVG+MAX+MAX-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,75.98,65.32,91.66,37.71,50.08,86.8,71.65,68.45714285714287
22,allmpnet,AVG+AVG-NS+SUM-NS_LYR-1,three-tokens,AVG+AVG-NS+SUM-NS,LYR-1,4,"torch.Size([61, 2304])",12,0,,NORMAL,76.47,77.85,91.45,88.47,81.71,81.2,66.03,80.4542857142857
