,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_LYR-1,simple,CLS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,63.38,65.38,80.67,78.7,63.81,62.0,66.49,68.63285714285715
1,deberta-base,AVG_LYR-1,simple,AVG,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.75,80.42,92.67,89.21,82.81,90.2,73.04,83.72857142857143
2,deberta-base,SUM_LYR-1,simple,SUM,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,76.55,77.67,91.05,87.9,82.21,86.0,70.84,81.74571428571427
3,deberta-base,MAX_LYR-1,simple,MAX,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,71.91,74.94,87.8,87.25,74.63,83.2,67.07,78.11428571428571
4,deberta-base,AVG-NS_LYR-1,simple-ns,AVG-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.54,80.56,92.65,88.56,82.43,90.8,72.99,83.64714285714287
5,deberta-base,SUM-NS_LYR-1,simple-ns,SUM-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,76.5,77.04,91.02,87.7,82.43,86.4,69.8,81.55571428571429
6,deberta-base,MAX-NS_LYR-1,simple-ns,MAX-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,72.02,64.85,87.98,48.92,74.85,84.0,66.96,71.36857142857143
7,deberta-base,CLS_LYR-2,simple,CLS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,60.0,63.76,74.35,70.59,66.28,60.4,66.55,65.99
8,deberta-base,AVG_LYR-2,simple,AVG,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.32,82.04,93.58,89.46,82.76,91.4,72.87,84.34714285714286
9,deberta-base,SUM_LYR-2,simple,SUM,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.77,78.7,92.06,87.72,83.03,89.6,72.06,82.99142857142859
10,deberta-base,MAX_LYR-2,simple,MAX,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,73.18,76.85,89.43,87.96,75.56,90.2,69.33,80.35857142857142
11,deberta-base,AVG-NS_LYR-2,simple-ns,AVG-NS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.25,81.7,93.49,89.19,82.43,91.4,72.12,84.08285714285715
12,deberta-base,SUM-NS_LYR-2,simple-ns,SUM-NS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.39,78.68,92.16,87.65,82.92,89.6,72.23,82.94714285714285
13,deberta-base,MAX-NS_LYR-2,simple-ns,MAX-NS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,72.56,64.77,89.67,49.16,75.56,89.6,71.54,73.26571428571427
14,deberta-base,CLS_LYR-3,simple,CLS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,68.1,68.79,86.11,83.69,73.48,76.4,67.65,74.88857142857144
15,deberta-base,AVG_LYR-3,simple,AVG,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.65,82.86,94.3,89.81,84.73,92.8,75.07,85.60285714285715
16,deberta-base,SUM_LYR-3,simple,SUM,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.29,79.42,92.42,88.18,84.68,91.8,72.81,83.94285714285714
17,deberta-base,MAX_LYR-3,simple,MAX,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,74.66,78.07,90.55,88.26,78.03,92.0,69.57,81.59142857142855
18,deberta-base,AVG-NS_LYR-3,simple-ns,AVG-NS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.46,82.6,94.23,89.29,84.51,92.8,74.49,85.34
19,deberta-base,SUM-NS_LYR-3,simple-ns,SUM-NS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.2,79.34,92.41,88.28,84.24,91.6,72.99,83.86571428571429
20,deberta-base,MAX-NS_LYR-3,simple-ns,MAX-NS,LYR-3,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,74.51,65.11,90.63,49.23,78.14,92.0,70.03,74.23571428571428
21,deberta-base,CLS_LYR-4,simple,CLS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,51.89,63.76,69.52,68.77,62.22,48.6,66.49,61.607142857142854
22,deberta-base,AVG_LYR-4,simple,AVG,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,81.04,85.54,94.52,90.08,85.78,93.6,74.14,86.38571428571429
23,deberta-base,SUM_LYR-4,simple,SUM,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.25,81.83,92.75,88.62,85.89,92.6,71.25,84.74142857142856
24,deberta-base,MAX_LYR-4,simple,MAX,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,75.39,82.2,91.86,88.72,80.01,94.0,70.9,83.29714285714284
25,deberta-base,AVG-NS_LYR-4,simple-ns,AVG-NS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.73,84.69,94.52,89.69,85.72,93.6,73.33,86.04
26,deberta-base,SUM-NS_LYR-4,simple-ns,SUM-NS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.09,81.78,92.64,88.53,85.56,93.0,71.94,84.79142857142857
27,deberta-base,MAX-NS_LYR-4,simple-ns,MAX-NS,LYR-4,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,75.28,64.71,91.84,49.44,79.57,93.0,70.84,74.9542857142857
28,deberta-base,CLS_LYR-5,simple,CLS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,52.39,63.79,79.02,69.0,66.17,59.6,66.49,65.20857142857143
29,deberta-base,AVG_LYR-5,simple,AVG,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,81.97,86.94,95.12,90.37,87.31,94.8,74.2,87.24428571428572
30,deberta-base,SUM_LYR-5,simple,SUM,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.44,84.16,93.22,88.87,86.11,93.6,71.36,85.39428571428572
31,deberta-base,MAX_LYR-5,simple,MAX,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.18,82.07,92.2,88.9,80.94,92.2,70.67,83.45142857142856
32,deberta-base,AVG-NS_LYR-5,simple-ns,AVG-NS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,81.85,86.65,95.2,89.84,87.04,94.6,73.8,86.99714285714285
33,deberta-base,SUM-NS_LYR-5,simple-ns,SUM-NS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,80.41,83.89,93.46,88.77,87.04,94.2,71.07,85.54857142857142
34,deberta-base,MAX-NS_LYR-5,simple-ns,MAX-NS,LYR-5,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.17,65.67,92.25,49.46,81.0,92.6,70.14,75.47
35,deberta-base,CLS_LYR-6,simple,CLS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,51.61,63.76,50.0,68.77,49.92,47.0,66.49,56.792857142857144
36,deberta-base,AVG_LYR-6,simple,AVG,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.13,88.88,95.72,90.84,88.52,95.2,74.78,88.2957142857143
37,deberta-base,SUM_LYR-6,simple,SUM,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.33,85.3,93.98,89.35,87.04,94.2,72.17,86.33857142857143
38,deberta-base,MAX_LYR-6,simple,MAX,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.37,84.53,93.51,89.39,83.47,95.4,71.07,85.24857142857142
39,deberta-base,AVG-NS_LYR-6,simple-ns,AVG-NS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.0,88.58,95.75,90.54,88.41,95.4,74.72,88.2
40,deberta-base,SUM-NS_LYR-6,simple-ns,SUM-NS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,82.51,85.14,93.89,89.27,87.86,94.6,72.23,86.5
41,deberta-base,MAX-NS_LYR-6,simple-ns,MAX-NS,LYR-6,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.35,65.83,93.56,49.6,83.31,95.0,71.19,76.83428571428571
42,deberta-base,CLS_LYR-7,simple,CLS,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.19,63.76,80.44,68.77,49.92,54.8,66.49,62.62428571428571
43,deberta-base,AVG_LYR-7,simple,AVG,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,85.56,90.49,96.01,90.88,90.99,96.0,76.87,89.54285714285716
44,deberta-base,SUM_LYR-7,simple,SUM,LYR-7,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,84.59,87.76,94.39,89.47,90.66,95.2,72.29,87.76571428571428
