,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,deberta-base,CLS_LYR-1,simple,CLS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,6.488521742211287,-2.6840840493559686,-1.1971465400700443,8.539123440779097,8.166239376419657,23.08296054098076,41.393186221530144,11.969828676070705
1,deberta-base,AVG_LYR-1,simple,AVG,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.93226157985902,59.230786826314045,66.67304916863436,72.8406953889884,66.69821260275867,72.83247537835342,82.85221389269611,68.43709926251486
2,deberta-base,SUM_LYR-1,simple,SUM,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.93226311476764,59.230784705901385,66.67304830567753,72.8406956824439,66.69821082435662,62.300927284732225,69.35157250430784,65.0039289174553
3,deberta-base,MAX_LYR-1,simple,MAX,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.28289387788485,48.281915870202006,64.138407163721,64.96200588118757,61.246001502973414,62.013896101922406,80.05440341951481,62.56850340248658
4,deberta-base,AVG-NS_LYR-1,simple-ns,AVG-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.887048599062275,59.92506495794565,67.28232032077962,73.1635685453558,67.38362358651284,72.1602074445596,82.96363014677067,68.68078051442663
5,deberta-base,SUM-NS_LYR-1,simple-ns,SUM-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.88704933981492,59.925065589859805,67.28232009519105,73.16356920779958,67.38362942472847,59.82958382328003,69.34221914832372,64.9733480898568
6,deberta-base,MAX-NS_LYR-1,simple-ns,MAX-NS,LYR-1,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.26163932211387,47.78241100157647,63.69891713526522,64.91585580214895,60.85000481196987,61.99896469260946,80.08876443571728,61.94236531448587
7,deberta-base,CLS_LYR-2,simple,CLS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,22.049181786878975,6.378017128947566,8.920294584651252,16.18868564614954,17.403031335715184,39.32672667359322,51.6031135538912,23.12415010140385
8,deberta-base,AVG_LYR-2,simple,AVG,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.18415216503685,54.84952377872534,62.510064448054706,68.84496818603473,61.12478448573453,69.94030790338256,83.03226727496946,65.06943832027689
9,deberta-base,SUM_LYR-2,simple,SUM,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.18414974714686,54.8495280076196,62.51006671901992,68.84496628037805,61.12478072512738,52.37552580732678,68.45196565699156,60.47728327765859
10,deberta-base,MAX_LYR-2,simple,MAX,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,53.1826404244099,43.910975390577846,60.37662528653542,62.69761087562124,55.40854906001884,63.847039794657846,81.81517022700805,60.176944436975596
11,deberta-base,AVG-NS_LYR-2,simple-ns,AVG-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.09205028369143,55.329704361737406,62.80357387889053,69.34495746093839,61.97292805352498,69.4186864844414,83.155464513055,65.30248071946845
12,deberta-base,SUM-NS_LYR-2,simple-ns,SUM-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,55.09204847153789,55.32970176900637,62.80357700950939,69.34495593970613,61.97292953065927,2.979037135038526,53.920495285364225,51.63467787726025
13,deberta-base,MAX-NS_LYR-2,simple-ns,MAX-NS,LYR-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,49.75946697597478,43.10380943137349,59.299546763636044,62.01438935722663,53.60393673094976,63.52981426036376,81.80696928339977,59.01684754327489
14,deberta-base,CLS_LYR-3,simple,CLS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,9.97195590651203,0.2545864086040054,1.7328372251577264,7.611513392500753,5.928127827104701,29.903004292143542,50.915645675366264,15.188238675341287
15,deberta-base,AVG_LYR-3,simple,AVG,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.572356532612666,54.832022193452524,61.479219945269826,68.90907624828027,61.0010140686479,68.68159688087474,83.17957673323201,64.66498037176714
16,deberta-base,SUM_LYR-3,simple,SUM,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.572362405768196,54.83202668348919,61.479222838936224,68.90907572640576,61.001016480892154,43.695733660656664,45.91460745451167,55.77200646437998
17,deberta-base,MAX_LYR-3,simple,MAX,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,52.12902853773104,43.433207033766095,58.62550653419053,61.88543221413079,54.35380725668774,64.05902303815954,81.3405128485121,59.4037882090254
18,deberta-base,AVG-NS_LYR-3,simple-ns,AVG-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.4521149101527,55.37283948122359,61.740562305182266,69.31399903600347,61.42278660857936,68.1294120015338,83.14357933886076,64.79647052593371
19,deberta-base,SUM-NS_LYR-3,simple-ns,SUM-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,54.4521148749126,55.372839068944124,61.7405622011966,69.31399691398819,61.42278202686185,-1.7783918059827444,51.48875560731197,50.28752269817609
20,deberta-base,MAX-NS_LYR-3,simple-ns,MAX-NS,LYR-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,48.771502003391625,42.22435071200453,57.33539723884869,60.75936898001542,51.908169590055444,63.68109770900104,81.23051124148193,57.98719963925695
21,deberta-base,CLS_LYR-4,simple,CLS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,10.514897800969711,0.6871021342910076,3.5418436672829894,12.417545862792094,15.184086191644147,15.64141294983996,34.82199138852906,13.258411427906996
22,deberta-base,AVG_LYR-4,simple,AVG,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,53.92017301105527,53.70571773911902,61.203331348294846,69.83413573739959,62.62066939057662,69.1003029501593,83.07928763756038,64.780516830595
23,deberta-base,SUM_LYR-4,simple,SUM,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,53.92017402279339,53.70571603944765,61.20332967075672,69.8341353771673,62.620667408893226,38.18276854215054,67.78276501251645,58.178508010532184
24,deberta-base,MAX_LYR-4,simple,MAX,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,50.70693773197081,42.11858996215924,57.90952074813253,61.68981057731104,53.513971395955615,59.88893070664828,82.00496758311598,58.26181838647051
25,deberta-base,AVG-NS_LYR-4,simple-ns,AVG-NS,LYR-4,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,53.808468004056365,54.38104799730411,61.48791285729563,70.23140886751206,62.79624750679178,68.68859294407412,83.14133657981077,64.93357353669212
