,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,allmpnet,CLS_SUM-1-2,simple,CLS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,31.66048641345533,17.231421130222778,24.610050077654662,21.48795065577239,30.39823193376669,50.2261908251478,63.60535308297426,34.17424058842771
1,allmpnet,AVG_SUM-1-2,simple,AVG,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.59131860218524,59.948204713029085,67.49466174378202,74.61719314394222,71.74266918804013,73.23821057195613,84.67418997080041,69.90092113339074
2,allmpnet,SUM_SUM-1-2,simple,SUM,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.59131937656699,59.94820340983625,67.49466107100436,74.6171933353483,71.74266947389985,54.10008998027922,77.23616410114391,66.10432867829698
3,allmpnet,MAX_SUM-1-2,simple,MAX,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.51552152363537,50.49152382248992,65.52010064540143,66.28953367161076,65.04279258027701,69.51981423158678,82.97284652662837,65.33601900023281
4,allmpnet,AVG-NS_SUM-1-2,simple-ns,AVG-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,59.45071504884185,65.03595886307707,70.7552896620228,76.05511271848728,72.13155506249109,73.40776089685133,81.72646397491422,71.22326517524081
5,allmpnet,SUM-NS_SUM-1-2,simple-ns,SUM-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,59.4507139507426,65.03595801671521,70.75528912919084,76.05511155798061,72.13155481327173,63.44562759486871,76.49491410940483,69.05273845316779
6,allmpnet,MAX-NS_SUM-1-2,simple-ns,MAX-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,54.54367759551168,42.11538462820197,60.949044235258384,60.24307727390495,54.40457052667757,64.2429591665399,78.66195244979609,59.30866655369865
7,allmpnet,CLS_SUM-2-3,simple,CLS,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,36.96882819192907,28.6347817334069,34.97648422244078,29.87606969262417,39.47336482704228,60.61122872563425,76.09027241193537,43.80443282928754
8,allmpnet,AVG_SUM-2-3,simple,AVG,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,56.340982759652,59.340983570202965,66.02256950041384,73.59300089318033,70.56386610227142,74.33939673648054,85.01952629563532,69.31718940826235
9,allmpnet,SUM_SUM-2-3,simple,SUM,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,56.34098029862658,59.34098200991696,66.02256938079198,73.59300071243484,70.56386245421976,-4.270210049880154,70.45419031468921,56.00648216011416
10,allmpnet,MAX_SUM-2-3,simple,MAX,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,56.59377454355561,49.0732264798709,65.48432382649774,66.48265133604396,65.19921992473927,69.48194659748863,83.35133719534834,65.09521141479206
11,allmpnet,AVG-NS_SUM-2-3,simple-ns,AVG-NS,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,58.98693102526028,66.52313459724975,70.00206791417442,75.57289192690594,72.3247564747447,74.98716938044416,82.93033854116194,71.61818426570588
12,allmpnet,SUM-NS_SUM-2-3,simple-ns,SUM-NS,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,58.98693102673749,66.52313314404364,70.00206883104475,75.57289221389914,72.32475702460724,62.971735820375606,78.50404288569912,69.2693658494867
13,allmpnet,MAX-NS_SUM-2-3,simple-ns,MAX-NS,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,54.186735798170346,40.9517090216952,60.40856122541107,59.01727097727046,55.42150543332202,64.70807054804655,80.20977816273515,59.27194730952153
