;model;pooling;type_pooling;agg;layer;epochs;out_vec_size;qtd_layers;nhid;params;best_layers;STS12;STS13;STS14;STS15;STS16;STSBenchmark;SICKRelatedness;avg_tasks
0;allmpnet;CLS_SUM-1-2;simple;CLS;SUM-1-2;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;31,66;17,23;24,61;21,49;30,40;50,23;63,61;34,17
1;allmpnet;AVG_SUM-1-2;simple;AVG;SUM-1-2;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;57,59;59,95;67,49;74,62;71,74;73,24;84,67;69,90
2;allmpnet;SUM_SUM-1-2;simple;SUM;SUM-1-2;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;57,59;59,95;67,49;74,62;71,74;54,10;77,24;66,10
3;allmpnet;MAX_SUM-1-2;simple;MAX;SUM-1-2;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;57,52;50,49;65,52;66,29;65,04;69,52;82,97;65,34
4;allmpnet;AVG-NS_SUM-1-2;simple-ns;AVG-NS;SUM-1-2;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;59,45;65,04;70,76;76,06;72,13;73,41;81,73;71,22
5;allmpnet;SUM-NS_SUM-1-2;simple-ns;SUM-NS;SUM-1-2;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;59,45;65,04;70,76;76,06;72,13;63,45;76,49;69,05
6;allmpnet;MAX-NS_SUM-1-2;simple-ns;MAX-NS;SUM-1-2;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;54,54;42,12;60,95;60,24;54,40;64,24;78,66;59,31
7;allmpnet;CLS_SUM-2-3;simple;CLS;SUM-2-3;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;36,97;28,63;34,98;29,88;39,47;60,61;76,09;43,80
8;allmpnet;AVG_SUM-2-3;simple;AVG;SUM-2-3;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;56,34;59,34;66,02;73,59;70,56;74,34;85,02;69,32
9;allmpnet;SUM_SUM-2-3;simple;SUM;SUM-2-3;4,00;torch.Size([63, 768]);12,00;0,00;batch-64-nhid-0-inlayer-12;NORMAL;56,34;59,34;66,02;73,59;70,56;-4,27;70,45;56,01
