,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,deberta-base,CLS+AVG_LYR-1,two-tokens,CLS+AVG,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.81788462034287,55.8001552728208,63.19456929408349,70.18083863126397,64.88876240476309,73.28377574485947,75.75937263439582,65.84647980036137
1,deberta-base,CLS+SUM_LYR-1,two-tokens,CLS+SUM,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.64783949202712,59.729759407453095,64.89982524240911,72.62449791194842,67.157600059654,57.24373671891899,67.69179092272174,63.99929282216177
2,deberta-base,CLS+MAX_LYR-1,two-tokens,CLS+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.27656088564005,48.15306026322301,63.53793574569856,66.86752524172009,64.43503062620961,64.47747909743833,74.36520474242772,62.873256657479615
3,deberta-base,CLS+AVG-NS_LYR-1,two-tokens,CLS+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,56.90874262878708,55.58333757677998,63.06549784511984,69.39271888100835,64.61118100025884,72.42260440227885,75.67093717190728,65.37928850087718
4,deberta-base,CLS+SUM-NS_LYR-1,two-tokens,CLS+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.464572745122766,60.310347148844166,65.38271201637275,73.00960512504956,68.04086951818425,55.32029288371543,67.61950853522055,64.0211297103585
5,deberta-base,CLS+MAX-NS_LYR-1,two-tokens,CLS+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.646184800195655,47.76995080337622,63.37502362531659,67.01392415883858,65.42383296010544,64.31160426737992,74.37529979692539,62.84511720173398
6,deberta-base,AVG+SUM_LYR-1,two-tokens,AVG+SUM,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.642997347316175,59.78320873485451,64.93742069627417,72.60706660900176,67.11894959194765,52.06960847341598,63.08485667078387,62.60630116051345
7,deberta-base,AVG+MAX_LYR-1,two-tokens,AVG+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.22673792625367,48.66586481331152,63.240848960863296,66.73172609705863,64.05048033518793,66.55999509834068,75.8036446640356,63.32561398500733
8,deberta-base,AVG+AVG-NS_LYR-1,two-tokens,AVG+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.55930812302918,60.25286047241028,65.29816363992249,72.95287335980927,67.75643705904442,70.35907591278861,75.44831651591957,67.23243358327484
9,deberta-base,AVG+SUM-NS_LYR-1,two-tokens,AVG+SUM-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.45985436667463,60.35109566799181,65.39465696062213,72.97571324904683,67.99993887931872,58.97644490878988,69.0101070179095,64.73825872147907
10,deberta-base,AVG+MAX-NS_LYR-1,two-tokens,AVG+MAX-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,57.62976290927093,48.43213688527128,63.13928049399441,66.86533805727798,64.98633162219552,65.96777986542615,75.7840500003404,63.25781140482524
11,deberta-base,SUM+MAX_LYR-1,two-tokens,SUM+MAX,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,59.055953518004834,59.02825183763967,64.95593075278875,72.80547834382199,67.45512154766325,58.4704936793427,68.30801545284291,64.29703501887202
12,deberta-base,SUM+AVG-NS_LYR-1,two-tokens,SUM+AVG-NS,LYR-1,4,"torch.Size([63, 1536])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,58.67637794477629,59.727592020977696,64.92925560610846,72.60518638698534,67.14010372235974,58.450887378336816,68.77533713357033,64.32924859901638
