;model;pooling;type_pooling;agg;layer;epochs;out_vec_size;qtd_layers;nhid;params;best_layers;STS12;STS13;STS14;STS15;STS16;STSBenchmark;SICKRelatedness;avg_tasks
0;deberta-base;CLS+AVG_LYR-1;two-tokens;CLS+AVG;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,82;55,80;63,19;70,18;64,89;73,28;75,76;65,85
1;deberta-base;CLS+SUM_LYR-1;two-tokens;CLS+SUM;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,65;59,73;64,90;72,62;67,16;57,24;67,69;64,00
2;deberta-base;CLS+MAX_LYR-1;two-tokens;CLS+MAX;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,28;48,15;63,54;66,87;64,44;64,48;74,37;62,87
3;deberta-base;CLS+AVG-NS_LYR-1;two-tokens;CLS+AVG-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;56,91;55,58;63,07;69,39;64,61;72,42;75,67;65,38
4;deberta-base;CLS+SUM-NS_LYR-1;two-tokens;CLS+SUM-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,46;60,31;65,38;73,01;68,04;55,32;67,62;64,02
5;deberta-base;CLS+MAX-NS_LYR-1;two-tokens;CLS+MAX-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,65;47,77;63,38;67,01;65,42;64,31;74,38;62,85
6;deberta-base;AVG+SUM_LYR-1;two-tokens;AVG+SUM;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,64;59,78;64,94;72,61;67,12;52,07;63,08;62,61
7;deberta-base;AVG+MAX_LYR-1;two-tokens;AVG+MAX;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,23;48,67;63,24;66,73;64,05;66,56;75,80;63,33
8;deberta-base;AVG+AVG-NS_LYR-1;two-tokens;AVG+AVG-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,56;60,25;65,30;72,95;67,76;70,36;75,45;67,23
9;deberta-base;AVG+SUM-NS_LYR-1;two-tokens;AVG+SUM-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,46;60,35;65,39;72,98;68,00;58,98;69,01;64,74
10;deberta-base;AVG+MAX-NS_LYR-1;two-tokens;AVG+MAX-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,63;48,43;63,14;66,87;64,99;65,97;75,78;63,26
11;deberta-base;SUM+MAX_LYR-1;two-tokens;SUM+MAX;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;59,06;59,03;64,96;72,81;67,46;58,47;68,31;64,30
12;deberta-base;SUM+AVG-NS_LYR-1;two-tokens;SUM+AVG-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,68;59,73;64,93;72,61;67,14;58,45;68,78;64,33
13;deberta-base;SUM+SUM-NS_LYR-1;two-tokens;SUM+SUM-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,65;60,24;65,26;72,90;67,63;59,60;35,82;60,01
14;deberta-base;SUM+MAX-NS_LYR-1;two-tokens;SUM+MAX-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;59,04;59,02;65,00;72,84;67,51;55,13;53,12;61,66
15;deberta-base;MAX+AVG-NS_LYR-1;two-tokens;MAX+AVG-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,92;48,74;62,68;66,25;63,66;67,24;75,94;63,20
16;deberta-base;MAX+SUM-NS_LYR-1;two-tokens;MAX+SUM-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,99;59,96;65,45;73,28;68,32;56,44;64,99;63,92
17;deberta-base;MAX+MAX-NS_LYR-1;two-tokens;MAX+MAX-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,80;47,94;63,37;66,60;64,61;53,08;73,01;60,92
18;deberta-base;AVG-NS+SUM-NS_LYR-1;two-tokens;AVG-NS+SUM-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,47;60,32;65,37;72,97;68,00;56,71;66,41;64,04
19;deberta-base;AVG-NS+MAX-NS_LYR-1;two-tokens;AVG-NS+MAX-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,38;48,35;62,52;66,39;64,43;66,53;75,93;63,08
20;deberta-base;SUM-NS+MAX-NS_LYR-1;two-tokens;SUM-NS+MAX-NS;LYR-1;4,00;torch.Size([63, 1536]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,94;59,95;65,48;73,29;68,36;53,15;53,76;61,85
21;deberta-base;CLS+AVG+SUM_LYR-1;three-tokens;CLS+AVG+SUM;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,66;59,66;64,89;72,62;67,14;37,13;67,16;61,04
22;deberta-base;CLS+AVG+MAX_LYR-1;three-tokens;CLS+AVG+MAX;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,37;48,79;63,40;67,04;64,37;66,70;75,96;63,52
23;deberta-base;CLS+AVG+AVG-NS_LYR-1;three-tokens;CLS+AVG+AVG-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,89;57,25;64,05;70,97;66,07;70,69;75,54;66,06
24;deberta-base;CLS+AVG+SUM-NS_LYR-1;three-tokens;CLS+AVG+SUM-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,48;60,31;65,36;72,99;68,03;62,00;68,36;65,08
25;deberta-base;CLS+AVG+MAX-NS_LYR-1;three-tokens;CLS+AVG+MAX-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,82;48,55;63,33;67,20;65,29;66,13;75,93;63,46
26;deberta-base;CLS+SUM+MAX_LYR-1;three-tokens;CLS+SUM+MAX;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;59,07;58,85;64,91;72,80;67,50;48,84;67,08;62,72
27;deberta-base;CLS+SUM+AVG-NS_LYR-1;three-tokens;CLS+SUM+AVG-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,67;59,58;64,88;72,62;67,14;56,74;65,43;63,58
28;deberta-base;CLS+SUM+SUM-NS_LYR-1;three-tokens;CLS+SUM+SUM-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,68;60,14;65,24;72,88;67,64;59,28;60,06;63,42
29;deberta-base;CLS+SUM+MAX-NS_LYR-1;three-tokens;CLS+SUM+MAX-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;59,03;58,84;64,95;72,82;67,56;47,25;68,66;62,73
30;deberta-base;CLS+MAX+AVG-NS_LYR-1;three-tokens;CLS+MAX+AVG-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,03;48,64;62,85;66,55;63,94;67,13;76,05;63,31
31;deberta-base;CLS+MAX+SUM-NS_LYR-1;three-tokens;CLS+MAX+SUM-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;59,00;59,84;65,41;73,29;68,36;45,60;52,52;60,58
32;deberta-base;CLS+MAX+MAX-NS_LYR-1;three-tokens;CLS+MAX+MAX-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,92;48,01;63,47;66,80;64,89;60,34;73,29;62,10
33;deberta-base;CLS+AVG-NS+SUM-NS_LYR-1;three-tokens;CLS+AVG-NS+SUM-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,50;60,24;65,34;72,98;68,03;59,95;66,78;64,55
34;deberta-base;CLS+AVG-NS+MAX-NS_LYR-1;three-tokens;CLS+AVG-NS+MAX-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;57,55;48,30;62,70;66,68;64,76;66,57;76,08;63,24
35;deberta-base;CLS+SUM-NS+MAX-NS_LYR-1;three-tokens;CLS+SUM-NS+MAX-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,95;59,81;65,43;73,29;68,40;56,06;58,20;62,88
36;deberta-base;AVG+SUM+MAX_LYR-1;three-tokens;AVG+SUM+MAX;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;59,07;58,97;64,94;72,79;67,42;63,67;67,64;64,93
37;deberta-base;AVG+SUM+AVG-NS_LYR-1;three-tokens;AVG+SUM+AVG-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,69;59,66;64,92;72,60;67,12;52,91;68,55;63,49
38;deberta-base;AVG+SUM+SUM-NS_LYR-1;three-tokens;AVG+SUM+SUM-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,67;60,18;65,25;72,89;67,61;56,16;51,69;61,78
39;deberta-base;AVG+SUM+MAX-NS_LYR-1;three-tokens;AVG+SUM+MAX-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;59,06;58,95;64,99;72,82;67,49;60,51;59,70;63,36
40;deberta-base;AVG+MAX+AVG-NS_LYR-1;three-tokens;AVG+MAX+AVG-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;58,01;49,19;62,73;66,53;63,69;67,32;76,20;63,38
41;deberta-base;AVG+MAX+SUM-NS_LYR-1;three-tokens;AVG+MAX+SUM-NS;LYR-1;4,00;torch.Size([63, 2304]);12,00;0,00;batch-64-nhid-0-inlayer-0;NORMAL;59,02;59,92;65,43;73,28;68,32;44,22;67,80;62,57
