,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,avg_tasks
0,deberta-base,CLS_SUM-1-2,simple,CLS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,14.873197895313034,6.756320229606931,6.457947571391435,17.459940899559978,24.47602238189989,30.314373340847084,46.0535219354816,20.91304632201428
1,deberta-base,AVG_SUM-1-2,simple,AVG,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.74462471341643,58.62495332996428,63.844548151696124,71.56436675258267,65.71434326114654,70.34205566781728,76.17274138549764,66.28680475173158
2,deberta-base,SUM_SUM-1-2,simple,SUM,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.74395178800702,58.62495332996428,63.844548151696124,71.56448999736338,65.71435171121402,0.9492802571703146,62.02107424661466,54.35180706886139
3,deberta-base,MAX_SUM-1-2,simple,MAX,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.48731071682018,47.11775954755501,62.611013563473094,66.13340884161777,62.623903682364634,59.00835309002239,72.97164526553733,61.13619924391293
4,deberta-base,AVG-NS_SUM-1-2,simple-ns,AVG-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.439259820278046,59.13213338312991,64.16596919331585,71.94667512366955,66.67065335198899,68.93302032164125,75.82651085876273,66.30203172182662
5,deberta-base,SUM-NS_SUM-1-2,simple-ns,SUM-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,57.44375272188953,59.13192717536299,64.16596582985304,71.94663701003243,66.67036544019905,0.0,46.483018383488506,52.26309522297508
6,deberta-base,MAX-NS_SUM-1-2,simple-ns,MAX-NS,SUM-1-2,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,56.60745170766302,46.66287937605804,62.1634310626782,65.98147952304474,63.28908469379615,58.11002954961232,73.11768008753326,60.847433714340816
7,deberta-base,CLS_SUM-2-3,simple,CLS,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,22.247445284381843,4.640315717561497,7.446061780446798,14.696373824567837,18.640176722734363,31.23118272598257,53.40907234870892,21.75866120062626
8,deberta-base,AVG_SUM-2-3,simple,AVG,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,55.31061170085808,55.94612540270732,61.05478529687973,69.78752104699007,62.993499171772804,66.23875134655778,76.92471063452679,64.03657208575608
9,deberta-base,SUM_SUM-2-3,simple,SUM,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,55.32118717433351,55.94612556066531,61.05495664695303,69.78740675245915,62.9934984346446,-2.0020356836474007,3.38513245148289,43.7837530481273
10,deberta-base,MAX_SUM-2-3,simple,MAX,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,54.92718049215497,44.96942040344851,59.25008303972377,63.981934805288375,58.35395328913027,61.03535543421956,74.06444407255535,59.51176736236011
11,deberta-base,AVG-NS_SUM-2-3,simple-ns,AVG-NS,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,54.90300821717382,56.42461850765468,61.37077771082178,70.2502199152114,63.834325950852566,64.83944512710178,76.52802029463604,64.02148796049315
12,deberta-base,SUM-NS_SUM-2-3,simple-ns,SUM-NS,SUM-2-3,4,"torch.Size([63, 768])",12,0,batch-64-nhid-0-inlayer-12,NORMAL,54.90236883280845,56.42461834939921,61.37077771082178,70.25008648474758,63.834334107528754,-2.0020356836474007,0.0,43.54002140023691
